Question,Real Answer,Pred Answer
Which two islands are linked by the 33 and a half-mile-long Seikan rail tunnel?,Honshu and Hokkaido,Honshu and Hokkaido
Which all-Pullman train ran between London and Brighton from 1931 to 1972?,The Brighton Belle,Brighton Belle
How many events make up a pentathlon?,five,five
Which US fashion designer directed the 2009 film ‘A Single Man’?,Tom Ford,Tom Ford
"Played by Aaron Paul, who was Walter White’s co-protagonist in ‘Breaking Bad’?",Jesse Pinkman,Jesse Pinkman
"In computing, how many bits are in one byte?",8,8
Which band’s 2007 album is entitled ‘Send Away the Tigers’?,Manic Street Preachers,Manic Street Preachers
Gallipoli is in which European country?,Turkey,Turkey
Who wrote the poem ‘ The Ballad of Reading Gaol’?,Oscar Wild,Oscar Wilde
Bulent Ecevit was Prime Minister of which country from 1999 to 2002?,Turkey,Turkey
James Braddock won the title from which boxer whose son was in The Beverly Hillbillies?,Max Baer,Max Baer
Which number in Pennsylvania Avenue is The White House?,1600,1600
Rain was the B-side of which Beatles single?,Paperback Writer,Paperback Writer
Who brought to an end Jahangir Khan's long unbeaten run of success in squash in the 80s?,Ross Norman,Ross Norman
What was the title of Kitty Kelley's book about Elizabeth Taylor?,Elizabeth Taylor: The Last Star,Elizabeth Taylor: The Last Star
Which artist created the Katzenjammer Kids?,Rudolph Dirks,Rudolph Dirks
Who wrote the song Harper Valley PTA?,Tom T. Hall,Tom T. Hall
John Ridd is the hero of which novel by R D Blackmore?,Lorna Doon,Lorna Doone
What is the nickname of the Beijing National Stadium?,Bird's Nest (disambiguation),Bird's Nest
"Tom, Barbara, Jerry and Margo are all characters in which 1970’s UK television sitcom?",The Good Life (album),The Good Life
Which general introduced martial law in Poland in 1981?,Wojciech Jaruzelski,Wojciech Jaruzelski
Which American author wrote the 1985 book The Cider House Rules?,John Irving,John Irving
Liberty Island in New York harbour was formerly known as what?,Bedloe's Island,Bedloe's Island
Edmond Dantes is the protagonist of which famous French novel?,The Count of Monte Christo,The Count of Monte Cristo
"As played by Bob Hoskins, what was the name of the sheet music salesman in the TV series Pennies from Heaven scripted by Dennis Potter?",Arthur Parker,Arthur Parker
