dataset,method,rate,rows_new,rows_old,rows_delta_new_minus_old,glm_main_correct_new,glm_main_total_new,glm_main_acc_new,glm_main_correct_old,glm_main_total_old,glm_main_acc_old,glm_main_acc_delta_new_minus_old,glm_sub_correct_new,glm_sub_total_new,glm_sub_acc_new,glm_sub_correct_old,glm_sub_total_old,glm_sub_acc_old,glm_sub_acc_delta_new_minus_old
2wikimqa,full_rate1,1.0,200,200,0,118,200,0.59,117,200,0.585,0.005000,118,200,0.59,117,200,0.585,0.005000
2wikimqa,online_qk_rate015,0.15,200,200,0,111,200,0.555,112,200,0.56,-0.005000,111,200,0.555,112,200,0.56,-0.005000
2wikimqa,online_draft_rate015,0.15,200,200,0,107,200,0.535,106,200,0.53,0.005000,107,200,0.535,106,200,0.53,0.005000
2wikimqa,offline3b_mean,0.15,200,200,0,105,200,0.525,104,200,0.52,0.005000,105,200,0.525,104,200,0.52,0.005000
2wikimqa,offline3b_freq_boundary2,0.15,200,200,0,105,200,0.525,105,200,0.525,0.000000,105,200,0.525,105,200,0.525,0.000000
2wikimqa,offline32b_top2,0.15,200,200,0,106,200,0.53,106,200,0.53,0.000000,106,200,0.53,106,200,0.53,0.000000
hotpotqa,full_rate1,1.0,260,260,0,236,260,0.9076923076923077,236,260,0.9076923076923077,0.000000,236,260,0.9076923076923077,236,260,0.9076923076923077,0.000000
hotpotqa,online_qk_rate015,0.15,260,260,0,226,260,0.8692307692307693,226,260,0.8692307692307693,0.000000,226,260,0.8692307692307693,226,260,0.8692307692307693,0.000000
hotpotqa,online_draft_rate015,0.15,260,260,0,227,260,0.8730769230769231,228,260,0.8769230769230769,-0.003846,227,260,0.8730769230769231,228,260,0.8769230769230769,-0.003846
hotpotqa,offline3b_mean,0.15,260,260,0,229,260,0.8807692307692307,229,260,0.8807692307692307,0.000000,229,260,0.8807692307692307,229,260,0.8807692307692307,0.000000
hotpotqa,offline3b_freq_boundary2,0.15,260,260,0,224,260,0.8615384615384616,225,260,0.8653846153846154,-0.003846,224,260,0.8615384615384616,225,260,0.8653846153846154,-0.003846
hotpotqa,offline32b_top2,0.15,260,260,0,227,260,0.8730769230769231,227,260,0.8730769230769231,0.000000,227,260,0.8730769230769231,227,260,0.8730769230769231,0.000000
triviaqa,full_rate1,1.0,270,270,0,247,270,0.9148148148148149,246,270,0.9111111111111111,0.003704,247,270,0.9148148148148149,246,270,0.9111111111111111,0.003704
triviaqa,online_qk_rate015,0.15,270,270,0,243,270,0.9,241,270,0.8925925925925926,0.007407,243,270,0.9,241,270,0.8925925925925926,0.007407
triviaqa,online_draft_rate015,0.15,270,270,0,240,270,0.8888888888888888,239,270,0.8851851851851852,0.003704,240,270,0.8888888888888888,239,270,0.8851851851851852,0.003704
triviaqa,offline3b_mean,0.15,270,270,0,242,270,0.8962962962962963,241,270,0.8925925925925926,0.003704,242,270,0.8962962962962963,241,270,0.8925925925925926,0.003704
triviaqa,offline3b_freq_boundary2,0.15,270,270,0,244,270,0.9037037037037037,243,270,0.9,0.003704,244,270,0.9037037037037037,243,270,0.9,0.003704
triviaqa,offline32b_top2,0.15,270,200,70,240,270,0.8888888888888888,180,200,0.9,-0.011111,240,270,0.8888888888888888,180,200,0.9,-0.011111
