Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
Which two islands are linked by the 33 and a half-mile-long Seikan rail tunnel?,Which two islands are linked by the 33 and a half-mile-long Seikan rail tunnel?,Honshu and Hokkaido,Honshu and Hokkaido,True,1.0,1.0,预测答案“Honshu and Hokkaido”与标准答案完全一致，准确包含了问题所要求的关键信息，即被青函铁路隧道连接的两个岛屿的名称，语义上完全等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Which all-Pullman train ran between London and Brighton from 1931 to 1972?,Which all-Pullman train ran between London and Brighton from 1931 to 1972?,The Brighton Belle,Brighton Belle,True,1.0,1.0,预测答案“Brighton Belle”与标准答案“The Brighton Belle”在语义上完全等价，仅仅是省略了定冠词“The”，这属于措辞上的细微差异。预测答案已经包含了标准答案的关键信息，准确地回答了1931年至1972年间往返于伦敦和布莱顿的全普尔曼列车名称。,N/A,N/A,N/A,N/A,N/A
How many events make up a pentathlon?,How many events make up a pentathlon?,five,5,True,1,0.0,预测答案“5”与标准答案“five”在语义上完全等价，仅仅是阿拉伯数字与英文单词的书写形式不同。两者都准确传达了组成十项全能比赛的事件数量这一关键信息，符合评判标准。,N/A,N/A,N/A,N/A,N/A
Which US fashion designer directed the 2009 film ‘A Single Man’?,Which US fashion designer directed the 2009 film ‘A Single Man’?,Tom Ford,Tom Ford,True,1.0,1.0,预测答案“Tom Ford”与标准答案完全一致，准确包含了问题所要求的关键信息，即执导2009年电影《A Single Man》的美国时装设计师的名字。两者在语义上完全等价，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
"Played by Aaron Paul, who was Walter White’s co-protagonist in ‘Breaking Bad’?","Played by Aaron Paul, who was Walter White’s co-protagonist in ‘Breaking Bad’?",Jesse Pinkman,Jesse Pinkman,True,1.0,1.0,预测答案“Jesse Pinkman”与标准答案完全一致，准确包含了标准答案的关键信息。两者在语义上完全等价，正确回答了关于《绝命毒师》中由Aaron Paul扮演的Walter White联合主角的问题。,N/A,N/A,N/A,N/A,N/A
"In computing, how many bits are in one byte?","In computing, how many bits are in one byte?",8,8,True,1,1.0,预测答案“8”与标准答案“8”完全一致，准确地给出了计算机中一个字节所包含的比特数。预测答案包含了标准答案的关键信息，且在语义上完全等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
Which band’s 2007 album is entitled ‘Send Away the Tigers’?,Which band’s 2007 album is entitled ‘Send Away the Tigers’?,Manic Street Preachers,2007 album entitled 'Send Away the Tigers' is by the Welsh alternative rock band Manic Street Preachers.,True,0.24999999999999997,0.0,预测答案明确指出了2007年发行专辑《Send Away the Tigers》的乐队是Manic Street Preachers，不仅包含了标准答案的全部关键信息，而且在语义上与标准答案完全等价，准确回答了原问题。,N/A,N/A,N/A,N/A,N/A
Gallipoli is in which European country?,Gallipoli is in which European country?,Turkey,Turkey,True,1.0,1.0,预测答案“Turkey”与标准答案完全一致，准确包含了问题所询问的关键信息，且在语义上完全等价，正确地回答了Gallipoli所在的欧洲国家。,N/A,N/A,N/A,N/A,N/A
Who wrote the poem ‘ The Ballad of Reading Gaol’?,Who wrote the poem ‘ The Ballad of Reading Gaol’?,Oscar Wild,Oscar Wilde,True,0.4,0.0,预测答案“Oscar Wilde”与标准答案“Oscar Wild”仅相差一个字母“e”，这是标准答案中存在的拼写遗漏。两者在语义上完全等价，均指代同一位著名作家奥斯卡·王尔德，准确回答了该诗的作者问题。,N/A,N/A,N/A,N/A,N/A
Bulent Ecevit was Prime Minister of which country from 1999 to 2002?,Bulent Ecevit was Prime Minister of which country from 1999 to 2002?,Turkey,Turkey,True,1.0,1.0,预测答案“Turkey”与标准答案“Turkey”完全一致，准确地给出了Bulent Ecevit在1999年至2002年间担任总理的国家名称，包含了标准答案的所有关键信息，语义完全等价。,N/A,N/A,N/A,N/A,N/A
James Braddock won the title from which boxer whose son was in The Beverly Hillbillies?,James Braddock won the title from which boxer whose son was in The Beverly Hillbillies?,Max Baer,"1. James Braddock won the heavyweight title from Max Baer in 1935. 2. Max Baer Jr. was the son of Max Baer and played Jethro Bodine on ""The Beverly Hillbillies."" Therefore, James Braddock won the title from Max Baer, whose son was in ""The Beverly Hillbillies.""",True,0.0625,0.0,预测答案明确指出了James Braddock是从Max Baer手中赢得冠军头衔的，并且补充说明了Max Baer的儿子出演了《The Beverly Hillbillies》。这与标准答案“Max Baer”完全一致，包含了关键信息且语义等价。,N/A,N/A,N/A,N/A,N/A
Which number in Pennsylvania Avenue is The White House?,Which number in Pennsylvania Avenue is The White House?,1600,1600,True,1.0,1.0,预测答案“1600”与标准答案“1600”完全一致，准确地给出了白宫在宾夕法尼亚大道上的门牌号，包含了标准答案的所有关键信息，语义完全等价。,N/A,N/A,N/A,N/A,N/A
Rain was the B-side of which Beatles single?,Rain was the B-side of which Beatles single?,Paperback Writer,"1. ""Paperback Writer""",True,0.5,0.0,预测答案“Paperback Writer”与标准答案完全一致，包含了标准答案的核心关键信息，准确回答了“Rain”是哪首披头士单曲的B面曲这一问题，符合正确判断的标准。,N/A,N/A,N/A,N/A,N/A
Who brought to an end Jahangir Khan's long unbeaten run of success in squash in the 80s?,Who brought to an end Jahangir Khan's long unbeaten run of success in squash in the 80s?,Ross Norman,Ross Norman,True,1.0,1.0,预测答案“Ross Norman”与标准答案完全一致，准确包含了关键信息，正确回答了是谁在80年代终结了Jahangir Khan在壁球运动中的长期不败纪录，语义上完全等价。,N/A,N/A,N/A,N/A,N/A
