Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
In which county is Southern Maryland Electric Cooperative headquartered?,Where is the headquarters of Southern Maryland Electric Cooperative?,"The headquarters of Southern Maryland Electric Cooperative is in Hughesville, Maryland.","Hughesville, Maryland",True,0.5,0.0,"预测答案“Hughesville, Maryland”准确包含了标准答案中的核心地理位置信息，直接回答了问题所问的总部所在地。虽然缺少了完整的主谓语结构，但在语义上与标准答案完全等价，符合评估标准。",N/A,N/A,N/A,N/A,N/A
Where is Amílcar Cabral International Airport?,Amílcar Cabral International Airport location,Amílcar Cabral International Airport is located two km west-southwest from Espargos on Sal Island.,"2 km west-southwest from Espargos on Sal Island, Cabo Verde",True,0.6470588235294118,0.0,预测答案包含了标准答案中的所有关键信息，即“2 km west-southwest from Espargos on Sal Island”。虽然预测答案在表述上使用了数字“2”并额外补充了国家“Cabo Verde”，但这不仅没有改变原意，反而使地理位置更加明确，两者在语义上完全等价。,N/A,N/A,N/A,N/A,N/A
Where was the author of Hannibal and Scipio educated at?,Who is the author of the book 'Hannibal and Scipio'?,Thomas Nabbes,Thomas Nabbes,True,1.0,1.0,预测答案与标准答案完全一致，均为“Thomas Nabbes”。预测答案准确包含了标准答案的关键信息，在语义上完全等价，正确地回答了关于书籍作者的问题。,N/A,N/A,N/A,N/A,N/A
Where was the author of Hannibal and Scipio educated at?,Where was Thomas Nabbes educated?,"Thomas Nabbes was educated at Exeter College, Oxford in 1621.","Exeter College, Oxford",True,0.38095238095238093,0.0,"预测答案“Exeter College, Oxford”准确包含了标准答案中的核心关键信息，即托马斯·纳布斯受教育的地方。虽然预测答案省略了入学年份等细节，但在回答“Where”这一问题上，其语义与标准答案完全一致，因此判断为正确。",N/A,N/A,N/A,N/A,N/A
Where was Tyler MacDuff's child educated?,Who is Tyler MacDuff?,Tyler MacDuff is an actor and the father of Dana MacDuff.,"Tyler MacDuff is not directly mentioned in the provided documents. However, based on the names and information given, it's likely that Tyler MacDuff is related to David Gardiner Tyler, who was the ninth child and fourth son of John Tyler, the tenth President of the United States. There is no direct information linking Tyler MacDuff to Dana Andrews or any other specific individual in the provided documents.",False,0.2696629213483146,0.0,预测答案未能包含标准答案中的关键信息，即Tyler MacDuff是一名演员且是Dana MacDuff的父亲。相反，预测答案错误地推测他与美国第十任总统约翰·泰勒的儿子David Gardiner Tyler有关，这与标准答案在语义上完全不一致。,N/A,N/A,N/A,N/A,N/A
Where was Tyler MacDuff's child educated?,Where was Dana MacDuff educated?,He graduated from Blair International Baccalaureate School in Pasadena.,"Pasadena, California",False,0.125,0.0,"预测答案“Pasadena, California”仅提供了一个地理位置，而问题询问的是Dana MacDuff的教育背景。标准答案明确指出了他毕业于Blair International Baccalaureate School，预测答案缺失了关于学校名称这一关键信息，两者在语义上并不等价，因此未能正确回答问题。",N/A,N/A,N/A,N/A,N/A
In which county is Kimbrough Memorial Stadium located?,In which city is Kimbrough Memorial Stadium located?,"Canyon, Texas","Kimbrough Memorial Stadium is located in Canyon, Texas.",True,0.16666666666666666,0.0,"预测答案明确指出了Kimbrough Memorial Stadium位于Canyon, Texas，这与标准答案完全一致。虽然预测答案增加了一些修饰性的词语使其成为完整的句子，但核心语义与标准答案等价，准确回答了问题。",N/A,N/A,N/A,N/A,N/A
In which county is Kimbrough Memorial Stadium located?,"Which county is Canyon, Texas located in?","Canyon, Texas is located in Randall County.",Randall County,True,0.3636363636363636,0.0,预测答案“Randall County”直接且准确地提供了问题所询问的县名，包含了标准答案的核心关键信息。虽然它没有像标准答案那样使用完整的句子结构，但在语义上与标准答案完全等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
What military overran much of Erich Zakowski's place of birth?,Where was Erich Zakowski born?,Erich Zakowski was born in East Prussia.,Germany,False,0,0.0,预测答案“Germany”未能包含标准答案中的关键信息“East Prussia”。虽然东普鲁士在地理位置上属于现今的德国，但两者在语义上并不完全等价，且预测答案过于宽泛，缺乏标准答案所要求的具体地域信息。,N/A,N/A,N/A,N/A,N/A
What military overran much of Erich Zakowski's place of birth?,Which military force overran much of East Prussia during World War II?,The Soviet Union overran much of East Prussia during World War II.,Soviet Union,True,0.2666666666666667,0.0,预测答案“Soviet Union”准确包含了标准答案中的核心实体信息，即二战期间攻占东普鲁士大部分地区的军事力量。虽然缺少了完整的句子结构，但在语义上与标准答案完全等价，正确回答了所提出的问题。,N/A,N/A,N/A,N/A,N/A
The 1967 Federation Cup is an instance of this tournament which is named after what organization?,What is the Federation Cup in sports?,The Federation Cup is the premier international team competition in women's tennis. It was launched in 1963 and is the world's largest annual women's international team sports competition in terms of participating nations.,"1967 Federation Cup is the fifth edition of what is now known as the Fed Cup, a premier international team competition in women's tennis.",False,0.45614035087719296,0.0,预测答案虽然提到了它是女子网球顶级国际团体赛事，但遗漏了标准答案中关于创立年份（1963年）以及它是按参赛国数量计算的世界最大年度女子国际团体体育赛事等关键信息。此外，预测答案引入了无关的“1967年第五届”细节，未能全面准确地回答问题。,N/A,N/A,N/A,N/A,N/A
The 1967 Federation Cup is an instance of this tournament which is named after what organization?,Which organization is the Federation Cup in women's tennis named after?,The International Tennis Federation (ITF),International Tennis Federation (ITF),True,1.0,1.0,预测答案“International Tennis Federation (ITF)”与标准答案“The International Tennis Federation (ITF)”在语义上完全等价，仅缺少了定冠词“The”，这属于措辞上的细微差异，不影响核心意思的表达，已包含所有关键信息。,N/A,N/A,N/A,N/A,N/A
What is another notable work made by the author of Miss Sara Sampson?,What are notable works by Gotthold Ephraim Lessing?,"Notable works by Gotthold Ephraim Lessing include the plays 'Emilia Galotti', a classic bourgeois tragedy, and 'Miss Sara Sampson', considered one of the first bourgeois tragedies.","Emilia Galotti, Miss Sara Sampson",True,0.3902439024390244,0.0,预测答案准确地提取了标准答案中的核心关键信息，即两部著名的戏剧作品《Emilia Galotti》和《Miss Sara Sampson》。虽然预测答案省略了关于这些作品体裁的补充描述，但已经完整且正确地回答了关于“莱辛的著名作品”这一问题，语义上与标准答案保持一致。,N/A,N/A,N/A,N/A,N/A
What record label is the performer of Almost Made Ya signed to?,Who is the performer of the song Almost Made Ya?,"The performers of the song 'Almost Made Ya' are the duo Ali & Gipp, featuring LeToya Luckett.",Nicole Scherzinger,False,0,0.0,预测答案给出的表演者是Nicole Scherzinger，而标准答案明确指出该歌曲的表演者是Ali & Gipp组合（ featuring LeToya Luckett）。两者完全不一致，预测答案未包含标准答案的任何关键信息，因此回答错误。,N/A,N/A,N/A,N/A,N/A
What record label is the performer of Almost Made Ya signed to?,What record label is the duo Ali & Gipp signed to?,Ali & Gipp are signed to Derrty Entertainment and Universal Records.,Derrty Entertainment and Universal Records,True,0.6666666666666666,0.0,预测答案明确指出了“Derrty Entertainment and Universal Records”，这与标准答案中的核心信息完全一致。虽然预测答案省略了主语和谓语等修饰性词汇，但语义上与标准答案完全等价，准确地回答了该组合签约的唱片公司名称。,N/A,N/A,N/A,N/A,N/A
"According to the agency that published U.S. and World Population Clock, what is the total area in square miles?",Which agency publishes the U.S. and World Population Clock?,The United States Census Bureau publishes the U.S. and World Population Clock.,the United States Census Bureau,True,0.5714285714285715,0.0,预测答案“the United States Census Bureau”准确包含了标准答案中的核心机构名称，与标准答案在语义上完全等价，正确地回答了问题，符合评估标准。,N/A,N/A,N/A,N/A,N/A
