selector,rate,example_id,sub_question_id,main_question,sub_question,context_len,system_len,doc_len,query_len,selected_tokens,actual_rate,selection_time_s,selection_score_time_s,recompute_time_s,query_prefill_time_s,decode_first_token_time_s,query_mass_all_layer_mean,query_mass_last_layer,query_mass_first_half_mean,query_mass_second_half_mean,decode_mass_all_layer_mean,decode_mass_last_layer,decode_mass_first_half_mean,decode_mass_second_half_mean,first_token,first_token_text,per_layer_query_mass_json,per_layer_decode_mass_json
draft,0.05,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,2105,792,1313,22,65,0.04950495049504951,0.4604258006438613,0.4594683996401727,0.5497455908916891,0.08611520379781723,0.06407280312851071,0.10993965061343447,0.1338836620380352,0.10887903362125544,0.11100026760561348,0.10035620021576785,0.2113926751273019,0.0655011315735019,0.13521126885803378,5055, National,"[0.18705500565566024, 0.19242453884768795, 0.11246559836647728, 0.1725935254778181, 0.03367282198621081, 0.06605396642313376, 0.08851424130526456, 0.0783066563792043, 0.09082679624681349, 0.08764631097966974, 0.07761916866550198, 0.10013639152824104, 0.12033526928393871, 0.1166561795519544, 0.10622306922813515, 0.07828239341834922, 0.09745756372228845, 0.11378716803216316, 0.06915979261522169, 0.12610431770225625, 0.09672670240526075, 0.11201225627552379, 0.23081910765016234, 0.11333938697715859, 0.08885558859094397, 0.10036172495259867, 0.08699101287049132, 0.1338836620380352]","[0.09133894102913993, 0.09013424600873675, 0.07280800172260829, 0.06757541639464242, 0.024138367601803372, 0.06107876130512783, 0.04763030580111912, 0.04814953463418143, 0.08087891340255737, 0.07789569241659981, 0.034705679331507, 0.07025334664753505, 0.08997305801936559, 0.06045557771410261, 0.06965486066681999, 0.04992670672280448, 0.04314978633608137, 0.05574155705315726, 0.0446539648941585, 0.10746526718139648, 0.07305904797145299, 0.11290388447897774, 0.37909562247140066, 0.22875169345310756, 0.17816592965807235, 0.1448178631918771, 0.1941789048058646, 0.2113926751273019]"
draft,0.05,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,2087,792,1295,20,64,0.04942084942084942,0.12720260582864285,0.12666251277551055,0.03449318604543805,0.05892651295289397,0.04777070786803961,0.0954535151014523,0.07981478827340262,0.09598515909545276,0.09492187110745176,0.11159151579652515,0.056966934885297506,0.06199065185323053,0.16119237973981976,4463, Cor,"[0.1890932900565011, 0.17386459623064313, 0.08954196657453264, 0.12239804949079242, 0.028631421497889928, 0.059962197712489534, 0.06817992074148996, 0.06591903822762625, 0.08391415732247488, 0.0793332644871303, 0.0786470821925572, 0.09024381637573242, 0.09768614087785993, 0.11637728554861886, 0.08171630586896624, 0.06794414520263672, 0.0846294948032924, 0.09209683282034738, 0.04682676451546805, 0.14647486550467356, 0.09355579784938267, 0.11886978149414062, 0.2035282816205706, 0.08506328037806919, 0.0746291024344308, 0.08757968630109514, 0.06617706843784878, 0.07981478827340262]","[0.08483781133379255, 0.07286242927823748, 0.05849771840231759, 0.056509052004132955, 0.019178675753729685, 0.05506424392972674, 0.036530520234789164, 0.04750626427786691, 0.09097794124058314, 0.06991866656712123, 0.041567351136888774, 0.07194164821079799, 0.08714673348835536, 0.0753300700868879, 0.08543241024017334, 0.09636410645076207, 0.04837954895836966, 0.1077329090663365, 0.06075569987297058, 0.18578124046325684, 0.09276145696640015, 0.15503408227648055, 0.4370365824018206, 0.3765049321310861, 0.14780317034040177, 0.2422177450997489, 0.16392249720437185, 0.056966934885297506]"
draft,0.05,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,2233,792,1441,16,72,0.04996530187369882,0.13245401857420802,0.13179354975000024,0.03282330185174942,0.05978123005479574,0.04776136204600334,0.09525822863286855,0.1349298017365592,0.10372244186547339,0.08679401540026374,0.06830660215750034,0.15117028781345912,0.063511888895716,0.07310131541928466,26079, Coffee,"[0.18849044186728342, 0.2514766114098685, 0.11205363273620605, 0.1904496124812535, 0.04147602830614362, 0.0756402782031468, 0.08366282497133527, 0.06943586894444057, 0.05936377389090402, 0.06245865992137364, 0.06191567863736834, 0.0706219460283007, 0.0844466005052839, 0.10062222821371895, 0.057706436940601895, 0.0658925473690033, 0.06899059670312065, 0.07396445955548968, 0.0628402190549033, 0.08559836660112653, 0.09598126581736974, 0.10718294552394322, 0.14688798359462193, 0.08907180173056466, 0.0806379999433245, 0.07638119799750191, 0.0690505930355617, 0.1349298017365592]","[0.11695713656289237, 0.1254159552710397, 0.08401009014674596, 0.08607327938079834, 0.03318500944546291, 0.0652981698513031, 0.04545467666217259, 0.05013488445963178, 0.050534989152635844, 0.05594451938356672, 0.023549122469765798, 0.04191973805427551, 0.05570623278617859, 0.0549826409135546, 0.05065911156790597, 0.043438570840018134, 0.029707421149526323, 0.055468312331608365, 0.03814082486288888, 0.07690766027995519, 0.07104679942131042, 0.05334735342434475, 0.10025395665849958, 0.1074624913079398, 0.09497572694505964, 0.07785545928137642, 0.0729844399860927, 0.15117028781345912]"
draft,0.05,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1946,792,1154,21,57,0.049393414211438474,0.12217651540413499,0.1215992933139205,0.03051944077014923,0.05723001156002283,0.05051474226638675,0.04505092696267732,0.033922656052777556,0.02619444680978536,0.06390740711556926,0.032294287555375875,0.009849822946957179,0.022829800312008177,0.04175877479874358,23201, Marg,"[0.024922515259308067, 0.02563441529565928, 0.03618998754592169, 0.023461787879061537, 0.009867613007422208, 0.022477015346085944, 0.017765929098842906, 0.02445063136872791, 0.03984531091184032, 0.02819581583243649, 0.012501347632635208, 0.030706152624013473, 0.03790608230902224, 0.03279765122601775, 0.05656151544480097, 0.03581709115683627, 0.06076631091889881, 0.05570359132727798, 0.027975860907106985, 0.09694540581735624, 0.064782765446877, 0.0842227806039408, 0.1316794051605017, 0.08463114783877418, 0.03966868653589366, 0.06369884646668726, 0.058327635940240354, 0.033922656052777556]","[0.01784785943371909, 0.01607923528977803, 0.028032796723502024, 0.009777355406965529, 0.007997438311576843, 0.02275176559175764, 0.01828452093260629, 0.0278980838400977, 0.021825690354619707, 0.035470964653151374, 0.012874563889844077, 0.03148519779954638, 0.0383715203830174, 0.03092021175793239, 0.056645802089146206, 0.02809396811894008, 0.04002950872693743, 0.06845365251813616, 0.021435384239469255, 0.06979864835739136, 0.041164479085377285, 0.09112582036427089, 0.061063366276877265, 0.04531947204044887, 0.021865159273147583, 0.019574431436402456, 0.010203331708908081, 0.009849822946957179]"
draft,0.05,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,2145,792,1353,22,67,0.04951958610495196,0.1281850365921855,0.12755574891343713,0.030783355236053467,0.05698763905093074,0.04764635814353824,0.09135353476749061,0.11345281229390726,0.08370188215889163,0.09900518737608954,0.10381316370805915,0.07579407521656581,0.0557331909634629,0.15189313645265543,26176, Joh,"[0.1429701346855659, 0.12373250490659243, 0.06635737728762936, 0.12167368306742087, 0.028572175409886744, 0.06721229057807426, 0.06534233340969334, 0.05845951724362064, 0.09066137710174957, 0.07629260149869052, 0.05981538822124531, 0.07952658541790851, 0.10984626373687348, 0.08136411765953164, 0.08138914232130175, 0.06218322530969397, 0.07763341185334441, 0.09896942237754922, 0.045271687693410105, 0.13209882959142907, 0.09694056077436967, 0.10972672004204292, 0.20187417562905843, 0.11498069763183594, 0.07359442153534332, 0.07240926445304573, 0.10554825175892223, 0.11345281229390726]","[0.08176319939749581, 0.057878545352390835, 0.05840123551232474, 0.062295888151441305, 0.022260308265686035, 0.0728691475731986, 0.030328267386981418, 0.04184510452406747, 0.06762930750846863, 0.05969057764325823, 0.040123696838106425, 0.07022253104618617, 0.07669855867113386, 0.03825830561774118, 0.0913988436971392, 0.08671861035483223, 0.046991118362971714, 0.09298110859734672, 0.045907752854483466, 0.20742361886160715, 0.13349817480359757, 0.16464184011731828, 0.4668643133980887, 0.3146005698612758, 0.12235832214355469, 0.12225120408194405, 0.1550743579864502, 0.07579407521656581]"
draft,0.05,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1970,792,1178,27,58,0.04923599320882852,0.1237150258384645,0.1231501018628478,0.03070527222007513,0.05971203371882439,0.04819226684048772,0.07070315839301791,0.04950426495264447,0.06728936016604652,0.07411695661998931,0.033011441042988886,0.006414405469383512,0.043039119973474614,0.022983762112503147,50106, Joan,"[0.09801305538762814, 0.12589191255115328, 0.06844188548900464, 0.09408704565946387, 0.02332944466323449, 0.05146905101796306, 0.05842592854979177, 0.05719691483432023, 0.06060625510240989, 0.04812099820091611, 0.05435794749587932, 0.05850903950040302, 0.06888842708850033, 0.07471313678398334, 0.0775141438479146, 0.051890317725126076, 0.07778935709958354, 0.09299977620442708, 0.035721334830793754, 0.10220180491291025, 0.058152819436693946, 0.09575909407681259, 0.17355340624612475, 0.08094819891389715, 0.03437621505172164, 0.05698806520492312, 0.05023859417627728, 0.04950426495264447]","[0.029806622437068393, 0.04684241328920637, 0.04771252189363752, 0.039465636014938354, 0.017858756440026418, 0.04221405301775251, 0.03398596601826804, 0.05230124933379037, 0.042301301445279806, 0.06344131061008998, 0.03201758222920554, 0.05687015397208078, 0.05866958839552743, 0.03906052453177316, 0.049474937575204034, 0.020680704287120273, 0.02786467969417572, 0.04793359552110944, 0.024431743792125156, 0.024780513984816416, 0.026198555316243852, 0.024406518254961287, 0.01996006284441267, 0.010909894747393472, 0.010092271225793021, 0.024135840790612356, 0.004488946071692875, 0.006414405469383512]"
draft,0.05,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2867,792,2075,19,103,0.04963855421686747,0.1723403618671,0.17154579190537333,0.03926794696599245,0.057580781169235706,0.049032061360776424,0.09525760441666388,0.08200147815216753,0.09714513178414615,0.09337007704918163,0.10302619955369405,0.11062627179282052,0.06976166215478158,0.13629073695260654,16,1,"[0.18600617315536155, 0.20282358155214697, 0.09397050671111372, 0.1611950522974918, 0.03563504470022101, 0.0749100993450423, 0.07940483093261719, 0.06526815084586467, 0.06175059841987782, 0.07311734938083735, 0.06706702440304864, 0.07107269315791309, 0.10387880282294482, 0.08393193725356482, 0.09451247337169218, 0.06827826966020398, 0.10483169555664062, 0.0942537408126028, 0.06117870933131168, 0.11845947208261132, 0.09506764806302867, 0.11735070020632636, 0.18115805145493127, 0.0910274821116512, 0.06572853891473067, 0.06852058181189057, 0.06481223715875382, 0.08200147815216753]","[0.11086900745119367, 0.1062314680644444, 0.059422816549028666, 0.07778680324554443, 0.028880310910088674, 0.06534530435289655, 0.051867587225777764, 0.057194650173187256, 0.0520743727684021, 0.07143722261701312, 0.04726323911121914, 0.06545240538460868, 0.1099266495023455, 0.0729114328111921, 0.14839049748011998, 0.10254616396767753, 0.14796623161860875, 0.15244177409580775, 0.11315722976412092, 0.11827827351433891, 0.14209747314453125, 0.11321418625967843, 0.35120885712759836, 0.11774505887712751, 0.08053444113050189, 0.17117151192256383, 0.03869234664099557, 0.11062627179282052]"
draft,0.05,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,2282,792,1490,16,74,0.049664429530201344,0.1327749490737915,0.1319369743578136,0.030805703718215227,0.0550567340105772,0.048011267092078924,0.09223090401109384,0.09248818670000349,0.0885733283904134,0.09588847963177428,0.11445099799608702,0.1724632808140346,0.08911116907791217,0.13979082691426176,14927, Charles,"[0.16183556829180037, 0.18353724479675293, 0.0825791869844709, 0.15419956615992955, 0.034763174397604804, 0.0648712260382516, 0.07752131564276558, 0.06527237807001386, 0.056860199996403286, 0.05909758806228638, 0.05267096843038287, 0.0635654628276825, 0.10190421342849731, 0.08134850433894567, 0.0821655307497297, 0.06788854939596993, 0.08655510629926409, 0.09605136939457484, 0.06814080476760864, 0.11707758903503418, 0.10651500735964094, 0.11398899555206299, 0.16322575296674455, 0.08642636026654925, 0.0753539970942906, 0.0866248607635498, 0.0999366044998169, 0.09248818670000349]","[0.1001521008355277, 0.09581352131707328, 0.07874104806355067, 0.10769496645246233, 0.039577092443193705, 0.10189110892159599, 0.056817514555794854, 0.07108515501022339, 0.06360184720584325, 0.13321841614586966, 0.07277383974620275, 0.10777233328138079, 0.12001078469412667, 0.09840663841792516, 0.16162005492619105, 0.11022531134741646, 0.11522670303072248, 0.14364748341696604, 0.11073796238218035, 0.09147529942648751, 0.09974065848759242, 0.1676469189780099, 0.3194661821637835, 0.19894191196986608, 0.06091956581388201, 0.0787843210356576, 0.12617592300687516, 0.1724632808140346]"
draft,0.05,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,2379,792,1587,22,79,0.04977945809703844,0.1374141159467399,0.1368213859386742,0.0316417277790606,0.05747256986796856,0.04794700117781758,0.09482584979405874,0.07224215470351182,0.0739195238460194,0.11573217574209803,0.10167233881597616,0.15358827795301164,0.0573898971993096,0.14595478043264273,73110, Ernst,"[0.10960965342335886, 0.12967131973861099, 0.07317546126130339, 0.09417684976156655, 0.02450474825772372, 0.0601716660833978, 0.07222646861881404, 0.055574194177404626, 0.07381922238832944, 0.060367039271763394, 0.04976068533860244, 0.07917828993363814, 0.08329750655533431, 0.06934022903442383, 0.110098021371024, 0.06301061209146079, 0.11165881466555905, 0.10654144782524605, 0.06013327759581727, 0.14441405952750863, 0.08299357550484794, 0.17066115837592583, 0.21668300380954494, 0.15222485034496752, 0.07029960681865742, 0.12129476472928927, 0.13799511302601208, 0.07224215470351182]","[0.03732424974441528, 0.04812578644071307, 0.04030840737479074, 0.03906783887318203, 0.01799734788281577, 0.05554894038609096, 0.03891638347080776, 0.04542302233832223, 0.12179979256221227, 0.0946185759135655, 0.027462354728153775, 0.09512792314801898, 0.08973914384841919, 0.051998794078826904, 0.15755699362073625, 0.1569185767854963, 0.09534638268607003, 0.08547564915248326, 0.0947985053062439, 0.1356924261365618, 0.07246935367584229, 0.13543070214135305, 0.30389908381870817, 0.1789358173097883, 0.04930036408560617, 0.1354231153215681, 0.28853167806352886, 0.15358827795301164]"
draft,0.05,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,2258,792,1466,23,73,0.049795361527967257,0.1329549215734005,0.13184325862675905,0.03193528996780515,0.05721419584006071,0.047604224644601345,0.08843561274453192,0.062330648765800904,0.09347765215118058,0.08339357333788325,0.13339843616193653,0.3198625019618443,0.08515436673650938,0.18164250558736375,14927, Charles,"[0.1744746095645502, 0.21258502273085694, 0.09876996389827374, 0.16518105927461424, 0.037677821165286236, 0.06875228289491642, 0.08445446535667277, 0.06678640472222559, 0.0711686981390722, 0.048637496758692014, 0.06294743318735442, 0.0637478798812961, 0.07959674456104729, 0.07390724798166974, 0.06889445144937646, 0.04644219179331146, 0.07807815741307987, 0.06807240195896315, 0.04137818709663723, 0.08858149984608525, 0.08271251702160569, 0.11306492586313567, 0.1667238792277271, 0.10838871120666124, 0.05638925777458997, 0.08184770619647103, 0.10460549111692061, 0.062330648765800904]","[0.10173780577523368, 0.08869866813932147, 0.0812088932309832, 0.10370090178080968, 0.0321549688066755, 0.109403737953731, 0.05849065099443708, 0.0801774093082973, 0.07439836433955602, 0.13921221664973668, 0.0766419768333435, 0.09060829026358468, 0.08934976373400007, 0.06637748650142125, 0.17116567066737584, 0.13423027311052596, 0.08608501298086983, 0.15047189167567662, 0.08763206856591362, 0.1366532870701381, 0.1019530211176191, 0.13853037357330322, 0.4091287340436663, 0.2614551442010062, 0.11970736299242292, 0.1644613572529384, 0.2616583790097918, 0.3198625019618443]"
