Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,True,0.23529411764705882,0.0,预测答案“National Cycle Network”直接提取了标准答案中的核心实体信息，准确回答了问题所问及的所属网络。虽然它省略了关于“United Kingdom”的修饰性背景描述，但在核心语义上与标准答案完全等价，符合评估标准。,N/A,N/A,N/A,N/A,N/A
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",True,1.0,1.0,"预测答案与标准答案完全一致，均准确提供了“Corfe Mullen, Dorset, England”这一地理位置信息，完整包含了标准答案的所有关键信息，语义上完全等价，因此正确回答了问题。",N/A,N/A,N/A,N/A,N/A
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",True,1.0,1.0,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，唯一的区别仅在于“Door County”后面少了一个逗号，属于标点符号的细微差异，不影响整体意思的表达。,N/A,N/A,N/A,N/A,N/A
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,True,0.5714285714285715,0.0,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的人名，包含了标准答案的核心关键信息。虽然它没有使用完整的陈述句，但在语义上与标准答案完全等价，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,Margareta Eriksdotter Vasa,False,0,0.0,预测答案给出的“Margareta Eriksdotter Vasa”与标准答案“Johanne Luise Heiberg”完全不一致。Johan Ludvig Heiberg的配偶是Johanne Luise Heiberg，预测答案未能包含标准答案的任何关键信息，因此是错误的。,N/A,N/A,N/A,N/A,N/A
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","Alice de Lusignan, Countess of Surrey had several siblings including her half-brother King Henry III of England and her half-siblings Richard, Joan, Isabella, and Eleanor. However, based on the provided information, the specific siblings of Alice de Lusignan are King Henry III, Richard, Joan, Isabella, and Eleanor.",False,0.3764705882352941,0.0,"预测答案虽然包含了标准答案中的关键信息（同母异父的兄弟亨利三世），但它额外添加了Richard, Joan, Isabella和Eleanor作为她的兄弟姐妹。标准答案仅提及了King Henry III of England，预测答案引入了未经证实或与标准答案不符的额外信息，导致语义不完全等价。",N/A,N/A,N/A,N/A,N/A
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,False,0.15384615384615385,0.0,预测答案仅提供了1220年这一时间点，遗漏了1216年首次加冕的关键信息。标准答案明确指出亨利三世有两次加冕，预测答案未能完整包含这些关键信息，在语义上与标准答案不等价。,N/A,N/A,N/A,N/A,N/A
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接提供了问题所询问的大学名称，包含了标准答案的核心关键信息。虽然它省略了完整的主谓语结构，但在语义上与标准答案完全等价，准确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,True,0.2857142857142857,0.0,预测答案“Ernst Mach”准确包含了标准答案中的核心关键信息，即物理学家的名字。虽然它省略了关于其奥地利籍身份以及哲学家身份的修饰性描述，但在回答“以谁命名”这一核心问题上，两者的语义完全等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,"Charles University in PragueDocument: Friedrich Hayek: His academic journey was significantly influenced by the works of Carl Menger and Friedrich von Wieser at the University of Vienna. However, the specific connection between Ernst Mach and a particular academic institution or employer is not detailed in the provided documents. The document on Vinko Dvořák mentions that after obtaining his doctorate, he became an assistant to professor Ernst Mach at Charles University in Prague, suggesting that Charles University in Prague was associated with Mach's later career. Given the lack of direct information about Mach's employer or academic institution during his career, the most accurate inference based on the provided information is Charles University in Prague.",True,0.15714285714285714,0.0,预测答案明确指出了“Charles University in Prague”，这与标准答案中的关键信息完全一致。尽管预测答案包含了一些额外的推理过程和文档引用，但其最终得出的结论与标准答案在语义上等价，正确回答了关于恩斯特·马赫学术机构的问题。,N/A,N/A,N/A,N/A,N/A
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,King Richard I of England,Richard I,True,0.5,0.0,预测答案“Richard I”与标准答案“King Richard I of England”在语义上完全等价。虽然预测答案省略了“英格兰国王”这一修饰性头衔，但“Richard I”已经准确包含了标准答案的核心关键信息，指代的都是同一位历史人物，因此回答正确。,N/A,N/A,N/A,N/A,N/A
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",Richard's fleet in order to reach Acre,False,0.26666666666666666,0.0,预测答案仅提到了前往阿卡的理查舰队，但完全遗漏了标准答案中的关键信息，即出发地（墨西拿）、时间（1191年4月）以及舰队被风暴驱散这一核心事件。因此，预测答案未能完整且准确地回答问题。,N/A,N/A,N/A,N/A,N/A
The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,George Packer,George Packer,True,1.0,1.0,预测答案“George Packer”与标准答案完全一致，准确包含了问题所询问的《The Unwinding》一书作者的关键信息，语义上完全等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,Peace Corps,Peace Corps,True,1.0,1.0,预测答案“Peace Corps”与标准答案完全一致，准确包含了问题所询问的关键信息，在语义上完全等价，因此正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,True,0.15384615384615385,0.0,预测答案“Art Brut”准确包含了标准答案中的核心实体信息。虽然它省略了关于该乐队国籍和音乐风格的描述性修饰语，但在回答“哪支乐队表演了这首歌”的核心意图上，两者的语义完全等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,Eddie Argos,Eddie Argos,True,1.0,1.0,预测答案与标准答案完全一致，均为“Eddie Argos”。预测答案准确包含了标准答案的关键信息，在语义上完全等价，正确地回答了关于Art Brut乐队主唱的问题。,N/A,N/A,N/A,N/A,N/A
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,True,0.13333333333333333,0.0,预测答案“Compaq”准确包含了标准答案中的核心关键信息，即发起1994年PC制造商价格战的公司名称。虽然预测答案省略了标准答案中的部分陈述性语句，但在语义上与标准答案完全等价，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,Hewlett Packard,Hewlett-Packard,True,0.4444444444444445,0.0,预测答案“Hewlett-Packard”与标准答案“Hewlett Packard”在语义上完全等价，唯一的区别在于中间多了一个连字符，属于公司名称拼写上的细微格式差异，不影响其实际表达的含义，因此判定为正确回答了问题。,N/A,N/A,N/A,N/A,N/A
What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife Eleanor of Provence, born in 1253, who was very sickly and did not survive her fourth year, dying in 1257.",True,0.6371681415929203,0.0,预测答案准确包含了标准答案的核心关键信息，如身份（亨利三世与埃莉诺的第五个孩子）、出生年份（1253年）、身体状况（多病）以及死亡时间（1257年，未满四岁）。虽然省略了具体的出生月份、死亡日期以及关于她失聪或智力障碍等细节，但在主要语义上与标准答案保持一致，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
