Question,Real Answer,Pred Answer
Thomas Bangalter recorded compositions for a 2002 French art psychological horror drama film that employs what kind of narrative?,non-linear,reverse chronology
"Manoir de Ban, which is located in the municipality of Corsier-sur-Vevey, Switzerland, is know to be the property of what famous actor? ",Charlie Chaplin,Charlie Chaplin
" Visy Industries was established in Melbourne, Australia in 1948 and has since grown to become one of the world’s largest privately owned paper, packaging and recycling companies, Visy was owned by Richard Pratt until his death, on which date, was a prominent Australian businessman, chairman of the privately owned company Visy Industries, and a leading figure of Melbourne society?",28 April 2009,28 April 2009
"Queen Mab, is a fairy referred to in William Shakespeare's play ""Romeo and Juliet"", where ""she is the fairies' midwife"", in her play, her activity is described in a famous speech by which fictional character in William Shakespeare's 1597 tragedy, a close friend to Romeo and a blood relative to Prince Escalus and Count Paris?",Mercutio,Mercutio
"Who was born in a country further east, Richard Dutcher or Rosa von Praunheim?",Rosa von Praunheim,Rosa von Praunheim
"Which actor who starred in the 2016 film Money Monster also is best known for his portrayal of Gustavo ""Gus"" Fring on the AMC shows ""Breaking Bad"" and ""Better Call Saul""?",Giancarlo Giuseppe Alessandro Esposito,Giancarlo Esposito
 What do Ian Astbury and George Thorogood have in common?,singer and songwriter,They are both American musicians known for their contributions to rock and blues music.
Which judge of Strictly Come Dancing is a professional ballroom dancer?,Len Goodman,Leonard Gordon Goodman
Where was Honest Ed's s store located at in Canada?,"Toronto, Ontario","the corner of Bloor and Bathurst Streets, extended the full length of the block west to Markham Street."
"Who was the author of the book, on which Channel 4's 1982 film, for which Howard Blake wrote the soundtrack. is based ? ","Raymond Briggs,",Raymond Briggs
"The Producers is a 2005 American musical comedy film directed by Susan Stroman, the film stars an ensemble cast, including which American comedian, actor and singer, best known as a cast member of ""Saturday Night Live"" from 1985 to 1990?",Jon Lovitz,Will Ferrell
The university that Tramaine Brock attended is in which state?,Mississippi,Mississippi
Are Hal Ashby and Ciro Ippolito of the same nationality?,no,no
"Tommy Lee Jones and Marshall Neilan, are of which nationality?",American,American
"Lodoicea and Nothofagus, are genus of what mutual species?",trees,plants
Kenneth Marlar Taylor had a friend best known for being one of the few United States Army Air Corps fighter pilots able to get airborne to engage Japanese forces in the attack on Pearl Harbor whose name was what?,George Welch,George Welch
"Which magazine, Photoplay or McCall's was a monthly American women's magazine,  that enjoyed great popularity through much of the 20th century, peaking at a readership of 8.4 million in the early 1960s?",McCall's,McCall's
"What american stage, film  and television actress, born in 1917 starred in A Letter to Three Wives?",Celeste Holm,Celeste Holm
When was the physicist who hosted Wonders of the Solar System born? ,3 March 1968,3 March 1968
In how many countries did a song written by Rolf Magnus Joakim Larsson go to the number one spot?,25,25
What year was the composer born that was responsible for the music and lyrics for the Doctor Dolittle musical?,1931,1931
Which movie starring Russell Crow was about the world heavyweight boxing champion from 1935 to 1937?,Cinderella Man,Cinderella Man
"What artists front his own band, The Fighting Hearts, and also co-founded the hard rock/heavy metal band The Almighty?",Ricky Warwick,Ricky Warwick
In what year was the physicist after whom the van der Waals forces were named born?,1837,1837
what kind of music is in Vanessa and King Priam?,opera,"Vanessa is an opera, and King Priam is an opera."
"Who directed the 1991 sport comedy film the nominee for an Academy Award for Best Supporting Actor for ""Jagged Edge"" starred in?",Stan Dragoti,Stan Dragoti
"When was the South Korean singer, actor, host and entertainer born who was known as Ballad Prince and was also a star of Gu Family Book?","January 13, 1987","January 13, 1987"
"What TV documentary permiered on BBC1 on March 19 1985 that was written and presented by the same person who is responsible for ""Connections""?",The Day the Universe Changed,The Day the Universe Changed
"The League of Gentlemen's Apocalypse is a feature film spin-off of the British television comedy series ""The League of Gentlemen"", featuring in guest roles are which English comedian and actor, and in a 2004 poll for the BBC, Kay was named the 46th most influential person in British culture?",Peter Kay,Peter Kay
In what city did Michael Gansey work during his time as the GM for the Canton Charge?,"Canton, Ohio",Canton
"The papal election of 1159 followed the death of which pope, who ruled from 1154 until 1159?",Pope Adrian IV,Pope Adrian IV
"Who has written shows in more languages, Francis Veber or John Garabedian?",Francis Paul Veber,Francis Veber
"Anthony Harris Bennett, is a Canadian professional basketball player for the Phoenix Suns of the NBA, he was the first overall pick by the Cleveland Cavaliers, becoming the first Canadian to be drafted number one overall, in the 2013 NBA draft, that was held on which date, at Barclays Center in Brooklyn, New York?","June 27, 2013","June 27, 2013"
Is the Caribbean the homeland of both Jean Rhys and Adolfo Bioy Casares?,no,no
"This American special effects designer owns a company called Alterian, Inc. and designed the special effects for what movie written and directed by Don Mancini in 2004?",Seed of Chucky,Seed of Chucky
When was Carrie Fisher's brother from Debbie Reynolds born?,1958,"February 24, 1958"
What movement is David Yerushalmi behind that would prohibit the implementation of Islanic law in courts in any civil jurisdiction?,anti-sharia movement,anti-sharia movement
"What title did the mother of Archduke Charles, Duke of Teschen hold in Tuscany?",Grand Duchess,Grand Duchess of Tuscany
Which comedian played in When Time Ran Out and The Karate Kid?,Pat Morita,"Noriyuki ""Pat"" Morita"
"Among India's oldest universities founded in 1918, Osmania University is in which city?",Hyderabad,Hyderabad
"Christine Ebersole appeared on Broadway in what musical, based on a 1975 documentary?",Grey Gardens,Grey Gardens
"Which musician is American, Roy Khan or Lou Gramm?",Lou Gramm,Lou Gramm
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,Marta Eggerth
League of Gods stars a Hong Kong film actor who founded One Cool Film Production Limited in what year?,2013,2013
"Graham Bonnet and John Corabi, have which mutual occupation?",rock singer,Answer: They are both rock singers and musicians.
What geography do both Paolo Nespoli and Soyuz TMA-20 have in common?,International Space Station,Kazakhstan
