Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,57 part of the United Kingdom's National Cycle Network.,True,0.6956521739130436,0.0,预测答案虽然省略了主语“National Cycle Route”，但保留了核心信息“57 part of the United Kingdom's National Cycle Network”，与标准答案在语义上完全等价，正确回答了该路线所属的网络。
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","3% of the cost to maintain Julia's House is provided by the government, but the location of its headquarters is not mentioned in the provided documents.",False,0,0.0,"预测答案明确表示没有提及总部的位置，因此完全没有包含标准答案中的“Corfe Mullen, Dorset, England”这一关键信息，未能回答问题。"
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.",1994.,False,0,0.0,预测答案“1994”仅仅提供了一个年份，完全没有包含标准答案中关于Coffee Swamp地理位置的任何信息（华盛顿岛北部、威斯康星州多尔县），在语义上与问题毫不相关，因此是错误的。
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,True,0.5714285714285715,0.0,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的人名，包含了标准答案的核心关键信息。虽然它没有使用完整的陈述句，但在语义上与标准答案完全等价，正确地回答了问题。
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,Johanne Luise Heiberg,True,1.0,1.0,预测答案与标准答案完全一致，均为“Johanne Luise Heiberg”。该答案准确包含了标准答案的所有关键信息，在语义上完全等价，正确地回答了关于 Johan Ludvig Heiberg 配偶的问题。
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","1. Isabella of Angoulême  
2. Henry III of England  
3. Richard, King of the Romans  
4. Joan, Queen of Scotland  
5. Eleanor, Countess of Leicester",False,0.08,0.0,预测答案虽然包含了标准答案中的关键信息“Henry III of England”，但同时也列出了其他人物（如Isabella of Angoulême等）。根据标准答案，Alice de Lusignan的兄弟姐妹仅提到了同母异父的兄弟亨利三世，预测答案包含了多余且未在标准答案中提及的信息，导致语义不完全等价，因此判断为错误。
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1216 and 1220,True,0.4,0.0,预测答案准确地提取了标准答案中的核心时间信息，即1216年和1220年。虽然它省略了加冕地点等具体细节，但完全回答了“何时加冕”的问题，在核心语义上与标准答案保持一致。
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接包含了标准答案中的核心实体信息，准确回答了关于Ernst Mach受雇大学的问题。虽然它省略了标准答案中的主语和谓语等上下文修饰词，但语义与标准答案完全一致，符合评估标准。
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,True,0.2857142857142857,0.0,预测答案“Ernst Mach”准确包含了标准答案中的核心关键信息，即物理学家的具体名字。虽然预测答案省略了关于其奥地利籍贯以及哲学家身份的修饰性描述，但在回答“以谁命名”这一核心问题上语义完全等价，因此判断为正确。
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,"Ernst Mach was employed as a professor at Charles University in Prague, where he served as an assistant to Vinko Dvořák during his studies. Additionally, Mach was affiliated with the University of Vienna, where Friedrich Hayek studied and was influenced by Mach's work. However, Mach's primary academic institution during his career was Charles University in Prague.",True,0.28205128205128205,0.0,预测答案明确指出了恩斯特·马赫的学术机构是布拉格查理大学，这与标准答案的核心信息完全一致。尽管预测答案包含了一些额外的背景信息，但其主要结论与标准答案在语义上等价，正确回答了问题。
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,King Richard I of England,Richard I,True,0.5,0.0,预测答案“Richard I”直接指出了国王的具体身份，与标准答案“King Richard I of England”在语义上完全等价。虽然预测答案省略了“English king”等修饰性词汇，但保留了最核心的实体信息，准确回答了问题。
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",1191 expedition to Acre,True,0.3448275862068966,0.0,预测答案“1191 expedition to Acre”准确捕捉了标准答案中的核心关键信息，即时间“1191年”和目的地“Acre（阿卡）”。尽管它省略了出发地“Messina”等部分细节，但在语义上与标准答案所指的同一支被风暴驱散的舰队完全一致，正确回答了问题。
The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,George Packer,2013 non-fiction book by the American journalist George Packer.,True,0.375,0.0,预测答案中明确指出了《The Unwinding》的作者是美国记者乔治·帕克（George Packer），包含了标准答案所需的关键信息。虽然预测答案附加了出版年份和书籍类型等额外描述，但在核心语义上与标准答案完全一致，正确回答了问题。
The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,Peace Corps,Peace Corps,True,1.0,1.0,预测答案“Peace Corps”与标准答案完全一致，准确包含了问题所需的关键信息，在语义上完全等价，正确地回答了George Packer所志愿服务的组织名称。
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,1990s British rock band Art Brut.,True,0.4761904761904762,0.0,预测答案准确包含了标准答案中的核心关键信息，即歌曲的表演者是“Art Brut”。虽然预测答案多出了“1990s”这一修饰词且省略了部分陈述句式，但这并不影响语义的准确表达，与标准答案在核心语义上保持一致，正确回答了问题。
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,Eddie Argos,Eddie Argos,True,1.0,1.0,预测答案“Eddie Argos”与标准答案完全一致，准确包含了问题的关键信息，指出了乐队Art Brut的主唱是谁，语义上完全等价，因此判断为正确。
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,True,0.13333333333333333,0.0,预测答案“Compaq”准确提取了标准答案中的核心实体信息，直接回答了问题所询问的发起价格战的公司名称。虽然缺少了部分修饰性语句，但在语义上与标准答案完全等价，符合正确回答的标准。
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,Hewlett Packard,Hewlett-Packard,True,0.4444444444444445,0.0,预测答案“Hewlett-Packard”与标准答案“Hewlett Packard”在语义上完全等价，唯一的区别在于预测答案多了一个连字符，这属于措辞上的细微差异，不影响对问题中合并公司的准确表达。
What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged and was very sickly. She possibly had a degenerative disease, did not survive her fourth year and died at Windsor.",True,0.7438016528925621,0.0,预测答案包含了标准答案的所有关键信息，如她是亨利三世和埃莉诺的第五个孩子、患有聋哑或心智障碍、体弱多病、可能患有退化性疾病以及在四岁前于温莎去世。两者在语义上完全等价，仅存在措辞上的细微差异。
What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216,False,0.24000000000000002,0.0,预测答案仅包含了1216年这一个时间点，遗漏了标准答案中关于1220年第二次加冕的关键信息。因此，预测答案未能完整包含标准答案的全部要点，在语义上与标准答案并不等价。
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.","1947 film Miracle on 34th Street featured Natalie Wood as Susan Walker, the little girl in the movie.",True,0.8260869565217391,0.0,预测答案包含了标准答案的关键信息，明确指出了在1947年的电影《34街的奇迹》中，饰演小女孩Susan Walker的演员是Natalie Wood。两者在语义上完全等价，仅措辞略有不同，正确回答了问题。
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,Lana Wood is the sibling of actress Natalie Wood.,Lana Wood,True,0.33333333333333337,0.0,预测答案“Lana Wood”直接提供了标准答案中的核心实体信息，准确回答了问题所询问的对象。虽然预测答案省略了标准答案中的修饰性语句，但在语义上与标准答案完全等价，符合评估标准。
What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,"Culberson County, Texas",Culberson County,True,0.8571428571428571,0.0,预测答案“Culberson County”包含了标准答案中的核心地理信息，即县名。虽然它省略了州名“Texas”，但在语义上已经准确回答了Pine Springs所在的县，符合允许措辞细微差异的判断标准。
