Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network (NCN),True,0.4210526315789474,0.0,预测答案“National Cycle Network (NCN)”准确包含了标准答案中的核心信息，即该路线所属的网络名称。虽然预测答案省略了关于“United Kingdom's”的修饰语，但在语义上与标准答案完全等价，正确地回答了问题。
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",True,1.0,1.0,"预测答案与标准答案完全一致，均提供了“Corfe Mullen, Dorset, England”这一确切地点信息，准确且完整地回答了关于Julia's House总部所在地的问题，符合所有判断标准。"
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",True,1.0,1.0,预测答案包含了标准答案的所有关键信息，即位于威斯康星州多尔县的华盛顿岛北边缘。两者在语义上完全等价，唯一的区别仅在于“Door County”后面少了一个逗号，属于不影响句意表达的细微标点差异。
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,True,0.5714285714285715,0.0,预测答案“Johan Ludvig Heiberg”准确给出了问题所询问的人物，包含了标准答案的核心关键信息。虽然它没有使用完整的陈述句，但其语义与标准答案完全等价，正确回答了Peter Andreas Heiberg的孩子是谁这一问题。
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,Johanne Luise Heiberg,True,1.0,1.0,预测答案与标准答案完全一致，均为“Johanne Luise Heiberg”，准确包含了问题所询问的关键信息，语义上完全等价，因此预测答案正确地回答了问题。
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.",King Henry III of England,True,0.4799999999999999,0.0,预测答案“King Henry III of England”准确包含了标准答案中的核心关键信息。标准答案指出Alice de Lusignan的兄弟姐妹包括同母异父的兄弟英格兰国王亨利三世，预测答案直接给出了该人物，在语义上与标准答案完全等价，正确回答了问题。
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1216 and 1220,True,0.4,0.0,预测答案提取了标准答案中最核心的时间信息“1216”和“1220”，准确回答了亨利三世加冕的时间。虽然省略了具体的加冕地点等细节，但核心语义与标准答案完全一致，符合正确回答问题的标准。
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接提取了标准答案中的核心实体信息，准确回答了关于Ernst Mach受雇于哪所大学的问题。虽然缺少了完整的句子结构，但在语义上与标准答案完全一致，符合评估标准。
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,True,0.2857142857142857,0.0,预测答案“Ernst Mach”准确包含了标准答案中的核心关键信息，即物理学家的名字。虽然预测答案省略了关于其国籍和身份的修饰性描述，但在回答“以谁命名”这一问题上，两者语义完全等价，因此判断为正确。
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接包含了标准答案中的核心关键信息，即马赫职业生涯期间所在的学术机构。虽然预测答案省略了“was a professor at”等修饰性词语，但语义上与标准答案完全一致，准确回答了问题。
