Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
Where is the country with ISO code ISO 3166-2:CV located?,What country has the ISO 3166-1 alpha-2 code CV?,Cabo Verde,"<think>

</think>

Cabo Verde",True,0,0.0,预测答案“Cabo Verde”与标准答案完全一致，准确地指出了ISO 3166-1 alpha-2代码“CV”所对应的国家，符合所有判断标准。,N/A,N/A,N/A,N/A,N/A
Where is the country with ISO code ISO 3166-2:CV located?,Where is Cabo Verde located geographically?,"Cabo Verde is an island country located in the central Atlantic Ocean, approximately 570 kilometers (350 miles) west of the Cape Verde Peninsula off the coast of Northwest Africa.","<think>

</think>

Cabo Verde is located in the central Atlantic Ocean, 570 kilometres (350 mi) west of the Cape Verde Peninsula off the coast of Northwest Africa.",True,0,0.0,预测答案准确包含了标准答案中的所有关键信息，即位于中大西洋、距离非洲西北海岸的佛得角半岛以西570公里。两者在语义上完全等价，仅存在极小的措辞差异，完全符合正确回答问题的标准。,N/A,N/A,N/A,N/A,N/A
What award did the author of The Red Tree receive?,Who is the author of The Red Tree?,Shaun Tan,"<think>

</think>

Shaun Tan",True,0,0.0,预测答案“Shaun Tan”与标准答案完全一致，准确地给出了《The Red Tree》这本书的作者信息，正确且完整地回答了提出的问题。,N/A,N/A,N/A,N/A,N/A
What award did the author of The Red Tree receive?,What award did Shaun Tan receive?,Shaun Tan received an Academy Award for Best Animated Short Film in 2011.,"Answer: Shaun Tan did not receive an award directly mentioned in the provided documents. However, the film ""The Lost Thing,"" directed by Andrew Ruhemann and Shaun Tan, won an Academy Award for Best Animated Short Film in 2011.",True,0.5263157894736842,0.0,预测答案虽然包含了一些额外的背景信息，但明确指出了Shaun Tan参与执导的影片在2011年获得了奥斯卡最佳动画短片奖。这与标准答案的核心信息在语义上完全一致，准确回答了问题。,N/A,N/A,N/A,N/A,N/A
What was the show named after the character featured in the video game Mickey's Safari in Letterland?,What character is featured in the video game Mickey's Safari in Letterland?,Mickey Mouse,"<think>

</think>

Mickey Mouse",True,0,0.0,预测答案“Mickey Mouse”与标准答案完全一致，准确地指出了视频游戏《Mickey's Safari in Letterland》中的主角，包含了标准答案的所有关键信息，语义完全等价。,N/A,N/A,N/A,N/A,N/A
What was the show named after the character featured in the video game Mickey's Safari in Letterland?,What television show is named after the character Mickey Mouse?,The Mickey Mouse Club,"<think>

</think>

The All-New Mickey Mouse Club",True,0,0.0,预测答案“The All-New Mickey Mouse Club”是标准答案“The Mickey Mouse Club”的衍生复兴版本，两者均是以米老鼠这一角色命名的电视节目。在语义和实体指代上，预测答案与标准答案高度一致，符合问题要求。,N/A,N/A,N/A,N/A,N/A
In which county is Southern Maryland Electric Cooperative headquartered?,Where is the headquarters of Southern Maryland Electric Cooperative?,"The headquarters of Southern Maryland Electric Cooperative is in Hughesville, Maryland.","<think>

</think>

The headquarters of Southern Maryland Electric Cooperative (SMECO) is in Hughesville, Maryland.",True,0,0.0,"预测答案明确指出了Southern Maryland Electric Cooperative的总部位于Hughesville, Maryland，这与标准答案的核心信息完全一致，准确回答了问题。",N/A,N/A,N/A,N/A,N/A
Where is Amílcar Cabral International Airport?,Amílcar Cabral International Airport location,Amílcar Cabral International Airport is located two km west-southwest from Espargos on Sal Island.,"</think>

Amílcar Cabral International Airport, also known as Sal International Airport, is located two km west-southwest from Espargos on Sal Island in Cabo Verde.",True,0,0.0,预测答案完整包含了标准答案中的关键地理位置信息，即“位于萨尔岛Espargos西南偏西两公里处”。虽然预测答案额外补充了机场的别名和所在国家，但这并未改变核心语义，两者在语义上完全等价。,N/A,N/A,N/A,N/A,N/A
Where was the author of Hannibal and Scipio educated at?,Who is the author of the book 'Hannibal and Scipio'?,Thomas Nabbes,Answer: Thomas Nabbes,True,0.8571428571428571,0.0,预测答案明确指出了书籍的作者是Thomas Nabbes，与标准答案完全一致。虽然预测答案多包含了“Answer:”这样的前缀词，但这属于无关紧要的格式差异，不影响核心语义的表达，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Where was the author of Hannibal and Scipio educated at?,Where was Thomas Nabbes educated?,"Thomas Nabbes was educated at Exeter College, Oxford in 1621.","<think>

</think>

Thomas Nabbes was educated at Exeter College, Oxford.",True,0,0.0,"预测答案准确地指出了 Thomas Nabbes 接受教育的地方是 Exeter College, Oxford，这与标准答案的核心信息完全一致。虽然预测答案省略了具体的时间“in 1621”，但已经完美回答了“Where”这一核心问题，因此判定为正确。",N/A,N/A,N/A,N/A,N/A
