row_id,is_warmup,example_id,sub_q_idx,doc_tokens,query_tokens,full_tokens,end_to_end_ttft_s,kv_load_copy_s,draft_selection_s,draft_score_forward_s,online_update_query_prefill_s,extra_impl_overhead_s,selected_doc_tokens,reprocess_prefill_tokens,main_question,sub_question
0,True,0,0,1313,27,2132,0.349423801060766,0.0607729060575366,0.0,0.0,0.21795872319489717,0.0706921718083322,0,27,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?
1,True,1,0,1295,25,2112,0.19657065393403172,0.024692337028682232,0.0,0.0,0.1101980758830905,0.061680241022259,0,25,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?
2,True,2,0,1441,21,2254,0.19530590577051044,0.02658735029399395,0.0,0.0,0.10841622902080417,0.06030232645571232,0,21,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?
3,True,3,0,1154,26,1972,0.17084611020982265,0.021945488173514605,0.0,0.0,0.10125330509617925,0.0476473169401288,0,26,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?
4,True,3,1,1353,27,2172,0.18043017806485295,0.02492766873911023,0.0,0.0,0.10136589827015996,0.05413661105558276,0,27,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?
5,True,4,0,1178,32,2002,0.18046593200415373,0.0228777970187366,0.0,0.0,0.10188316879794002,0.05570496618747711,0,32,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?"
6,True,4,1,2075,24,2891,0.21689147036522627,0.03028216166421771,0.0,0.0,0.10103012109175324,0.08557918760925531,0,24,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?
7,True,6,0,1490,21,2303,0.18756263330578804,0.024005327839404345,0.0,0.0,0.10208708280697465,0.061470222659409046,0,21,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?
8,False,7,0,1587,27,2406,0.20070633618161082,0.023620246909558773,0.0,0.0,0.10266976431012154,0.07441632496193051,0,27,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?
9,False,7,1,1466,28,2286,0.18377560609951615,0.02451869985088706,0.0,0.0,0.10280940867960453,0.05644749756902456,0,28,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?
10,False,9,0,1998,25,2815,0.21978727914392948,0.026422914117574692,0.0,0.0,0.10277738282456994,0.09058698220178485,0,25,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?
11,False,9,1,2722,33,3547,0.24837757367640734,0.0342316972091794,0.0,0.0,0.11122175492346287,0.10292412154376507,0,33,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?
12,False,10,0,1505,25,2322,0.1827337290160358,0.024298042058944702,0.0,0.0,0.10149780008941889,0.056937886867672205,0,25,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?
13,False,10,1,1738,24,2554,0.19345641508698463,0.02751901187002659,0.0,0.0,0.10125875100493431,0.06467865221202374,0,24,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?
14,False,11,0,1230,27,2049,0.17781315417960286,0.023271409794688225,0.0,0.0,0.101771657820791,0.05277008656412363,0,27,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?
15,False,11,1,1205,26,2023,0.18001017812639475,0.025838189758360386,0.0,0.0,0.10178190283477306,0.0523900855332613,0,26,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?
16,False,12,0,2011,32,2835,0.19542782800272107,0.027212947141379118,0.0,0.0,0.10213759588077664,0.06607728498056531,0,32,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?
17,False,12,1,2101,30,2923,0.20141609478741884,0.029153646901249886,0.0,0.0,0.10318236937746406,0.0690800785087049,0,30,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?
18,False,13,0,1142,21,1955,0.17092680092900991,0.02265942096710205,0.0,0.0,0.10087002068758011,0.047397359274327755,0,21,What year was the father of Katherine of England crowned?,Who is Katherine of England?
19,False,13,1,2083,25,2900,0.20097751216962934,0.032137177884578705,0.0,0.0,0.1016135411337018,0.06722679315134883,0,25,What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?
20,False,14,0,1057,36,1885,0.18015492986887693,0.02207729732617736,0.0,0.0,0.11203232407569885,0.04604530846700072,0,36,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?
21,False,14,1,1681,24,2497,0.19731652503833175,0.028378862887620926,0.0,0.0,0.10878300573676825,0.060154656413942575,0,24,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?
22,False,15,0,678,23,1493,0.16161917243152857,0.0198909780010581,0.0,0.0,0.1014009709469974,0.04032722348347306,0,23,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?
23,False,15,1,1121,28,1941,0.174745277967304,0.02387039689347148,0.0,0.0,0.10154058737680316,0.04933429369702935,0,28,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?"
24,False,16,0,1515,28,2335,0.18367300601676106,0.024505387991666794,0.0,0.0,0.10394219821318984,0.05522541981190443,0,28,"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?
25,False,16,1,2189,30,3011,0.2049776199273765,0.03206485230475664,0.0,0.0,0.10322603397071362,0.06968673365190625,0,30,"In 2002, what company merged with the top PC manufacturer from 1994?",What company did Compaq merge with in 2002?
26,False,17,0,1415,28,2235,0.18274564296007156,0.024142279289662838,0.0,0.0,0.10158115485683084,0.05702220881357789,0,28,"In the King's Speech, who played the person who was the King of England in 1950?",Who was the King of England in 1950?
27,False,17,1,1936,30,2758,0.20223392872139812,0.033861580304801464,0.0,0.0,0.10191378090530634,0.06645856751129031,0,30,"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?
