/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:04<00:04,  4.45s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.80s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.90s/it]
teacher pair=750 top=57 score_mean=0.144366
teacher pair=751 top=57 score_mean=0.144366
teacher pair=752 top=57 score_mean=0.144366
teacher pair=753 top=57 score_mean=0.144366
teacher pair=754 top=57 score_mean=0.144366
teacher pair=755 top=57 score_mean=0.144366
teacher pair=756 top=57 score_mean=0.144366
teacher pair=757 top=57 score_mean=0.144366
teacher pair=758 top=57 score_mean=0.144366
teacher pair=759 top=57 score_mean=0.144366
teacher pair=760 top=57 score_mean=0.144366
teacher pair=761 top=57 score_mean=0.144366
teacher pair=762 top=57 score_mean=0.144366
teacher pair=763 top=57 score_mean=0.144366
teacher pair=764 top=57 score_mean=0.144366
teacher pair=765 top=57 score_mean=0.144366
teacher pair=766 top=57 score_mean=0.144366
teacher pair=767 top=57 score_mean=0.144366
teacher pair=768 top=57 score_mean=0.144366
teacher pair=769 top=57 score_mean=0.144366
teacher pair=770 top=57 score_mean=0.144366
teacher pair=771 top=57 score_mean=0.144366
teacher pair=772 top=57 score_mean=0.144366
teacher pair=773 top=57 score_mean=0.144366
teacher pair=774 top=57 score_mean=0.144366
teacher pair=775 top=57 score_mean=0.144366
teacher pair=776 top=57 score_mean=0.144366
teacher pair=777 top=57 score_mean=0.144366
teacher pair=778 top=57 score_mean=0.144366
teacher pair=779 top=57 score_mean=0.144366
teacher pair=780 top=57 score_mean=0.144366
teacher pair=781 top=57 score_mean=0.144366
teacher pair=782 top=57 score_mean=0.144366
teacher pair=783 top=57 score_mean=0.144366
teacher pair=784 top=57 score_mean=0.144366
teacher pair=785 top=57 score_mean=0.144366
teacher pair=786 top=57 score_mean=0.144366
teacher pair=787 top=57 score_mean=0.144366
teacher pair=788 top=57 score_mean=0.144366
teacher pair=789 top=57 score_mean=0.144366
teacher pair=790 top=57 score_mean=0.144366
teacher pair=791 top=57 score_mean=0.144366
teacher pair=792 top=57 score_mean=0.144366
teacher pair=793 top=57 score_mean=0.144366
teacher pair=794 top=57 score_mean=0.144366
teacher pair=795 top=57 score_mean=0.144366
teacher pair=796 top=57 score_mean=0.144366
teacher pair=797 top=57 score_mean=0.144366
teacher pair=798 top=57 score_mean=0.144366
teacher pair=799 top=57 score_mean=0.144366
teacher pair=800 top=57 score_mean=0.144366
teacher pair=801 top=57 score_mean=0.144366
teacher pair=802 top=57 score_mean=0.144366
teacher pair=803 top=57 score_mean=0.144366
teacher pair=804 top=57 score_mean=0.144366
teacher pair=805 top=57 score_mean=0.144366
teacher pair=806 top=57 score_mean=0.144366
teacher pair=807 top=57 score_mean=0.144366
teacher pair=808 top=57 score_mean=0.144366
teacher pair=809 top=57 score_mean=0.144366
teacher pair=810 top=57 score_mean=0.144366
teacher pair=811 top=57 score_mean=0.144366
teacher pair=812 top=57 score_mean=0.144366
teacher pair=813 top=57 score_mean=0.144366
teacher pair=814 top=57 score_mean=0.144366
teacher pair=815 top=57 score_mean=0.144366
teacher pair=816 top=57 score_mean=0.144366
teacher pair=817 top=57 score_mean=0.144366
teacher pair=818 top=57 score_mean=0.144366
teacher pair=819 top=57 score_mean=0.144366
teacher pair=820 top=57 score_mean=0.144366
teacher pair=821 top=57 score_mean=0.144366
teacher pair=822 top=57 score_mean=0.144366
teacher pair=823 top=57 score_mean=0.144366
teacher pair=824 top=57 score_mean=0.144366
teacher pair=825 top=57 score_mean=0.144366
teacher pair=826 top=57 score_mean=0.144366
teacher pair=827 top=57 score_mean=0.144366
teacher pair=828 top=57 score_mean=0.144366
teacher pair=829 top=57 score_mean=0.144366
teacher pair=830 top=57 score_mean=0.144366
teacher pair=831 top=57 score_mean=0.144366
teacher pair=832 top=57 score_mean=0.144366
teacher pair=833 top=57 score_mean=0.144366
teacher pair=834 top=57 score_mean=0.144366
teacher pair=835 top=57 score_mean=0.144366
teacher pair=836 top=57 score_mean=0.144366
teacher pair=837 top=57 score_mean=0.144366
teacher pair=838 top=57 score_mean=0.144366
teacher pair=839 top=57 score_mean=0.144366
teacher pair=840 top=57 score_mean=0.144366
teacher pair=841 top=57 score_mean=0.144366
teacher pair=842 top=57 score_mean=0.144366
teacher pair=843 top=57 score_mean=0.144366
teacher pair=844 top=57 score_mean=0.144366
teacher pair=845 top=57 score_mean=0.144366
teacher pair=846 top=57 score_mean=0.144366
teacher pair=847 top=57 score_mean=0.144366
teacher pair=848 top=57 score_mean=0.144366
teacher pair=849 top=57 score_mean=0.144366
teacher pair=850 top=57 score_mean=0.144366
teacher pair=851 top=57 score_mean=0.144366
teacher pair=852 top=57 score_mean=0.144366
teacher pair=853 top=57 score_mean=0.144366
