Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
Where was the founder of the National Women's Party born?,Who is the founder of the National Women's Party?,Alice Paul,Alice Paul,True,1.0,1.0,预测答案与标准答案完全一致，均为“Alice Paul”。预测答案准确包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于全国妇女党创始人是谁的问题。,N/A,N/A,N/A,N/A,N/A
Where was the founder of the National Women's Party born?,Where was Alice Paul born?,"Mount Laurel Township, New Jersey.","Paulsdale, in Mount Laurel Township, New Jersey.",True,0.7142857142857143,0.0,"预测答案不仅包含了标准答案中的关键信息“Mount Laurel Township, New Jersey”，还进一步提供了更具体的出生地名称“Paulsdale”。两者在语义上完全等价，预测答案准确且更详细地回答了问题。",N/A,N/A,N/A,N/A,N/A
What administrative territorial entity is the owner of Ciudad Deportiva located?,Where is Ciudad Deportiva located?,"Ciudad Deportiva is located in Nuevo Laredo, Mexico.","Ciudad Deportiva is located in Nuevo Laredo, Mexico.",True,1.0,1.0,"预测答案与标准答案完全一致，都明确指出了Ciudad Deportiva位于墨西哥的新拉雷多（Nuevo Laredo, Mexico）。预测答案包含了标准答案的所有关键信息，且语义完全等价，因此判断为正确。",N/A,N/A,N/A,N/A,N/A
What administrative territorial entity is the owner of Ciudad Deportiva located?,"What administrative territorial entity owns the Ciudad Deportiva sports complex in Nuevo Laredo, Mexico?",The Ciudad Deportiva sports complex is owned by the Nuevo Laredo Municipality.,"The Ciudad Deportiva sports complex in Nuevo Laredo, Mexico is owned by the Nuevo Laredo municipality.",True,0.8125000000000001,0.0,预测答案包含了标准答案的关键信息，明确指出了该体育综合体归Nuevo Laredo municipality所有。两者在语义上完全等价，预测答案仅增加了问题中提到的地点背景信息，这属于措辞上的细微差异，不影响核心意思的准确性。,N/A,N/A,N/A,N/A,N/A
Who founded the company that distributed the film UHF?,Which company distributed the film UHF?,Orion Pictures,"The information provided does not specify which company distributed the film ""UHF.""",False,0,0.0,预测答案表示无法提供发行电影《UHF》的公司信息，未能包含标准答案中的关键信息“Orion Pictures”，在语义上与标准答案完全不一致，因此没有正确回答问题。,N/A,N/A,N/A,N/A,N/A
Who founded the company that distributed the film UHF?,Who founded Orion Pictures?,Morris Mike Medavoy was a co-founder of Orion Pictures.,Morris Mike Medavoy founded Orion Pictures.,True,0.761904761904762,0.0,预测答案包含了标准答案的核心人物信息，并且“founded”与“co-founder”在语境中语义基本等价，准确传达了Morris Mike Medavoy创立Orion Pictures这一事实，符合允许细微措辞差异的标准。,N/A,N/A,N/A,N/A,N/A
What is the place of birth of the person who submitted the first version of the equal rights amendment to congress in 1923?,Who submitted the first version of the Equal Rights Amendment to Congress in 1923?,"Alice Paul, the head of the National Women's Party, revised the proposed Equal Rights Amendment in 1923.",Alice Paul,True,0.1111111111111111,0.0,预测答案“Alice Paul”准确提取了标准答案中的核心人物信息，直接且正确地回答了关于谁在1923年向国会提交了《平等权利修正案》第一版的问题，语义上完全一致。,N/A,N/A,N/A,N/A,N/A
What is the place of birth of the person who submitted the first version of the equal rights amendment to congress in 1923?,What is the place of birth of Alice Paul?,"Paulsdale, Mount Laurel Township, New Jersey","Paulsdale, in Mount Laurel Township, New Jersey.",True,0.9411764705882353,0.0,预测答案包含了标准答案中的所有关键信息，即“Paulsdale”、“Mount Laurel Township”和“New Jersey”。两者在语义上完全等价，预测答案仅增加了介词“in”和句号，属于措辞上的细微差异，不影响对问题关于Alice Paul出生地的准确回答。,N/A,N/A,N/A,N/A,N/A
"Since 2004, what is the location of the body to which, if a matter is not specifically reserved, it is devolved?",What is the location of the devolved body responsible for non-reserved matters since 2004?,"The devolved body is the Scottish Parliament, located in the Holyrood area of Edinburgh since September 2004.",Holyrood area of Edinburgh,True,0.4,0.0,预测答案“Holyrood area of Edinburgh”准确包含了标准答案中的核心地理位置信息。虽然它省略了关于“Scottish Parliament”等背景描述，但直接且正确地回答了问题所询问的“location”，语义上与标准答案完全一致。,N/A,N/A,N/A,N/A,N/A
When did the person who first brought a postal service into Umayyad lands become caliph?,Who first introduced the postal service in the Umayyad Caliphate?,Mu'awiyah introduced the postal service in the Umayyad Caliphate.,Mu'awiyah,True,0.35294117647058826,0.0,预测答案“Mu'awiyah”准确包含了标准答案中的核心关键信息，即引入邮政服务的人名。虽然预测答案省略了标准答案中的部分陈述性语句，但在回答“Who”这类提问人物的问题时，仅提供正确的人名在语义上已与标准答案完全等价，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
When did the person who first brought a postal service into Umayyad lands become caliph?,When did Mu'awiyah become caliph of the Umayyad Caliphate?,Mu'awiyah became caliph in 661 CE.,661,True,0.2857142857142857,0.0,预测答案“661”准确包含了标准答案中的核心年份信息，即公元661年。尽管预测答案省略了“CE”和具体的上下文语句，但在语义上与标准答案完全等价，正确回答了穆阿威叶成为哈里发的时间。,N/A,N/A,N/A,N/A,N/A
This is an instance of who was named commander in chief of texas forces by the new national government of texas National Forest?,Who was named commander in chief of Texas forces by the new national government of Texas?,Sam Houston was named commander in chief of the Texas forces by the new national government of Texas.,Sam Houston,True,0.2222222222222222,0.0,预测答案“Sam Houston”准确提取了标准答案中的核心实体信息，直接回答了问题所问的人物。虽然预测答案省略了标准答案中的部分陈述性修饰语，但在语义上与标准答案完全等价，符合正确回答问题的标准。,N/A,N/A,N/A,N/A,N/A
