offline_n,online_n,hit_n,jaccard,offline_covered_by_online,online_covered_by_offline,dataset,level,topk,example_id,sub_q_idx,online_chunk_ids,available_online_chunks,total_online_chunks,offline_available_ratio
0,10,0,0.0,0.0,0.0,musique,sub_question,1,0,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,0,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,0,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,0,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,0,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,1,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,1,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,1,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,1,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,1,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,2,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,2,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,2,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,2,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,2,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,3,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,3,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,3,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,3,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,3,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,3,1,1 2 4 5 6 7 8 9 10 11,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,3,1,1 2 4 5 6 7 8 9 10 11,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,3,1,1 2 4 5 6 7 8 9 10 11,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,3,1,1 2 4 5 6 7 8 9 10 11,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,3,1,1 2 4 5 6 7 8 9 10 11,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,4,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,4,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,4,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,4,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,4,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,1,4,1,1 5 11 12 13 14 15 16 17 18 19,0,11,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,2,4,1,1 5 11 12 13 14 15 16 17 18 19,0,11,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,3,4,1,1 5 11 12 13 14 15 16 17 18 19,0,11,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,5,4,1,1 5 11 12 13 14 15 16 17 18 19,0,11,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,10,4,1,1 5 11 12 13 14 15 16 17 18 19,0,11,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,6,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,6,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,6,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,6,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,6,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,7,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,7,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,7,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,7,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,7,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,7,1,1 2 5 6 8 11 12 13 14 15,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,7,1,1 2 5 6 8 11 12 13 14 15,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,7,1,1 2 5 6 8 11 12 13 14 15,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,7,1,1 2 5 6 8 11 12 13 14 15,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,7,1,1 2 5 6 8 11 12 13 14 15,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,9,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,9,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,9,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,9,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,9,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,1,9,1,1 2 3 5 6 9 11 12 13 14 15,0,11,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,2,9,1,1 2 3 5 6 9 11 12 13 14 15,0,11,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,3,9,1,1 2 3 5 6 9 11 12 13 14 15,0,11,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,5,9,1,1 2 3 5 6 9 11 12 13 14 15,0,11,0.0
0,11,0,0.0,0.0,0.0,musique,sub_question,10,9,1,1 2 3 5 6 9 11 12 13 14 15,0,11,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,10,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,10,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,10,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,10,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,10,0,1 2 3 4 5 6 7 8 9 10,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,1,10,1,1 2 8 11 12 13 14 15 16 17,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,2,10,1,1 2 8 11 12 13 14 15 16 17,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,3,10,1,1 2 8 11 12 13 14 15 16 17,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,5,10,1,1 2 8 11 12 13 14 15 16 17,0,10,0.0
0,10,0,0.0,0.0,0.0,musique,sub_question,10,10,1,1 2 8 11 12 13 14 15 16 17,0,10,0.0
