Question,Real Answer,Pred Answer
Are George Abbott and Leo McCarey both film directors?,yes,yes
"What are are commonly known as milkworts or snakeroots, Nothofagus or Polygala ?",Polygala,Polygala
Which movie staring Isabel Lucas also starred Ethan Hawke as a hematologist?,Daybreakers,Daybreakers
On what date did this series premier that is an American animated superhero action-comedy television series and stars a fictional character named Blisstina Utonium?,"April 4, 2016","April 4, 2016"
"In which year was the drama, based on the true story of the Odones and directed by Australian film director, screenwriter, producer, and former medical doctor, released?",1992,1992
Did Skin and Laura Stoica both sing?,yes,yes
The birthplace of Bernhard Cathrinus Pauss is the capital of which county in Norway?,Buskerud,Buskerud
"Was Brave New Films founded by Robert Greenwald or Alexander Kluge, a German author and film director?",Robert Greenwald,Robert Greenwald
Do the bands Peter Bjorn and John and Shihad both play indie pop?,no,yes
"Benjamin Saunders (born April 13, 1983), is an American mixed martial artist who currently fights in the Welterweight division of the UFC he was on fighting on Team Serra, Matthew John Serra (born June 2, 1974) is an American former professional mixed martial artist, Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship and which occupation?",stand up comic,"co-host of the official podcast of the UFC, UFC Unfiltered, alongside Jim Norton"
Who directed Julia Stiles in the role that won the  MTV Movie Award for Best Breakthrough Performance?,Gil Junger,Gil Junger
Was Flubber or The Sorcerer's Apprentice released first?,Flubber,Flubber
"Which is a type of flowering plant, Dieffenbachia or Encephalartos?",Dieffenbachia,Dieffenbachia
Tarik Azzougarh conceptualized this album for which only one copy was made in 2015.,Once Upon a Time in Shaolin,Once Upon a Time in Shaolin
Bride of Chucky is a sequel to a movie directed by who?,Jack Bender,John Lafia
"Who is younger, Max Cavalera or Jon Fratelli?",Jon Fratelli,Jon Fratelli
"Which magazine, launched in 1934 by the Communist Party, was known to publish work by Emil Draitser?",Partisan Review,Partisan Review
Are Meg Myers and a founding member of American rock band Wavves considered singer-songwriters?,yes,yes
What Baltimore Ravens retiree scored 8 touchdowns for the Tennessee Titans in 2003?,Derrick Mason,Derrick Mason
"Which hospital located in Washington D.C. specializes in treating persons with physical disabilities,George Washington University Hospital or MedStar National Rehabilitation Hospital?",MedStar National Rehabilitation Network,MedStar National Rehabilitation Hospital
"In which city do maritime pilots operating along the Hudson River and Long Island Sound, one of the wealthiest being Joseph Henderson, function?",New York,New York City
"Jon Fratelli and Morten Harket, have which occupation in common?",musician,musician and songwriter
How many rooms does the second most famous hotel in Las Vegas have?,106,"The second most famous hotel in Las Vegas is the Golden Gate Hotel & Casino, which has 106 rooms."
Which actress from Love Rain was also known by the mononym Yoona?,Im Yoon-ah,Im Yoon-ah
"The season of what follows the adventures of Finn, a human boy, and his best friend and adoptive brother Jake, the season also includes guest stars Miguel Ferrer as Death; Ferrer would later reprise his role in the fourth season episode ""Sons of Mars""?",Adventure Time,Adventure Time
