example_id,sub_question_id,selector,rate,ground_truth,predicted,f1,em,selected_tokens
0,0,oracle_full_attention,0.3,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,393
0,0,fusionrag_qk,0.3,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,393
0,0,draft_selected_set,0.3,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,393
1,0,oracle_full_attention,0.3,"Corfe Mullen, Dorset, England","Dorset, England",0.5454545454545454,0.0,388
1,0,fusionrag_qk,0.3,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,388
1,0,draft_selected_set,0.3,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,388
2,0,oracle_full_attention,0.3,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,432
2,0,fusionrag_qk,0.3,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Washington Island, Door County Wisconsin",0.5,0.0,432
2,0,draft_selected_set,0.3,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,432
3,0,oracle_full_attention,0.3,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,346
3,0,fusionrag_qk,0.3,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,346
3,0,draft_selected_set,0.3,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,346
3,1,oracle_full_attention,0.3,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,405
3,1,fusionrag_qk,0.3,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,405
3,1,draft_selected_set,0.3,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,405
4,0,oracle_full_attention,0.3,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","Henry III, Richard, Joan, Isabella",0.22222222222222218,0.0,353
4,0,fusionrag_qk,0.3,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","Geoffrey de Geneville, Maud de Lacy",0.13793103448275862,0.0,353
4,0,draft_selected_set,0.3,"Alice de Lusignan had a uterine half-brother, King Henry III of England.",uterine half-sister of King Henry III of England,0.5806451612903226,0.0,353
4,1,oracle_full_attention,0.3,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,622
4,1,fusionrag_qk,0.3,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,622
4,1,draft_selected_set,0.3,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,"1216, 1220",0.3636363636363636,0.0,622
6,0,oracle_full_attention,0.3,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,447
6,0,fusionrag_qk,0.3,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,447
6,0,draft_selected_set,0.3,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,447
7,0,oracle_full_attention,0.3,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,476
7,0,fusionrag_qk,0.3,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,476
7,0,draft_selected_set,0.3,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,476
7,1,oracle_full_attention,0.3,Ernst Mach was a professor at Charles University in Prague.,"Charles University in PragueDocumentDocument: Friedrich Hayek: During Hayek's years at the University of Vienna, Carl Menger's work on the explanatory strategy of social science and Friedrich von Wieser's commanding presence in the classroom left a lasting influence on him. Upon the completion of his examinations, Hayek was",0.15151515151515152,0.0,439
7,1,fusionrag_qk,0.3,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,0.625,0.0,439
7,1,draft_selected_set,0.3,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,0.625,0.0,439
9,0,oracle_full_attention,0.3,King Richard I of England,Richard I,0.5,0.0,599
9,0,fusionrag_qk,0.3,King Richard I of England,Richard I,0.5,0.0,599
9,0,draft_selected_set,0.3,King Richard I of England,Richard I,0.5,0.0,599
9,1,oracle_full_attention,0.3,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","Richard the Lion-hearted left Messina with a large fleet in April 1191 in order to reach Acre, but a storm dispersed the fleet.",0.6530612244897959,0.0,816
9,1,fusionrag_qk,0.3,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","Richard the Lion-hearted left Messina with a large fleet in April 1191 to reach Acre, but a storm dispersed the fleet.",0.6808510638297872,0.0,816
9,1,draft_selected_set,0.3,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",Richard the Lion-hearted's fleet to reach Acre,0.25806451612903225,0.0,816
10,0,oracle_full_attention,0.3,George Packer,George Packer,1.0,1.0,451
10,0,fusionrag_qk,0.3,George Packer,George Packer,1.0,1.0,451
10,0,draft_selected_set,0.3,George Packer,George Packer,1.0,1.0,451
10,1,oracle_full_attention,0.3,Peace Corps,Peace Corps,1.0,1.0,521
10,1,fusionrag_qk,0.3,Peace Corps,Peace Corps,1.0,1.0,521
10,1,draft_selected_set,0.3,Peace Corps,Peace Corps,1.0,1.0,521
11,0,oracle_full_attention,0.3,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Atlantic Starr,0,0.0,369
11,0,fusionrag_qk,0.3,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,369
11,0,draft_selected_set,0.3,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,369
11,1,oracle_full_attention,0.3,Eddie Argos,Eddie Argos,1.0,1.0,361
11,1,fusionrag_qk,0.3,Eddie Argos,Eddie Argos,1.0,1.0,361
11,1,draft_selected_set,0.3,Eddie Argos,Eddie Argos,1.0,1.0,361
12,0,oracle_full_attention,0.3,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,603
12,0,fusionrag_qk,0.3,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,603
12,0,draft_selected_set,0.3,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,603
12,1,oracle_full_attention,0.3,Hewlett Packard,Hewlett Packard,1.0,1.0,630
12,1,fusionrag_qk,0.3,Hewlett Packard,3Com,0,0.0,630
