Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason
"When did the country, whose co-official language was used by the director of Group Portrait with a Lady, first attend the Olympics as an independent team?",2016,1920,0.0,0.3333333333333333,False,预测答案给出的年份是1920年，而标准答案明确指出该国家首次作为独立队伍参加奥运会的年份是2016年。两者在关键的时间信息上完全不一致，因此预测答案未能正确回答问题。
Who followed Menucha Rochel Slonim's father?,Menachem Mendel Schneersohn,"Rebbetzin Menucha Rochel Slonim's father was Rabbi Dovber Schneuri, the second Rebbe of the Chabad Hasidic dynasty. After his passing, his role as the leader of",0.0,0.13043478260869565,False,预测答案被截断，未能给出继任者的名字，且未包含标准答案中的关键信息“Menachem Mendel Schneersohn”，因此未能正确回答问题。
Who started out his career on adult contemporary radio along with the performer of All That Echoes?,Michael Bublé,Josh Groban,0.0,0.0,False,预测答案“Josh Groban”与标准答案“Michael Bublé”是两个不同的人，没有包含标准答案的关键信息，且两者在语义上不等价，因此未能正确回答问题。
Who is the head of the developer of Simon?,ADM Michael S. Rogers,Neil Simon,0.0,0.0,False,预测答案“Neil Simon”与标准答案“ADM Michael S. Rogers”完全不一致。预测答案给出的是剧作家，而标准答案给出的是Simon开发者的负责人，两者在语义和信息上均不等价。
When was the last time the team that Terry Twell was a member of beat the 194-95 winner of the FA Cup?,1 December 2010,1985,0.0,0.0,False,预测答案“1985”与标准答案“1 December 2010”完全不一致。预测答案给出了一个错误的年份，未能包含标准答案的关键信息，在语义上也不等价，因此未能正确回答问题。
Who is the father of the artist who painted Head I?,Nicholas Bacon,Francis Bacon,0.0,0.3333333333333333,False,预测答案“Francis Bacon”是创作画作《Head I》的艺术家本人，而问题询问的是该艺术家的父亲。标准答案“Nicholas Bacon”才是Francis Bacon的父亲。两者指代完全不同的人物，因此预测答案未能正确回答问题。
Where is the origin of the river Augrabies Falls is part of?,Thaba Putsoa,Orange River,0.0,0.0,False,预测答案“Orange River”与标准答案“Thaba Putsoa”不一致。问题询问的是奥赫拉比斯瀑布所在河流的发源地，标准答案明确指出为Thaba Putsoa，而预测答案给出的是河流名称，未包含标准答案的关键信息，因此判断为错误。
The BBC Footballer of the Year is a member of which team?,Egypt national football team,The BBC Footballer of the Year is a member of the Zambia national football team.,0.0,0.35294117647058826,False,预测答案指出BBC足球先生是赞比亚国家足球队的成员，而标准答案是埃及国家足球队。两者提到的国家队名称完全不同，语义上不一致，因此预测答案未能正确回答问题。
Where was the person who acted in the film Sous les pieds des femmes born?,La Goulette,"Angers, France",0.0,0.0,False,"预测答案给出的出生地是“Angers, France”，而标准答案为“La Goulette”。两者在语义上完全不同，且预测答案未包含标准答案的关键信息，因此判断为错误。"
How many people were in British Colonies where does the london broil cut come from ?,2 million,2 million,1.0,1.0,True,预测答案“2 million”与标准答案“2 million”完全一致，包含了标准答案的关键信息，且在语义上完全等价，因此预测答案正确地回答了问题。
Who is the spouse of the person who voices Jarvis in the Avengers Age of Ultron?,Jennifer Connelly,Linda Cardellini,0.0,0.0,False,预测答案“Linda Cardellini”与标准答案“Jennifer Connelly”不一致。在《复仇者联盟2：奥创纪元》中为贾维斯（J.A.R.V.I.S.）配音的演员是保罗·贝坦尼，他的配偶是珍妮弗·康纳利，而非琳达·卡德里尼。因此预测答案未能正确回答问题。
Which county shares a border with the county where the most populous city in the state where Redan High School is located?,Presque Isle County,Fulton County,0.0,0.3333333333333333,False,预测答案给出的县是“Fulton County”，而标准答案是“Presque Isle County”。两者在名称和地理实体上完全不同，预测答案没有包含标准答案的关键信息，且语义上也不等价，因此判断为错误。
The rapper who owns Aspiro was inspired by what when writing Song Cry?,three different relationships he had in the past,the break-up of an earlier relationship due to his own neglect and infidelity,0.0,0.0,False,标准答案指出创作灵感来源于“过去的三段不同感情”，而预测答案只提到了“一段早期感情”及其破裂的原因。两者在涉及的感情数量上存在明显冲突，语义上并不等价，因此判断为错误。
What administrative territorial entity includes the place that KTRP is licensed to broadcast to?,Canyon County,Idaho,0.0,0.0,False,预测答案“Idaho”是一个州，而标准答案“Canyon County”是一个县。虽然Idaho在地理上包含Canyon County，但问题询问的是包含KTRP广播地的具体行政领土实体，两者在行政层级上不同，语义上并不等价。
"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",Bill Pullman,Christopher McDonald played the husband of the actress who played Thelma in Thelma and Louise.,0.0,0.0,False,预测答案给出的名字是Christopher McDonald，而标准答案是Bill Pullman。两者不仅名字不同，且在语义上也不等价，因此预测答案未能正确回答问题。
What is the former name of the country where Atika Suri studied?,Dutch East Indies,Indonesia,0.0,0.0,False,问题询问的是该国家的“former name”（曾用名/旧名）。标准答案“Dutch East Indies”（荷属东印度）是印度尼西亚在历史上的旧称，而预测答案“Indonesia”是现在的国名。预测答案未能包含标准答案的关键信息，在语义上也不等价，没有正确回答问题所问的“曾用名”。
What province shares a border with the province where Lago District is located?,Cabo Delgado Province,"Lago District is located in the Republic of Dagestan, Russia. The province that shares a border with Dagestan is Chechen Republic.",0.0,0.07142857142857142,False,预测答案错误地认为Lago District位于俄罗斯达吉斯坦共和国，并据此给出了车臣共和国作为答案。实际上，Lago District位于莫桑比克的德尔加杜角省，与标准答案完全不符，因此预测答案是错误的。
Who published Communications of the organization that Andries van Dam is a member of?,Association for Computing Machinery,Association for Computing Machinery,1.0,1.0,True,预测答案“Association for Computing Machinery”与标准答案完全一致，准确包含了所需的关键信息，在语义上完全等价，正确回答了关于Andries van Dam所属组织出版物的提问。
What county shares a border with Cedar Springs?,Bell County,Guadalupe County,0.0,0.4,False,预测答案给出的县名是“Guadalupe County”，而标准答案是“Bell County”。两者在语义上完全不同，预测答案没有包含标准答案的关键信息，因此判断为错误。
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Nuevo Laredo,0.0,0.0,False,预测答案“Nuevo Laredo”与标准答案“Tamaulipas”在语义上并不等价。Nuevo Laredo是一个城市，而Tamaulipas是其所在的州（即更高层级的行政领土实体），两者属于不同层级的行政区划，因此预测答案未能包含标准答案的关键信息。
Who is the son of the Italian navigator who explored the eastern coast of the continent Ulises Solís' birthplace is located in for England?,Sebastian Cabot,Sebastian Cabot,1.0,1.0,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，因此预测答案正确地回答了问题。
Who played the monarch at the end of WW2 in The King's Speech?,Colin Firth,Colin Firth,1.0,1.0,True,预测答案“Colin Firth”与标准答案完全一致，准确包含了问题的关键信息，指出了在电影《国王的演讲》中饰演二战结束时的君主的演员，语义完全等价，因此判断为正确。
What is the place of birth of who does the voice of stan on the series that Insecurity is part of?,Denver,"Trey Parker, who voices Stan on the series that ""Insecurity"" is part of (South Park), was born in Colorado.",0.0,0.0,False,预测答案给出的出生地是“Colorado”（科罗拉多州），而标准答案要求的是“Denver”（丹佛市）。丹佛是科罗拉多州的一个具体城市，两者在地理范围上不同，预测答案没有包含标准答案所要求的关键信息，因此判断为错误。
Where did they film The Beach in the country where Pao Sarasin was born?,Ko Phi Phi Leh,Thailand,0.0,0.0,False,预测答案“Thailand”仅回答了电影《海滩》的拍摄所在国家，而问题询问的是具体的拍摄地点。标准答案“Ko Phi Phi Leh”提供了具体的岛屿名称，预测答案未能包含这一关键信息，在语义上不等价。
What is the competition that the 1965 Federation Cup is part of named after?,International Tennis Federation,Federation Cup,0.0,0.0,False,预测答案“Federation Cup”只是赛事本身的名称，而问题询问的是该赛事是以什么命名的。标准答案明确指出是以“International Tennis Federation”命名的，预测答案未能包含这一关键信息，语义上不等价。
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Kotamadya is located?,Francisco Guterres,José Ramos-Horta,0.0,0.0,False,预测答案“José Ramos-Horta”与标准答案“Francisco Guterres”是两个不同的人名，预测答案未包含标准答案的关键信息，两者在语义上不等价，因此判断为错误。
"In the King's Speech, who played the person who was the King of England in 1950?",Colin Firth,Colin Firth,1.0,1.0,True,预测答案“Colin Firth”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了在电影《国王的演讲》中饰演1950年英格兰国王的演员是谁这一问题。
What is the body of water by the area where Athlete was formed?,River Thames,Deptford Creek,0.0,0.0,False,预测答案“Deptford Creek”与标准答案“River Thames”不一致。预测答案没有包含标准答案的关键信息，两者在语义上也不等价，因此未能正确回答问题。
What award did the author of The Happy Journey to Trenton and Camden receive?,Pulitzer Prize for Drama,Pulitzer Prize for Drama,1.0,1.0,True,预测答案与标准答案完全一致，均为“Pulitzer Prize for Drama”，准确包含了问题所要求的关键信息，语义上完全等价，因此判断为正确。
Where was the designer of the Lap Engine educated?,University of Glasgow,City College of New York,0.0,0.22222222222222224,False,预测答案“City College of New York”与标准答案“University of Glasgow”完全不同，两者在语义上没有任何等价关系，未包含标准答案的关键信息，因此预测答案未能正确回答问题。
Who is the father of the Labo M performer?,Louis Chedid,Louis Chedid,1.0,1.0,True,预测答案“Louis Chedid”与标准答案完全一致，准确包含了问题的关键信息，正确回答了Labo M表演者的父亲是谁，符合所有判断标准。
