example_id,sub_q_idx,offline_count,online_count,intersection,jaccard,recall_online_by_offline,precision_offline_in_online
0,0,128,131,18,0.07468879668049792,0.13740458015267176,0.140625
1,0,125,129,53,0.263681592039801,0.4108527131782946,0.424
2,0,138,144,53,0.2314410480349345,0.3680555555555556,0.38405797101449274
3,0,113,115,30,0.15151515151515152,0.2608695652173913,0.26548672566371684
3,1,131,135,31,0.13191489361702127,0.22962962962962963,0.2366412213740458
4,0,113,117,41,0.21693121693121692,0.3504273504273504,0.36283185840707965
4,1,199,207,82,0.25308641975308643,0.3961352657004831,0.4120603015075377
6,0,144,149,57,0.24152542372881355,0.3825503355704698,0.3958333333333333
7,0,154,158,70,0.2892561983471074,0.4430379746835443,0.45454545454545453
7,1,141,146,54,0.2317596566523605,0.3698630136986301,0.3829787234042553
9,0,195,199,91,0.30033003300330036,0.457286432160804,0.4666666666666667
9,1,268,272,109,0.2529002320185615,0.4007352941176471,0.40671641791044777
10,0,146,150,83,0.38967136150234744,0.5533333333333333,0.5684931506849316
10,1,168,173,108,0.463519313304721,0.6242774566473989,0.6428571428571429
11,0,119,123,58,0.31521739130434784,0.4715447154471545,0.48739495798319327
11,1,115,120,27,0.12980769230769232,0.225,0.23478260869565218
12,0,196,201,84,0.268370607028754,0.417910447761194,0.42857142857142855
12,1,204,210,60,0.1694915254237288,0.2857142857142857,0.29411764705882354
13,0,109,114,50,0.28901734104046245,0.43859649122807015,0.45871559633027525
13,1,200,208,96,0.3076923076923077,0.46153846153846156,0.48
14,0,103,105,32,0.18181818181818182,0.3047619047619048,0.3106796116504854
14,1,162,168,65,0.24528301886792453,0.3869047619047619,0.4012345679012346
15,0,64,67,20,0.18018018018018017,0.29850746268656714,0.3125
15,1,107,112,25,0.12886597938144329,0.22321428571428573,0.2336448598130841
16,0,147,151,60,0.25210084033613445,0.3973509933774834,0.40816326530612246
16,1,213,218,67,0.18406593406593408,0.3073394495412844,0.3145539906103286
17,0,138,141,60,0.273972602739726,0.425531914893617,0.43478260869565216
17,1,187,193,94,0.32867132867132864,0.48704663212435234,0.5026737967914439
18,0,99,102,51,0.34,0.5,0.5151515151515151
18,1,114,120,48,0.25806451612903225,0.4,0.42105263157894735
19,0,99,103,44,0.27848101265822783,0.42718446601941745,0.4444444444444444
19,1,153,158,46,0.17358490566037735,0.2911392405063291,0.3006535947712418
20,0,147,151,73,0.3244444444444444,0.48344370860927155,0.4965986394557823
20,1,220,226,83,0.22865013774104684,0.3672566371681416,0.37727272727272726
21,0,170,174,94,0.376,0.5402298850574713,0.5529411764705883
21,1,204,211,62,0.17563739376770537,0.2938388625592417,0.30392156862745096
24,0,152,155,87,0.39545454545454545,0.5612903225806452,0.5723684210526315
24,1,194,199,113,0.4035714285714286,0.5678391959798995,0.5824742268041238
100,0,128,133,44,0.20276497695852536,0.3308270676691729,0.34375
100,1,132,138,33,0.13924050632911392,0.2391304347826087,0.25
101,0,84,89,32,0.22695035460992907,0.3595505617977528,0.38095238095238093
101,1,151,157,74,0.3162393162393162,0.4713375796178344,0.4900662251655629
102,0,119,126,47,0.23737373737373738,0.373015873015873,0.3949579831932773
102,1,165,168,51,0.18085106382978725,0.30357142857142855,0.3090909090909091
103,0,132,137,43,0.1902654867256637,0.31386861313868614,0.32575757575757575
103,1,106,112,19,0.09547738693467336,0.16964285714285715,0.1792452830188679
104,0,210,216,79,0.2276657060518732,0.36574074074074076,0.3761904761904762
105,0,237,241,131,0.37752161383285304,0.5435684647302904,0.5527426160337553
105,1,303,307,159,0.352549889135255,0.5179153094462541,0.5247524752475248
109,0,186,188,65,0.21035598705501618,0.34574468085106386,0.34946236559139787
112,0,77,82,27,0.20454545454545456,0.32926829268292684,0.35064935064935066
112,1,111,116,17,0.08095238095238096,0.14655172413793102,0.15315315315315314
113,0,143,145,59,0.2576419213973799,0.4068965517241379,0.4125874125874126
113,1,129,133,66,0.336734693877551,0.49624060150375937,0.5116279069767442
114,0,169,172,90,0.35856573705179284,0.5232558139534884,0.5325443786982249
114,1,128,134,23,0.09623430962343096,0.17164179104477612,0.1796875
117,0,129,134,69,0.3556701030927835,0.5149253731343284,0.5348837209302325
117,1,97,102,13,0.06989247311827956,0.12745098039215685,0.13402061855670103
118,0,135,141,62,0.2897196261682243,0.4397163120567376,0.45925925925925926
119,0,136,141,54,0.242152466367713,0.3829787234042553,0.39705882352941174
119,1,113,118,20,0.0947867298578199,0.1694915254237288,0.17699115044247787
120,0,211,215,123,0.40594059405940597,0.5720930232558139,0.5829383886255924
121,0,176,179,77,0.27697841726618705,0.4301675977653631,0.4375
121,1,182,187,73,0.24662162162162163,0.39037433155080214,0.4010989010989011
123,0,191,194,76,0.2459546925566343,0.3917525773195876,0.39790575916230364
123,1,150,155,72,0.3090128755364807,0.4645161290322581,0.48
123,2,142,147,57,0.24568965517241378,0.3877551020408163,0.4014084507042254
123,3,162,168,68,0.2595419847328244,0.40476190476190477,0.41975308641975306
125,0,213,215,125,0.41254125412541254,0.5813953488372093,0.5868544600938967
126,0,128,131,43,0.19907407407407407,0.3282442748091603,0.3359375
126,1,147,151,38,0.14615384615384616,0.25165562913907286,0.2585034013605442
127,0,97,102,29,0.17058823529411765,0.28431372549019607,0.29896907216494845
128,0,163,166,56,0.20512820512820512,0.3373493975903614,0.34355828220858897
129,0,192,197,93,0.3141891891891892,0.4720812182741117,0.484375
130,0,90,95,27,0.17088607594936708,0.28421052631578947,0.3
130,1,143,147,44,0.17886178861788618,0.29931972789115646,0.3076923076923077
131,0,93,97,36,0.23376623376623376,0.3711340206185567,0.3870967741935484
131,1,116,122,53,0.2864864864864865,0.4344262295081967,0.45689655172413796
133,0,115,120,40,0.20512820512820512,0.3333333333333333,0.34782608695652173
133,1,127,131,38,0.17272727272727273,0.2900763358778626,0.2992125984251969
135,0,118,122,64,0.36363636363636365,0.5245901639344263,0.5423728813559322
135,1,117,124,11,0.04782608695652174,0.08870967741935484,0.09401709401709402
136,0,74,79,16,0.11678832116788321,0.20253164556962025,0.21621621621621623
136,1,132,138,36,0.15384615384615385,0.2608695652173913,0.2727272727272727
138,0,152,156,72,0.3050847457627119,0.46153846153846156,0.47368421052631576
138,1,189,195,77,0.250814332247557,0.39487179487179486,0.4074074074074074
141,0,90,94,24,0.15,0.2553191489361702,0.26666666666666666
141,1,139,145,49,0.20851063829787234,0.33793103448275863,0.35251798561151076
142,0,176,179,116,0.48535564853556484,0.6480446927374302,0.6590909090909091
142,1,231,233,161,0.5313531353135313,0.6909871244635193,0.696969696969697
143,0,124,129,55,0.2777777777777778,0.4263565891472868,0.4435483870967742
143,1,98,105,25,0.1404494382022472,0.23809523809523808,0.25510204081632654
144,0,96,99,35,0.21875,0.35353535353535354,0.3645833333333333
144,1,113,118,39,0.203125,0.3305084745762712,0.34513274336283184
145,0,97,102,25,0.14367816091954022,0.24509803921568626,0.25773195876288657
145,1,135,140,60,0.27906976744186046,0.42857142857142855,0.4444444444444444
146,0,98,101,35,0.21341463414634146,0.3465346534653465,0.35714285714285715
146,1,168,172,27,0.08626198083067092,0.1569767441860465,0.16071428571428573
147,0,88,91,30,0.20134228187919462,0.32967032967032966,0.3409090909090909
147,1,196,201,64,0.1921921921921922,0.31840796019900497,0.32653061224489793
149,0,175,179,88,0.3308270676691729,0.49162011173184356,0.5028571428571429
150,0,83,84,28,0.2014388489208633,0.3333333333333333,0.3373493975903614
150,1,169,173,69,0.25274725274725274,0.3988439306358382,0.40828402366863903
151,0,91,93,37,0.25170068027210885,0.3978494623655914,0.4065934065934066
151,1,129,133,33,0.14410480349344978,0.24812030075187969,0.2558139534883721
152,0,166,169,91,0.3729508196721312,0.5384615384615384,0.5481927710843374
152,1,169,172,95,0.3861788617886179,0.5523255813953488,0.5621301775147929
153,0,129,133,40,0.18018018018018017,0.3007518796992481,0.31007751937984496
154,0,145,148,38,0.14901960784313725,0.25675675675675674,0.2620689655172414
155,0,123,126,40,0.19138755980861244,0.31746031746031744,0.3252032520325203
155,1,150,153,57,0.23170731707317074,0.37254901960784315,0.38
156,0,101,104,40,0.24242424242424243,0.38461538461538464,0.39603960396039606
156,1,147,151,54,0.22131147540983606,0.3576158940397351,0.3673469387755102
158,0,134,139,81,0.421875,0.5827338129496403,0.6044776119402985
158,1,106,112,36,0.1978021978021978,0.32142857142857145,0.33962264150943394
160,0,104,109,42,0.24561403508771928,0.3853211009174312,0.40384615384615385
160,1,189,197,90,0.30405405405405406,0.45685279187817257,0.47619047619047616
161,0,111,115,34,0.17708333333333334,0.2956521739130435,0.3063063063063063
161,1,175,181,34,0.10559006211180125,0.1878453038674033,0.19428571428571428
162,0,132,140,60,0.2830188679245283,0.42857142857142855,0.45454545454545453
163,0,123,128,48,0.23645320197044334,0.375,0.3902439024390244
163,1,186,189,72,0.2376237623762376,0.38095238095238093,0.3870967741935484
164,0,165,168,88,0.35918367346938773,0.5238095238095238,0.5333333333333333
164,1,247,252,120,0.316622691292876,0.47619047619047616,0.48582995951417
165,0,162,167,53,0.19202898550724637,0.31736526946107785,0.3271604938271605
166,0,129,131,66,0.3402061855670103,0.5038167938931297,0.5116279069767442
166,1,154,158,59,0.233201581027668,0.37341772151898733,0.38311688311688313
167,0,121,124,58,0.31016042780748665,0.46774193548387094,0.4793388429752066
167,1,120,124,39,0.1902439024390244,0.31451612903225806,0.325
169,0,104,109,42,0.24561403508771928,0.3853211009174312,0.40384615384615385
169,1,150,156,23,0.0812720848056537,0.14743589743589744,0.15333333333333332
173,0,147,151,58,0.24166666666666667,0.3841059602649007,0.3945578231292517
173,1,139,144,31,0.12301587301587301,0.2152777777777778,0.22302158273381295
