Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason
Which two islands are linked by the 33 and a half-mile-long Seikan rail tunnel?,Which two islands are linked by the 33 and a half-mile-long Seikan rail tunnel?,Honshu and Hokkaido,"<think>

</think>

Honshu and Hokkaido",True,0,0.0,预测答案“Honshu and Hokkaido”与标准答案完全一致，准确无误地指出了被青函铁路隧道连接的两个岛屿，包含了标准答案的所有关键信息，语义完全等价。
Which all-Pullman train ran between London and Brighton from 1931 to 1972?,Which all-Pullman train ran between London and Brighton from 1931 to 1972?,The Brighton Belle,"<think>

</think>

The Brighton Belle",True,0,0.0,预测答案“The Brighton Belle”与标准答案完全一致，准确地给出了1931年至1972年间运行于伦敦与布莱顿之间的全普尔曼列车的名称，完全符合问题要求。
How many events make up a pentathlon?,How many events make up a pentathlon?,five,5,True,1,0.0,预测答案“5”与标准答案“five”在语义上完全等价，仅仅是数字与英文单词的书写形式不同，准确传达了十项全能比赛包含五个事件的关键信息。
Which US fashion designer directed the 2009 film ‘A Single Man’?,Which US fashion designer directed the 2009 film ‘A Single Man’?,Tom Ford,"<think>

</think>

Tom Ford",True,0,0.0,预测答案“Tom Ford”与标准答案完全一致，准确地指出了执导2009年电影《A Single Man》的美国时装设计师，包含了标准答案的全部关键信息，正确地回答了问题。
"Played by Aaron Paul, who was Walter White’s co-protagonist in ‘Breaking Bad’?","Played by Aaron Paul, who was Walter White’s co-protagonist in ‘Breaking Bad’?",Jesse Pinkman,"<think>

</think>

Jesse Pinkman",True,0,0.0,预测答案“Jesse Pinkman”与标准答案完全一致，准确给出了由Aaron Paul饰演的角色名字，且符合《绝命毒师》中Walter White联合主角的身份，正确回答了问题。
"In computing, how many bits are in one byte?","In computing, how many bits are in one byte?",8,The byte is a unit of digital information that most commonly consists of eight bits.,True,0,0.0,预测答案明确指出了一个字节最通常由八个比特组成，包含了标准答案中的关键信息“8”。虽然表述方式不同，但语义上与标准答案完全等价，正确回答了问题。
Which band’s 2007 album is entitled ‘Send Away the Tigers’?,Which band’s 2007 album is entitled ‘Send Away the Tigers’?,Manic Street Preachers,"<think>

</think>

Manic Street Preachers",True,0,0.0,预测答案“Manic Street Preachers”与标准答案完全一致，准确给出了在2007年发行专辑《Send Away the Tigers》的乐队名称，因此正确地回答了问题。
Gallipoli is in which European country?,Gallipoli is in which European country?,Turkey,"<think>

</think>

Gallipoli is in Turkey.",True,0,0.0,预测答案明确指出了Gallipoli（加里波利）位于Turkey（土耳其），这与标准答案完全一致。预测答案准确无误地回答了问题，包含了标准答案的关键信息，语义上完全等价。
Who wrote the poem ‘ The Ballad of Reading Gaol’?,Who wrote the poem ‘ The Ballad of Reading Gaol’?,Oscar Wild,"<think>

</think>

Oscar Wilde",True,0,0.0,预测答案“Oscar Wilde”与标准答案“Oscar Wild”在语义上完全等价，仅仅是拼写上多了一个字母“e”，这是该作者名字的正确标准拼写。因此，预测答案正确回答了关于《雷丁监狱之歌》作者的问题。
Bulent Ecevit was Prime Minister of which country from 1999 to 2002?,Bulent Ecevit was Prime Minister of which country from 1999 to 2002?,Turkey,"<think>

</think>

Turkey",True,0,0.0,预测答案“Turkey”与标准答案完全一致，准确地回答了Bulent Ecevit在1999年至2002年间担任总理的国家，包含了标准答案的全部关键信息，语义完全等价。
James Braddock won the title from which boxer whose son was in The Beverly Hillbillies?,James Braddock won the title from which boxer whose son was in The Beverly Hillbillies?,Max Baer,"<think>

</think>

Max Baer",True,0,0.0,预测答案“Max Baer”与标准答案完全一致，准确给出了James Braddock赢得冠军头衔的对手，且该对手的儿子确实出演了《The Beverly Hillbillies》。预测答案包含了标准答案的全部关键信息，语义完全等价。
Which number in Pennsylvania Avenue is The White House?,Which number in Pennsylvania Avenue is The White House?,1600,"1600
</think>

1600 Pennsylvania Avenue NW is the address of The White House.",True,1.0,0.0,预测答案“1600”与标准答案完全一致，准确地给出了白宫在宾夕法尼亚大道上的门牌号，完整且正确地回答了问题。
Rain was the B-side of which Beatles single?,Rain was the B-side of which Beatles single?,Paperback Writer,"<think>

</think>

""Paperback Writer""",True,0,0.0,预测答案“Paperback Writer”与标准答案完全一致，准确指出了《Rain》作为B面曲所属的披头士单曲，完全符合问题要求。
Who brought to an end Jahangir Khan's long unbeaten run of success in squash in the 80s?,Who brought to an end Jahangir Khan's long unbeaten run of success in squash in the 80s?,Ross Norman,Ross Norman,True,1.0,1.0,预测答案“Ross Norman”与标准答案完全一致，准确包含了关键信息，正确回答了是谁在80年代结束了Jahangir Khan在壁球界的不败纪录，符合所有判断标准。
What was the title of Kitty Kelley's book about Elizabeth Taylor?,What was the title of Kitty Kelley's book about Elizabeth Taylor?,Elizabeth Taylor: The Last Star,Answer: Elizabeth Taylor: The Last Star,True,0.9090909090909091,0.0,预测答案“Elizabeth Taylor: The Last Star”与标准答案完全一致，包含了问题所需的关键信息，准确回答了Kitty Kelley关于伊丽莎白·泰勒的书的书名，语义上完全等价。
Which artist created the Katzenjammer Kids?,Which artist created the Katzenjammer Kids?,Rudolph Dirks,"<think>

</think>

Rudolph Dirks",True,0,0.0,预测答案“Rudolph Dirks”与标准答案完全一致，准确地给出了创作《Katzenjammer Kids》这部漫画的艺术家姓名，包含了标准答案的所有关键信息，语义完全等价，因此判定为正确。
Who wrote the song Harper Valley PTA?,Who wrote the song Harper Valley PTA?,Tom T. Hall,"<think>

</think>

Tom T. Hall",True,0,0.0,预测答案“Tom T. Hall”与标准答案完全一致，准确地给出了歌曲《Harper Valley PTA》的创作者，包含了标准答案的所有关键信息，语义完全等价，因此判断为正确。
John Ridd is the hero of which novel by R D Blackmore?,John Ridd is the hero of which novel by R D Blackmore?,Lorna Doon,"<think>

</think>

Lorna Doone",True,0,0.0,预测答案“Lorna Doone”与标准答案“Lorna Doon”在语义上完全等价，仅仅是拼写上多了一个字母“e”。这是该小说书名的常见拼写变体，不影响对问题的正确回答。
What is the nickname of the Beijing National Stadium?,What is the nickname of the Beijing National Stadium?,Bird's Nest (disambiguation),"<think>

</think>

Bird's Nest",True,0,0.0,预测答案“Bird's Nest”准确给出了北京国家体育场的昵称，与标准答案的核心内容完全一致。标准答案中的“(disambiguation)”仅表示消歧义后缀，不影响实际语义，因此预测答案正确回答了问题。
"Tom, Barbara, Jerry and Margo are all characters in which 1970’s UK television sitcom?","Tom, Barbara, Jerry and Margo are all characters in which 1970’s UK television sitcom?",The Good Life (album),"<think>

</think>

The Good Life",True,0,0.0,预测答案“The Good Life”准确包含了标准答案的核心信息。虽然标准答案带有后缀“(album)”，但问题实际询问的是一部1970年代的英国电视情景喜剧，其正确名称正是“The Good Life”。预测答案完美回答了该问题，两者在语义上完全等价。
Which general introduced martial law in Poland in 1981?,Which general introduced martial law in Poland in 1981?,Wojciech Jaruzelski,"<think>

</think>

Wojciech Jaruzelski",True,0,0.0,预测答案“Wojciech Jaruzelski”与标准答案完全一致，准确地给出了1981年在波兰实施军事管制的将军的名字，包含了标准答案的所有关键信息，语义完全等价。
