example,method,rate,bias,answer,gold,em,rouge,source
38,full_rate1_hist,1.0,none,TML Entertainment,TML Entertainment,1,hist_csv,setup_standard_v2 historical full_rate1 seg_0_200
38,online_draft_hist,0.15,none,TML Entertainment,TML Entertainment,1,hist_csv,setup_standard_v2 historical online_draft seg_25_50
38,online_qk_hist,0.15,none,Metalworks Institute,TML Entertainment,0,hist_csv,setup_standard_v2 historical online_qk seg_25_50
38,preprocess_rate0,0.0,none,Metalworks Institute,TML Entertainment,0,0.0000,current rerun commit 96c6f59
38,position_adapter_preprocess_rate0,0.0,K+V scale=1.0,Passage... repeated gibberish,TML Entertainment,0,0.0000,current rerun commit 96c6f59
38,position_adapter_preprocess_rate0,0.0,V-only scale=0.1,Metalworks Institute,TML Entertainment,0,0.0000,current rerun commit 96c6f59
38,position_adapter_preprocess_rate0,0.0,V-only scale=0.25,Metalworks Institute,TML Entertainment,0,0.0000,current rerun commit 96c6f59
38,position_adapter_preprocess_rate0,0.0,K-only scale=0.1,Metalworks Institute,TML Entertainment,0,0.0000,current rerun commit 96c6f59
69,full_rate1_current,1.0,none,Sire Records,Kanine Records,0,0.0025,current rerun commit 96c6f59
69,preprocess_rate0,0.0,none,Sire Records,Kanine Records,0,0.0025,current rerun commit 96c6f59
69,position_adapter_preprocess_rate0,0.0,K+V scale=1.0,Je Kane... repeated gibberish,Kanine Records,0,0.0000,current rerun commit 96c6f59
69,position_adapter_preprocess_rate0,0.0,V-only scale=0.1,Sire Records,Kanine Records,0,0.0025,current rerun commit 96c6f59
69,position_adapter_preprocess_rate0,0.0,V-only scale=0.25,Sire Records,Kanine Records,0,0.0025,current rerun commit 96c6f59
69,position_adapter_preprocess_rate0,0.0,K-only scale=0.1,Sire Records,Kanine Records,0,0.0025,current rerun commit 96c6f59
38,oracle_full_minus_preprocess,0.0,exact K+V scale=1.0,TML Entertainment,TML Entertainment,1,runner reports 0.005 due denominator uses full dataset; per-example correct,current oracle writeback commit 05564db plus uncommitted oracle script
