example_id,chunk_id,method,rate,chunk_len,selected_count,n_calibration_queries
100,0,full_attention_frequency_per_chunk,0.15,57,8,8
100,0,full_attention_mean_score_per_chunk,0.15,57,8,8
100,1,full_attention_frequency_per_chunk,0.15,108,16,8
100,1,full_attention_mean_score_per_chunk,0.15,108,16,8
100,2,full_attention_frequency_per_chunk,0.15,143,21,8
100,2,full_attention_mean_score_per_chunk,0.15,143,21,8
100,3,full_attention_frequency_per_chunk,0.15,171,25,8
100,3,full_attention_mean_score_per_chunk,0.15,171,25,8
100,4,full_attention_frequency_per_chunk,0.15,55,8,8
100,4,full_attention_mean_score_per_chunk,0.15,55,8,8
100,5,full_attention_frequency_per_chunk,0.15,297,44,8
100,5,full_attention_mean_score_per_chunk,0.15,297,44,8
100,6,full_attention_frequency_per_chunk,0.15,163,24,8
100,6,full_attention_mean_score_per_chunk,0.15,163,24,8
100,7,full_attention_frequency_per_chunk,0.15,149,22,8
100,7,full_attention_mean_score_per_chunk,0.15,149,22,8
100,8,full_attention_frequency_per_chunk,0.15,105,15,8
100,8,full_attention_mean_score_per_chunk,0.15,105,15,8
100,9,full_attention_frequency_per_chunk,0.15,85,12,8
100,9,full_attention_mean_score_per_chunk,0.15,85,12,8
100,10,full_attention_frequency_per_chunk,0.15,77,11,8
100,10,full_attention_mean_score_per_chunk,0.15,77,11,8
100,11,full_attention_frequency_per_chunk,0.15,134,20,8
100,11,full_attention_mean_score_per_chunk,0.15,134,20,8
100,12,full_attention_frequency_per_chunk,0.15,97,14,8
100,12,full_attention_mean_score_per_chunk,0.15,97,14,8
100,13,full_attention_frequency_per_chunk,0.15,93,13,8
100,13,full_attention_mean_score_per_chunk,0.15,93,13,8
100,14,full_attention_frequency_per_chunk,0.15,120,18,8
100,14,full_attention_mean_score_per_chunk,0.15,120,18,8
100,15,full_attention_frequency_per_chunk,0.15,142,21,8
100,15,full_attention_mean_score_per_chunk,0.15,142,21,8
101,0,full_attention_frequency_per_chunk,0.15,135,20,8
101,0,full_attention_mean_score_per_chunk,0.15,135,20,8
101,1,full_attention_frequency_per_chunk,0.15,77,11,8
101,1,full_attention_mean_score_per_chunk,0.15,77,11,8
101,2,full_attention_frequency_per_chunk,0.15,176,26,8
101,2,full_attention_mean_score_per_chunk,0.15,176,26,8
101,3,full_attention_frequency_per_chunk,0.15,126,18,8
101,3,full_attention_mean_score_per_chunk,0.15,126,18,8
101,4,full_attention_frequency_per_chunk,0.15,52,7,8
101,4,full_attention_mean_score_per_chunk,0.15,52,7,8
101,5,full_attention_frequency_per_chunk,0.15,79,11,8
101,5,full_attention_mean_score_per_chunk,0.15,79,11,8
101,6,full_attention_frequency_per_chunk,0.15,87,13,8
101,6,full_attention_mean_score_per_chunk,0.15,87,13,8
101,7,full_attention_frequency_per_chunk,0.15,58,8,8
101,7,full_attention_mean_score_per_chunk,0.15,58,8,8
101,8,full_attention_frequency_per_chunk,0.15,51,7,8
101,8,full_attention_mean_score_per_chunk,0.15,51,7,8
101,9,full_attention_frequency_per_chunk,0.15,52,7,8
101,9,full_attention_mean_score_per_chunk,0.15,52,7,8
101,10,full_attention_frequency_per_chunk,0.15,111,16,8
101,10,full_attention_mean_score_per_chunk,0.15,111,16,8
101,11,full_attention_frequency_per_chunk,0.15,165,24,8
101,11,full_attention_mean_score_per_chunk,0.15,165,24,8
101,12,full_attention_frequency_per_chunk,0.15,127,19,8
101,12,full_attention_mean_score_per_chunk,0.15,127,19,8
101,13,full_attention_frequency_per_chunk,0.15,87,13,8
101,13,full_attention_mean_score_per_chunk,0.15,87,13,8
101,14,full_attention_frequency_per_chunk,0.15,171,25,8
101,14,full_attention_mean_score_per_chunk,0.15,171,25,8
101,15,full_attention_frequency_per_chunk,0.15,89,13,8
101,15,full_attention_mean_score_per_chunk,0.15,89,13,8
102,0,full_attention_frequency_per_chunk,0.15,124,18,8
102,0,full_attention_mean_score_per_chunk,0.15,124,18,8
102,1,full_attention_frequency_per_chunk,0.15,59,8,8
102,1,full_attention_mean_score_per_chunk,0.15,59,8,8
102,2,full_attention_frequency_per_chunk,0.15,158,23,8
102,2,full_attention_mean_score_per_chunk,0.15,158,23,8
102,3,full_attention_frequency_per_chunk,0.15,99,14,8
102,3,full_attention_mean_score_per_chunk,0.15,99,14,8
102,4,full_attention_frequency_per_chunk,0.15,147,22,8
102,4,full_attention_mean_score_per_chunk,0.15,147,22,8
102,5,full_attention_frequency_per_chunk,0.15,78,11,8
102,5,full_attention_mean_score_per_chunk,0.15,78,11,8
102,6,full_attention_frequency_per_chunk,0.15,156,23,8
102,6,full_attention_mean_score_per_chunk,0.15,156,23,8
102,7,full_attention_frequency_per_chunk,0.15,118,17,8
102,7,full_attention_mean_score_per_chunk,0.15,118,17,8
102,8,full_attention_frequency_per_chunk,0.15,185,27,8
102,8,full_attention_mean_score_per_chunk,0.15,185,27,8
102,9,full_attention_frequency_per_chunk,0.15,136,20,8
102,9,full_attention_mean_score_per_chunk,0.15,136,20,8
102,10,full_attention_frequency_per_chunk,0.15,73,10,8
102,10,full_attention_mean_score_per_chunk,0.15,73,10,8
102,11,full_attention_frequency_per_chunk,0.15,121,18,8
102,11,full_attention_mean_score_per_chunk,0.15,121,18,8
102,12,full_attention_frequency_per_chunk,0.15,165,24,8
102,12,full_attention_mean_score_per_chunk,0.15,165,24,8
102,13,full_attention_frequency_per_chunk,0.15,151,22,8
102,13,full_attention_mean_score_per_chunk,0.15,151,22,8
102,14,full_attention_frequency_per_chunk,0.15,144,21,8
102,14,full_attention_mean_score_per_chunk,0.15,144,21,8
102,15,full_attention_frequency_per_chunk,0.15,103,15,8
102,15,full_attention_mean_score_per_chunk,0.15,103,15,8
102,16,full_attention_frequency_per_chunk,0.15,153,22,8
102,16,full_attention_mean_score_per_chunk,0.15,153,22,8
102,17,full_attention_frequency_per_chunk,0.15,260,39,8
102,17,full_attention_mean_score_per_chunk,0.15,260,39,8
102,18,full_attention_frequency_per_chunk,0.15,196,29,8
102,18,full_attention_mean_score_per_chunk,0.15,196,29,8
103,0,full_attention_frequency_per_chunk,0.15,57,8,8
103,0,full_attention_mean_score_per_chunk,0.15,57,8,8
103,1,full_attention_frequency_per_chunk,0.15,118,17,8
103,1,full_attention_mean_score_per_chunk,0.15,118,17,8
103,2,full_attention_frequency_per_chunk,0.15,171,25,8
103,2,full_attention_mean_score_per_chunk,0.15,171,25,8
103,3,full_attention_frequency_per_chunk,0.15,143,21,8
