Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,"<think>

</think>

National Cycle Network",True,0,0.0,预测答案“National Cycle Network”准确包含了标准答案中的核心关键信息。虽然它省略了“United Kingdom's”等修饰性词汇，但已经正确回答了问题所问的所属网络名称，语义上与标准答案完全一致。,N/A,N/A,N/A,N/A,N/A
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","Answer: Corfe Mullen, Dorset, England",True,0.9333333333333333,0.0,"预测答案包含了标准答案的全部关键信息，即“Corfe Mullen, Dorset, England”。虽然预测答案多出了“Answer:”这样的前缀词，但这属于措辞上的细微差异，不影响核心语义。两者在语义上完全等价，准确地回答了Julia's House总部所在地的问题。",N/A,N/A,N/A,N/A,N/A
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Answer: Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.",True,0.9655172413793104,0.0,"预测答案包含了标准答案的所有关键信息，即“Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.”。虽然预测答案多了一个“Answer:”的前缀，但这不影响核心语义，两者在语义上完全等价，正确回答了问题。",N/A,N/A,N/A,N/A,N/A
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,"<think>

</think>

Johan Ludvig Heiberg",True,0,0.0,预测答案“Johan Ludvig Heiberg”准确给出了问题所询问的人物，包含了标准答案中的核心关键信息。虽然它没有使用完整的句子结构，但在问答任务中，直接提供正确的实体名称在语义上与标准答案完全等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,"<think>

</think>

Johanne Luise Heiberg",True,0,0.0,预测答案“Johanne Luise Heiberg”与标准答案完全一致，准确地给出了Johan Ludvig Heiberg的配偶名字，包含了所有关键信息，因此判定为正确回答了问题。,N/A,N/A,N/A,N/A,N/A
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","Answer: Alice de Lusignan, Countess of Surrey, was the daughter of John of England and Isabella of Angoulême. Her siblings included:
- Henry III of England
- Richard, who became King of the Romans
- Joan, who married Alexander II of Scotland
- Isabella, who married the Holy Roman Emperor Frederick II
- Eleanor, who married William Marshal, 2nd Earl of Pembroke, and later Simon de Montfort, 6th Earl of Leicester",False,0.3404255319148936,0.0,"预测答案错误地识别了Alice de Lusignan的父母。Alice实际上是英格兰国王约翰的妻子Isabella of Angoulême与她的第二任丈夫Hugh X de Lusignan所生的女儿。预测答案中列出的兄弟姐妹（如Henry III, Richard, Joan等）实际上是Isabella of Angoulême与约翰国王所生的孩子，即Alice的同母异父兄弟姐妹。虽然预测答案包含了Henry III，但整体上提供了错误的家族关系背景，且遗漏了标准答案中强调的“uterine half-brother”这一关键关系。",N/A,N/A,N/A,N/A,N/A
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,"1216 and 1220
</think>

Henry III was crowned in 1216 at Gloucester Cathedral due to London being under rebel control, and later had a second coronation at Westminster Abbey on 17 May 1220.",True,0.4,0.0,预测答案准确地提取了标准答案中的核心时间信息，即1216年和1220年。虽然它省略了具体的加冕地点等细节，但完全回答了问题中关于“何时加冕”的询问，在语义上与标准答案的核心要点保持一致。,N/A,N/A,N/A,N/A,N/A
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,"<think>

</think>

Answer: Charles University in Prague",True,0,0.0,预测答案“Charles University in Prague”直接且准确地指出了雇佣Ernst Mach的大学，与标准答案的核心信息完全一致，语义上等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,"<think>

</think>

The physicist that the Mach number is named after is Ernst Mach.",True,0,0.0,预测答案明确指出了马赫数是以物理学家恩斯特·马赫的名字命名的，包含了标准答案中的核心人物信息。虽然未详细说明其奥地利籍及哲学家的身份，但已准确回答了问题所问的物理学家是谁，语义与标准答案一致。,N/A,N/A,N/A,N/A,N/A
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,"Answer: Ernst Mach was associated with the Charles University in Prague, where he influenced Hayek during his studies, and also worked at the Institute of Brain Anatomy, where he conducted research on brain cells.",True,0.43478260869565216,0.0,预测答案明确指出了恩斯特·马赫与布拉格查理大学有关联，这与标准答案中的核心信息完全一致。尽管预测答案还包含了关于哈耶克和脑解剖研究所的额外细节，但它已经准确且完整地包含了标准答案所要求的关键信息，语义上保持等价。,N/A,N/A,N/A,N/A,N/A
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,King Richard I of England,"<think>

</think>

Answer: Richard I",True,0,0.0,预测答案“Richard I”直接指出了国王的具体身份，与标准答案“King Richard I of England”在语义上完全等价。虽然省略了“King”和“of England”等修饰限定词，但核心人物信息完全一致，准确回答了所提问题。,N/A,N/A,N/A,N/A,N/A
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","<think>

</think>

Answer: King Richard I led a large fleet from Messina in April 1191 to reach Acre, which was dispersed by a storm.",True,0,0.0,预测答案包含了标准答案的所有关键信息，即理查一世率领的舰队、从墨西拿出发、1191年4月、前往阿卡以及被风暴吹散。两者在语义上完全等价，仅措辞有细微差异。,N/A,N/A,N/A,N/A,N/A
The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,George Packer,"<think>

</think>

George Packer",True,0,0.0,预测答案“George Packer”与标准答案完全一致，准确地给出了《The Unwinding》这本书的作者信息，符合所有判断标准，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,Peace Corps,"<think>

</think>

Peace Corps",True,0,0.0,预测答案“Peace Corps”与标准答案完全一致，准确地给出了George Packer志愿加入的组织名称，完整且正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,"<think>

</think>

Answer: Art Brut",True,0,0.0,预测答案“Art Brut”准确给出了演唱歌曲“Bang Bang Rock & Roll”的乐队名称，与标准答案中的核心实体信息完全一致，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,Eddie Argos,"<think>

</think>

Eddie Argos",True,0,0.0,预测答案“Eddie Argos”与标准答案完全一致，准确无误地给出了乐队Art Brut的主唱名字，包含了标准答案的所有关键信息，因此判定为正确。,N/A,N/A,N/A,N/A,N/A
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,Compaq initiated a successful price war among PC manufacturers in 1994.,"<think>

</think>

Compaq",True,0,0.0,预测答案“Compaq”准确提取了标准答案中的核心实体信息。虽然它仅包含公司名称而省略了完整的句子结构，但它直接且正确地回答了“哪家公司”的问题，语义与标准答案完全一致。,N/A,N/A,N/A,N/A,N/A
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,Hewlett Packard,"<think>

</think>

Answer: Hewlett Packard",False,0,0.0,预测答案部分为空白，没有提供任何文字信息，因此未能回答“康柏在2002年与哪家公司合并”的问题，也没有包含标准答案“Hewlett Packard”这一关键信息。,N/A,N/A,N/A,N/A,N/A
What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","</think>

Katherine of England (25 November 1253 – 3 May 1257) was the fifth child of King Henry III of England and his wife, Eleanor of Provence. She was born either deaf-mute or just deaf and mentally challenged, and was very sickly. She possibly suffered from a degenerative disease and did not live past the age of three, dying at Windsor.",True,0,0.0,预测答案包含了标准答案的所有关键信息，包括她的出生和死亡日期、父母身份、健康状况（失聪、智力障碍、体弱多病、可能的退化性疾病）以及死亡地点。两者在语义上完全等价，仅存在措辞上的细微差异。,N/A,N/A,N/A,N/A,N/A
What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?,Henry III was first crowned in 1216 and had a second coronation in 1220.,"1216


</think>

Answer: 1216",True,0.24000000000000002,0.0,预测答案“1216”准确包含了标准答案中关于亨利三世首次加冕年份的关键信息。虽然标准答案还补充了1220年第二次加冕的细节，但预测答案已经正确回答了问题所问的“哪一年加冕”，属于包含核心信息的正确回答。,N/A,N/A,N/A,N/A,N/A
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.","<think>

</think>

Answer: Natalie Wood",True,0,0.0,预测答案准确地给出了“Natalie Wood”这一关键人物信息，直接回答了问题所问的演员是谁。虽然它比标准答案简略，没有提及角色名Susan Walker和电影年份等额外细节，但核心语义与标准答案完全一致，符合正确回答问题的标准。,N/A,N/A,N/A,N/A,N/A
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,Lana Wood is the sibling of actress Natalie Wood.,"<think>

</think>

Lana Wood",True,0,0.0,预测答案“Lana Wood”直接给出了问题所询问的对象，包含了标准答案中最核心的人物实体信息。虽然它是一个简短的词组而非完整的句子，但在问答任务中，其语义与标准答案完全等价，准确地回答了问题。,N/A,N/A,N/A,N/A,N/A
What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,"Culberson County, Texas","<think>

</think>

Pine Springs is located in Culberson County, Texas.",True,0,0.0,"预测答案明确指出了Pine Springs位于Culberson County, Texas，这与标准答案完全一致，包含了所有关键信息，语义上完全等价，准确无误地回答了问题。",N/A,N/A,N/A,N/A,N/A
What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",Van Horn,"</think>

Van Horn",True,0,0.0,预测答案“Van Horn”与标准答案完全一致，准确地给出了美国得克萨斯州卡尔伯森县的县治所在地，包含了标准答案的所有关键信息，语义完全等价。,N/A,N/A,N/A,N/A,N/A
"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?,Compaq was the top PC manufacturer in 1994.,"<think>

</think>

Compaq",True,0,0.0,预测答案“Compaq”直接给出了问题的核心实体，与标准答案中的关键信息完全一致。虽然它省略了标准答案中的修饰性语句，但语义上完全等价，准确地回答了1994年顶级个人电脑制造商是谁的问题。,N/A,N/A,N/A,N/A,N/A
"In 2002, what company merged with the top PC manufacturer from 1994?",What company did Compaq merge with in 2002?,Compaq merged with Hewlett Packard (HP) in 2002.,"<think>

</think>

Answer: Hewlett Packard",True,0,0.0,预测答案“Hewlett Packard”直接且准确地提供了问题所询问的核心实体信息，与标准答案中的关键信息完全一致，因此可以判定为正确回答了问题。,N/A,N/A,N/A,N/A,N/A
"In the King's Speech, who played the person who was the King of England in 1950?",Who was the King of England in 1950?,George VI was the King of the United Kingdom in 1950.,"<think>

</think>

George VI",True,0,0.0,预测答案“George VI”准确给出了问题所问的君主名字，与标准答案的核心信息完全一致。虽然预测答案省略了头衔和年份等修饰性词语，但已经包含了回答该问题所需的最关键信息，语义上与标准答案等价。,N/A,N/A,N/A,N/A,N/A
"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?,Colin Firth,Answer: Colin Firth,True,0.8571428571428571,0.0,预测答案明确指出了“Colin Firth”，包含了标准答案的全部关键信息。虽然预测答案多出了“Answer: ”这样的前缀词，但这属于措辞上的细微差异，两者在语义上完全等价，准确地回答了关于电影《国王的演讲》中扮演乔治六世的演员的问题。,N/A,N/A,N/A,N/A,N/A
Whose sister played Susie in miracle on 34th street?,Who played Susie in Miracle on 34th Street?,Natalie Wood played Susan Walker in Miracle on 34th Street.,"<think>

</think>

Natalie Wood",True,0,0.0,预测答案“Natalie Wood”准确给出了扮演该角色的演员名字。虽然问题中使用了“Susie”，而标准答案中使用了“Susan Walker”，但这指的是同一角色，且预测答案的核心人物信息与标准答案完全一致。,N/A,N/A,N/A,N/A,N/A
Whose sister played Susie in miracle on 34th street?,Who is Natalie Wood's brother?,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,"<think>

</think>

Lana Wood",False,0,0.0,预测答案给出了“Lana Wood”，但根据标准答案，Lana Wood是Natalie Wood的姐妹而非兄弟。标准答案明确指出文档中并未提及Natalie Wood有兄弟，因此预测答案未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
What team was Anna Benson's husband on?,Who is Anna Benson's husband?,"Kris Benson, a former Major League Baseball pitcher.","<think>

</think>

Kris Benson",True,0,0.0,预测答案“Kris Benson”准确给出了问题所询问的人物，包含了标准答案的核心关键信息。虽然缺少了对丈夫职业背景的补充描述，但已经正确且直接地回答了“丈夫是谁”的核心问题，符合语义等价的判断标准。,N/A,N/A,N/A,N/A,N/A
What team was Anna Benson's husband on?,What team did Kris Benson play for in Major League Baseball?,"Kris Benson played for the Pittsburgh Pirates, New York Mets, and Baltimore Orioles.","<think>

</think>

Kris Benson played for the Pittsburgh Pirates, the New York Mets, and the Baltimore Orioles in Major League Baseball.",True,0,0.0,预测答案包含了标准答案中的所有关键信息，即Kris Benson效力过的三支大联盟球队（匹兹堡海盗队、纽约大都会队和巴尔的摩金莺队）。虽然预测答案在句末增加了“in Major League Baseball”以使句子更完整，但这并未改变核心语义，与标准答案完全等价。,N/A,N/A,N/A,N/A,N/A
What is the record label for the singer who originally sang You Belong To Me.,Who originally sang the song You Belong To Me?,Joni James,"<think>

</think>

Joni James",True,0,0.0,预测答案“Joni James”与标准答案完全一致，准确地给出了歌曲《You Belong To Me》的原唱歌手，包含了标准答案的所有关键信息，语义完全等价。,N/A,N/A,N/A,N/A,N/A
What is the record label for the singer who originally sang You Belong To Me.,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,MGM Records,"<think>

</think>

Sharp Records",False,0,0.0,预测答案给出的唱片公司是“Sharp Records”，这与标准答案“MGM Records”完全不符。Joni James在1952年发行歌曲《You Belong To Me》时，所属的唱片公司是MGM Records，因此预测答案未能正确回答该问题。,N/A,N/A,N/A,N/A,N/A
When did the crowning of the person under whom the Chapter House was built happen?,Who was the person under whom the Chapter House was built?,Henry III,Answer: Henry III,True,0.8,0.0,预测答案明确指出了“Henry III”，这与标准答案完全一致。虽然预测答案中多包含了“Answer: ”这样的前缀词，但这属于无关的格式修饰，不影响核心语义的表达。两者在语义上完全等价，准确回答了问题。,N/A,N/A,N/A,N/A,N/A
When did the crowning of the person under whom the Chapter House was built happen?,When was Henry III crowned?,"Henry III was first crowned in 1216 at Gloucester Cathedral, and then again at Westminster Abbey in 1220.","1220


</think>

Answer: 1220",False,0.18181818181818182,0.0,预测答案“1220”仅提供了亨利三世第二次加冕的时间，遗漏了标准答案中包含的首次加冕时间“1216”及地点等关键信息。由于未能完整回答问题，因此判定为错误。,N/A,N/A,N/A,N/A,N/A
What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?,Joni James sang the song 'You Belong to Me'.,"<think>

</think>

Joni James",True,0,0.0,预测答案“Joni James”直接提供了问题所询问的歌手名字，与标准答案的核心信息完全一致。虽然它省略了标准答案中的部分修饰性语句，但已经准确且完整地回答了“谁唱了这首歌”的问题，语义上完全等价。,N/A,N/A,N/A,N/A,N/A
What record label does the artist who sang you belong to me belong to?,What record label is Joni James signed to?,Joni James was signed to MGM Records.,Answer: M-G-M Records,True,0.5454545454545454,0.0,预测答案中的“M-G-M Records”与标准答案中的“MGM Records”在语义上完全等价，仅仅是连字符的细微措辞差异。预测答案准确包含了标准答案的关键信息，正确回答了Joni James签约的唱片公司。,N/A,N/A,N/A,N/A,N/A
What place does the administrative territorial entity that Juba is located in share a border with?,What is the administrative territorial entity that contains Juba?,Central Equatoria,"<think>

</think>

Answer: Central Equatoria",False,0,0.0,预测答案部分为空白，没有提供任何关于包含朱巴的行政领土实体的信息，因此未能回答问题，与标准答案“Central Equatoria”不符。,N/A,N/A,N/A,N/A,N/A
