part,target,source,kind,context_index,rank,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t1,1,raw,k,40,0,1473144.0381227285,17017312.421875,506864.1089037806,907928.0634369776,937104.0012141075,0.29422333926241984,0.5865744792110332,0.17258390199958507,0.6559303803383051,0.8102881095137042
t1,1,raw,k,40,1,1473144.0381227285,17017312.421875,438999.44304296374,1115870.3631801344,1075007.4839042947,0.29422333926241984,0.5458953291716491,0.16061514663664045,0.7019982895885769,0.8384593457469461
t1,1,raw,k,40,2,1473144.0381227285,17017312.421875,397239.4635191858,1117281.7176677994,1096593.1542416774,0.29422333926241984,0.5192823805901927,0.15278499603738527,0.7303458092085823,0.8547548582856894
t1,1,raw,k,40,4,1473144.0381227285,17017312.421875,346763.1785695553,1151379.4386283793,1138880.1569843367,0.29422333926241984,0.485169935762999,0.1427483186099233,0.7646101334317275,0.8744725576442
t1,1,raw,k,40,8,1473144.0381227285,17017312.421875,280267.60452797264,1208990.3841467723,1200933.422568649,0.29422333926241984,0.43617808813036624,0.12833377360281442,0.8097486754349384,0.8998806265838071
t1,1,raw,k,40,16,1473144.0381227285,17017312.421875,214274.1437614374,1266570.5784041807,1262720.2409854308,0.29422333926241984,0.3813838318797742,0.11221202455636448,0.8545463727807001,0.9244210753554563
t1,1,raw,k,40,32,1473144.0381227285,17017312.421875,145215.73707818612,1329537.1829915345,1328732.7640730739,0.29422333926241984,0.3139671679156076,0.09237646856289494,0.9014246174710526,0.9494340302505191
t1,1,raw,k,40,64,1473144.0381227285,17017312.421875,63534.58787584491,1406504.7087768316,1408057.0933464617,0.29422333926241984,0.20767417904609536,0.061102590437523835,0.9568714353575303,0.9781986593872584
t1,1,raw,k,41,0,1467057.6936573386,17016946.0,352483.8220706433,907928.0634369776,1011250.9780601859,0.2936180744887307,0.49016917648826513,0.1439225297742112,0.759734178420816,0.8762128903631343
t1,1,raw,k,41,1,1467057.6936573386,17016946.0,324617.51409852505,1031895.5657105632,1087167.881544644,0.2936180744887307,0.4703946537804375,0.13811637249280517,0.7787288696947824,0.8835988535432209
t1,1,raw,k,41,2,1467057.6936573386,17016946.0,313350.3102428913,1066886.0675188191,1110296.7311793827,0.2936180744887307,0.4621590564450676,0.13569825226092935,0.7864090065458048,0.8874756433039354
t1,1,raw,k,41,4,1467057.6936573386,17016946.0,291455.5522108972,1100439.410908945,1138020.776825957,0.2936180744887307,0.4457204598058484,0.1308715831684249,0.8013332717104631,0.8956607164327616
t1,1,raw,k,41,8,1467057.6936573386,17016946.0,252185.76071701944,1156532.8275646716,1185702.385377556,0.2936180744887307,0.41460705128658915,0.12173612406821872,0.8281009930234396,0.9102760466299751
t1,1,raw,k,41,16,1467057.6936573386,17016946.0,201289.1536913216,1236904.4456233084,1251336.497936383,0.2936180744887307,0.3704133156162156,0.1087600444962197,0.8627939756142018,0.9289288263234333
t1,1,raw,k,41,32,1467057.6936573386,17016946.0,141193.00323098525,1308078.6945567578,1316971.6965049654,0.2936180744887307,0.31022942744951343,0.0910889671374675,0.903757702344347,0.9506833958044689
t1,1,raw,k,41,64,1467057.6936573386,17016946.0,60982.16086396575,1396087.5416222215,1401081.5464125425,0.2936180744887307,0.20388149429851468,0.059863291779815,0.9584323362826047,0.979001800697185
t1,1,raw,k,42,0,1672692.7223193347,17022568.3125,350902.61563031375,907928.0634369776,1114859.0921554454,0.3134696801927741,0.4580208190713199,0.1435756396759191,0.7902169292972372,0.9046616418032923
t1,1,raw,k,42,1,1672692.7223193347,17022568.3125,288431.93966957927,1193938.6637347154,1289099.7349414937,0.3134696801927741,0.41525377725991586,0.13016946875650728,0.8275643004713722,0.9121944535672073
t1,1,raw,k,42,2,1672692.7223193347,17022568.3125,271534.1310637444,1252560.812848188,1326859.7111704648,0.3134696801927741,0.40290636638081573,0.12629892981702698,0.8376664599298079,0.9166794879396536
t1,1,raw,k,42,4,1672692.7223193347,17022568.3125,241738.07399715483,1315995.5433433875,1373475.1078259274,0.3134696801927741,0.3801582722139615,0.11916809201354807,0.8554796880672956,0.9257324766285339
t1,1,raw,k,42,8,1672692.7223193347,17022568.3125,201454.77581127733,1390699.5445667952,1430968.7597221285,0.3134696801927741,0.34704093126445723,0.10878680973727191,0.8795625920270983,0.9382215686209143
t1,1,raw,k,42,16,1672692.7223193347,17022568.3125,151148.21393968537,1466898.4256697446,1494221.473997429,0.3134696801927741,0.30060308004697467,0.09422995136728801,0.9096377882662722,0.9539088293241975
t1,1,raw,k,42,32,1672692.7223193347,17022568.3125,92493.69566405937,1547968.9808699042,1564084.009136349,0.3134696801927741,0.23515162406256201,0.07371290439170276,0.9447037137007395,0.9720102963195663
t1,1,raw,k,42,64,1672692.7223193347,17022568.3125,36133.15707558859,1622822.9362433106,1629691.2540553361,0.3134696801927741,0.14697547445672343,0.046072354974130335,0.978398209908221,0.9891489232744464
t1,1,raw,k,43,0,1063914.8547049314,17013967.15625,716734.3266483694,907928.0634369776,627554.3064162349,0.25006369336572776,0.8207779222048849,0.20524675865960149,0.32632360242103187,0.6385165490559269
t1,1,raw,k,43,1,1063914.8547049314,17013967.15625,652348.2586942613,893769.7096959688,652668.1641271785,0.25006369336572776,0.7830442726523749,0.19581094288833278,0.3868416670663132,0.6693082477805053
t1,1,raw,k,43,2,1063914.8547049314,17013967.15625,507466.8155309558,856098.1622760557,706273.1107393149,0.25006369336572776,0.6906378686348923,0.17270345620907546,0.5230193344074533,0.7400438491520567
t1,1,raw,k,43,4,1063914.8547049314,17013967.15625,447809.8007469177,852318.819670923,734211.9462889805,0.25006369336572776,0.6487738862603459,0.16223479415749867,0.5790924445066477,0.7710223569249024
t1,1,raw,k,43,8,1063914.8547049314,17013967.15625,361674.60251638293,873431.3052227423,787835.7841360867,0.25006369336572776,0.583049691745326,0.1457995593335853,0.6600530569556804,0.8172743892409937
