Question,Real Answer,Pred Answer
Where is Sean Hampton's birth place in the state of Florida?,in Northern Florida,"Ocala, Florida"
Who is the president of the group Kim Un-yong is a member of?,Thomas Bach,Kim Jong Un
"During the war in which The Things They Carried is set, when was conscription introduced by the country where the film Grievous Bodily Harm was later released?",1964,1964
Who is the president of the new country who has jointly established a Commission on Truth and Friendship with the birth country of Satyo Husodo?,Francisco Guterres,Xanana Gusmão
Who is the spouse of the current queen of England?,Philip Mountbatten,Philip Mountbatten
In which year did Taifa of Francisco Giner de los Rios' birthplace cease to exist?,1065,1151
What did M. King Hubbert's employer announce it was in the process of doing in April 2010?,trying to find a potential buyer for all of its operations in Finland,selling its interests in four Nigerian oil fields
Who did the person considered the founder of three major monotheistic religions marry after the death of Sarah?,Keturah,Abraham married Keturah after the death of Sarah.
In what region of the country of S-Fone is The place of birth of John Phan located?,South Central Coast,South Central Coast region of Vietnam
"Along with the Closer performer, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,Bart Millard
The Live Life Loud album's band signed to which label?,Fair Trade Services,Sony Music
Who is the child of Sigrid Eskilsdotter's child?,Svante Stensson Sture,Cecilia Månsdotter and Christina Gyllenstierna
What is the record label of the Metalworks Studio founder?,TML Entertainment,Island Records
Who is the president of the new country that jointly established a Commission of Truth and Friendship with the country that broadcasts Dahsyat?,Francisco Guterres,Susilo Bambang Yudhoyono
How many times did the plague occur in the city where Flora's painter died?,22,1
What is the seat of the county sharing a border with the county in which Valley New School is located?,Green Bay,Braniewo
What is the highest city in the state where Dell ranks sixth by revenue?,Fort Davis,Fort Davis
Who played the girlfriend of who plays marty mcfly's daughter in back to the future 2?,Claudia Wells,Rebcca Sweitzer
"What specific part of the book where the quote ""by the skin of your teeth"" comes from document reference for Mary?",Genesis 3:15,"The quote ""by the skin of your teeth"" does not come from the book passages provided."
What is the seat of the county sharing a border with the county in which J. P. Hayes was born?,Green Bay,Appleton
How many times did plague occur in the place where Venus with a Mirror's creator died?,22,1
What is the source of the river Orlam clans crossed to migrate to Namibia?,Thaba Putsoa,Orange River
"Why was Common Sense, by the same author as Rights of Man, an important work?",crystallized the rebellious demand for independence from Great Britain,"Thomas Paine's ""Common Sense"" was an important work because it was a highly influential pamphlet that helped to inspire the American Patriots to declare independence from Great Britain. Published in 1776, it was widely"
In which county was Larkin I. Smith born?,Pearl River County,"Poplarville, Mississippi"
What movie did the person who acted in the comedy film Crime School win his only Oscar for?,The African Queen,The African Queen
with what movie did Mary Philips' husband win his only oscar?,The African Queen,The African Queen
The all time top goal scorer in premier league in one season is a member of what team?,Egypt national football team,Manchester United
Where is the province of Gonbad-e Qabus County located?,in the north-east of the country south of the Caspian Sea,"Gonbad-e Qabus County is located in Golestan province, Iran."
Who wrote the song turn me on that is performed by performer of Feelin' the Same Way?,John D. Loudermilk,John D. Loudermilk
What institute did the actor playing the voice of John Smith in Pocahontas attend?,National Institute of Dramatic Art,National Institute of Dramatic Art (NIDA)
Who led the muslim forces to retake the proposed embassy destination?,Abu Ubaidah,Abu Ubaidah
Which is the body of water near George Mills' place of birth?,River Thames,River Etherow
When did the party who gained control of congress in the midterm elections in 1946 take control of the determiner of rules of the US House and US Senate?,January 2015,"The Republicans took control of the determiner of rules of the US House and US Senate in the 114th Congress, which started in January 2015."
Who does the Nothing Suits Me Like a Suit artist play in Batman Under the Red Hood?,Nightwing / Dick Grayson,Jason Todd
When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1989,1989
What is the seat of the county sharing a border with the county in which Miller Electric is headquartered?,Green Bay,Pécs
Who is the brother of the Nothin' My Love Can't Fix performer?,Matthew Lawrence,Joey Lawrence's brother is not mentioned in the provided text.
Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,Joey Lawrence
When was the last time the team that Arthur James was a member of beat the 1894-95 FA cup winner?,1 December 2010,1982
Who started the foundation that developed the Free Software Directory?,Richard Stallman,Free Software Foundation (FSF)
What pantheon is the God of the underworld in ancient Egypt a part of?,ancient Egyptian religion,Egyptian
Where was the president born on the fourth of July born?,Plymouth Notch,Answer: Calvin Coolidge was born on the Fourth of July.
Who play's Marty's girlfriend in back to the future?,Claudia Wells,Jennifer Jane Parker (portrayed by Claudia Wells in the first film and Elisabeth Shue in the second and third film) is Marty McFly's girlfriend in Back to the Future.
What is the record label for the band which performed Pythons?,Kanine Records,Sire Records
Who is the employer of the person Mach's principle was named after?,Charles University,The passage does not provide information about the employer of Ernst Mach.
What is the life expectancy of the type of retriever named after the body of water the Patuxent River turns into?,average lifespan at 9.4 years,12 to 13 years
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sambas is located?,Francisco Guterres,Xanana Gusmão
What is the capital of the country it is about?,Aden,Turkey
The league playing in the Thursday night football game is a type of what?,sports league,football
A participant of the Battle of Brechin is an instance of?,Scottish clan,participant of the Battle of Jutland
