Question,Real Answer,Pred Answer
Who played Fagin in the original West End production of Oliver and in the 1968 film of the same name?,Ron Moody,Ron Moody
Who painted ' Supper at Emmaus ' and ' The Anatomy Lesson ' ?,Rembrandt,Rembrandt
Alma Reville who died in 1982 was the wife and collaborator of which famous British character who was knighted in 1980 ?,Hitchcock,Alfred Hitchcock
In which 1960s and 70s TV sitcom did Brian Wilde play a character called 'Bloody Delilah' ?,The Dustbinmen,The Dustbinmen
"Who was admitted to Parkland Memorial Hospital, Dallas, as ‘Patient 24740, white male’?",JFK,Lee Harvey Oswald
Alice Perrers was the mistress of which English king?,Edward III of England,Edward III
What name is given to the painting medium that uses eggs?,Tempera grassa,tempera
How many pints are there in a gallon?,8,8
"On a QWERTY keyboard, which two letters have raised marks to assist with touch typing?",F and J,F and J
The Blisworth Canal Tunnel is in which English county?,Northamptonshire,Northamptonshire
What does the Latin phrase ‘Ars gratia artis’ translate to in English?,Art for art's sake,art for art's sake
"Hanged at Wandsworth prison in 1949 for killing six people, which British criminal was known as 'The Acid Bath Murderer'?",John Haig,John George Haigh
Which British inventor was responsible for the introduction of the rubber band in 1845?,Stephen Perry,Stephen Perry
"""""""The Camels are Coming"""" published in 1932 was the first book that featured which popular children's hero created by W.E.Johns?""",Biggles,Biggles
"""In the book """"Tom Brown's Schooldays"""" what was the name of the school bully that Tom and his friend Harry eventually defeat in a fight after enduring several months of bullying?""",Flashman,Flashman
"The three largest towns in ‘The English Riviera’ are Torquay, Paignton, and … what?",Brixham,Brixham
"What two word name is commonly given to the heavy, slow moving lizard that grows up to two feet in length and along with the Mexican Beaded Lizard is the only venomous lizard that lives in North America?",Gila monster,Gila monster
Who is the mother of the actor Toby Stephens ?,Dame Maggie Smith,Dame Maggie Smith
How many gills are there in half a gallon?,sixteen,32
Which unlikely country qualified for the 2015 Cricket World Cup Finals by beating Kenya?,Afghanistan,Afghanistan
A Cariocan is a native of which city?,São Sebastião do Rio de Janeiro,Rio de Janeiro
"Which is the country of origin of Martha and the Muffins, Crash Test Dummies and Rush?",Canada,Canada
What is the name of the river on which Bakewell stands?,Wye,River Wye
"In 1984, who topped the US charts, and got to no. 9 in the UK, with ‘Missing You’?",John Waite,John Waite
Which cowboy was played by Ty Hardin?,Bronco Layne,Bronco Layne
