dataset,method,finished_segments,total_segments,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,traceback
2wikimqa,uniform_alpha0p1,0,8,0,0,0,0,0,0,0,0,16
2wikimqa,uniform_alpha0p25,0,8,0,0,0,0,0,0,0,0,16
2wikimqa,random_alpha0p05,0,8,0,0,0,0,0,0,0,0,16
2wikimqa,random_alpha0p1,0,8,0,0,0,0,0,0,0,0,16
2wikimqa,random_alpha0p25,0,8,0,0,0,0,0,0,0,0,16
hotpotqa,uniform_alpha0p1,0,11,0,0,0,0,0,0,0,0,22
hotpotqa,uniform_alpha0p25,0,11,0,0,0,0,0,0,0,0,22
hotpotqa,random_alpha0p05,0,11,0,0,0,0,0,0,0,0,22
hotpotqa,random_alpha0p1,0,11,0,0,0,0,0,0,0,0,22
hotpotqa,random_alpha0p25,0,11,0,0,0,0,0,0,0,0,22
triviaqa,uniform_alpha0p1,0,11,0,0,0,0,0,0,0,0,22
triviaqa,uniform_alpha0p25,0,11,0,0,0,0,0,0,0,0,22
triviaqa,random_alpha0p05,0,11,0,0,0,0,0,0,0,0,22
triviaqa,random_alpha0p1,0,11,0,0,0,0,0,0,0,0,22
triviaqa,random_alpha0p25,0,11,0,0,0,0,0,0,0,0,22
