Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason
Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Maria Bello,1.0,1.0,True,预测答案“Maria Bello”与标准答案完全一致，准确地给出了问题中所询问的演员名字，包含了标准答案的全部关键信息，语义完全等价，因此判断为正确。
What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,the Manhattan Project,1.0,1.0,True,预测答案“the Manhattan Project”包含了标准答案“Manhattan Project”的所有关键信息，两者在语义上完全等价。仅多了一个定冠词“the”，属于措辞上的细微差异，不影响对问题的正确回答。
In which borough was Callum McManaman born?,Knowsley,Merseyside,0.0,0.0,False,预测答案“Merseyside”是一个大都会郡，而标准答案“Knowsley”是一个具体的自治市。虽然Knowsley位于Merseyside内，但两者在地理层级和具体指代上并不等价，预测答案未能准确给出出生地的具体自治市名称。
Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot,1.0,1.0,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了所提出的问题。
Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Larry Smith,0.0,0.0,False,预测答案“Larry Smith”与标准答案“Sherry Boucher”完全不一致。问题询问的是扮演汉尼拔·史密斯的演员的配偶，标准答案为Sherry Boucher，而预测答案给出了一个完全不同的人名，未能包含标准答案的关键信息，语义上也不等价。
When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2003–04,0.0,0.3333333333333333,False,预测答案“2003–04”与标准答案“1 December 2010”在时间信息上完全不一致，未能包含标准答案的关键信息，且两者在语义上并不等价，因此预测答案未能正确回答问题。
Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: The child of the cast member of Green Ice is not mentioned in the provided passage.,0.0,0.0,False,预测答案表示文本中没有提及该信息，未能给出具体的人名，完全没有包含标准答案中的关键信息“Tatum O'Neal”，因此未能正确回答问题。
How many times did plague occur in the birthplace of La Silvia's composer?,22,3,0.0,0.0,False,预测答案给出的数字是3，而标准答案明确指出瘟疫发生的次数是22。两者在核心数值信息上完全不一致，且语义上无法等价，因此预测答案未能正确回答问题。
When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1.0,1.0,True,预测答案“1912”与标准答案“1912”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题所询问的时间。
What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,0.0,0.25,True,预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”中的核心关键信息，两者在语义上完全等价，仅仅是省略了全称和连字符的细微格式差异，不影响对问题的正确回答。
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,James Howard Meredith,1.0,1.0,True,预测答案“James Howard Meredith”与标准答案完全一致，准确包含了问题所需的关键信息，语义上完全等价，正确回答了关于该大学第一位非裔美国学生的问题。
