Question,Real Answer,Pred Answer
In the UK television quiz show ‘The Chase’ which chaser is is known as ‘The Beast’?,Mark Labbett,Mark Labbett
"In the game of English billiards, how many points does a cannon score?",2,2
Tansu Ciller was the first woman Prime Minister of which European country?,Turkey,Turkey
Which sitcom starred Leonard Rossiter in the role of a supermarket manager?,Tripper's Day,Tripper's Day
What is the name of the church in The Vicar of Dibley?,St Barnabus,St Barnabus
How many points of the compass are there?,32,32
At the mouth of which English river is Spurn Head?,Humber Estuary,Humber
For achievement in what field is the Fields Medal awarded?,Mathematic,mathematics
Which Cumbrian town’s boundaries incorporate the 11-mile-long Walney Island?,History of Barrow-in-Furness,Barrow-in-Furness
Who was Prime Minister during the Queen's Silver Jubilee celebrations?,Callaghan,Answer: James Callaghan
"Who discovered electromagnetic induction, so facilitating the transformer and dynamo?",Michael Faraday,Michael Faraday
Who starred alongside Polly James in the first series of The Liver Birds?,Pauline Collins,Nerys Hughes
"Winner in a poll of Classic FM's most popular piece of music in 2016, which composer also wrote A London Symphony",Ralph Vaughan Williams,Leonard Bernstein
Who resides in Mansion House?,Lord Mayor of London,the Lord Mayor of London
Who was the father of Ophelia?,Polonius,Polonius
In which film does Iris Henderson search for Miss Froy on a train in fictional Bandrika?,Lady Vanishes,The Lady Vanishes
What do the French ‘Appellation d’Origine Controlee’ laws regulate?,Wines,"the production of wine and other agricultural products, including geographical indications, quality standards, allowed additives, and procedures in winemaking and viticulture"
Who was Israeli Prime Minister from 1969 to 1974?,Golda Meir,Golda Meir
"Which was King Arthur’s last battle, where he either died or was fatally wounded?",Camlan,Battle of Camlann
"Also known as Annonaria; in Roman mythology, who was the personification of luck?",Fortuna,Fortuna
Who was the famous mother of politician Shirley Williams?,Vera Brittain,Vera Brittain
"Cheeser, Six-er and Laggies are all terms used in which children’s game?",Conkers,Conkers
Triskaidekaphobia is the irrational fear of which number?,13,13
In “Open All hours” which actress delivered the milk?,Barbara Flynn,Barbara Flynn
"In Christianity, ‘Holy Wednesday’ is also known as ‘what’ Wednesday?",Holy Wednesday,Spy
What is the boiling point of water on the Farenheit scale?,212 degrees,212 °F
What is the boiling point of water in degrees Fahrenheit?,212,212 °F
If a month has a Friday the thirteenth then on what day of the week would that month begin?,Sunday,Sunday
Who was the Egyptian president who was assassinated in 1981?,Sadat,Anwar Sadat
"Who wrote the novel Cry, the Beloved Country about South Africa?",Alan Paton,Alan Paton
Who wrote the 2004 play ‘The History Boys’?,Alan Bennet,Alan Bennett
What is the name of the mill in the novel ‘The Mill on the Floss’ by George Eliot?,Dorlcote Mill,The Mill on the Floss
Who is the only driver to have completed and won the Triple Crown in motor racing?,Graham Hill,Graham Hill
Princess Charlene became the wife of which European prince in 2011?,"Albert II, Prince of Monaco","Albert II, Prince of Monaco"
The peptide hormone renin is secreted by which organ of the body?,Human kidney,kidneys
Who was the Roman god of trickery and thieves?,Mercury,Mercury
Which unsuccessful model of car was named after Henry Ford’s son?,Edsel,Edsel
What was the Roman name for the city of Paris?,Lutetia,Lutetia
What is fictional Inspector Maigret’s first name?,Jules,Jules
"In cooking, what is calamares?",Squid,"calamares is a culinary specialty in Spain, commonly known as a squid sandwich. It consists of squid battered in flour and fried in oil, often served with a spicy tomato sauce and mayonnaise with garlic."
Who wrote the 1939 story ‘The Secret Life of Walter Mitty’?,James Thurber,James Thurber
Who wrote the 1970 book ‘Future Shock’?,Heidi Toffler,Alvin Toffler
Bezique is a card game for how many players?,2,2 to 4 players
Cosmo Smallpiece was a character played by which English comedian?,Les Dawson,Les Dawson
The volcanic rock Kimberlite is best known for sometimes containing which gemstone?,Diamond,Diamonds
What is the name of the only British M.P. to be a member of the Green Party?,Caroline Lucas,Caroline Lucas
On whic racecourse does the Irish Derby take place each year?,Curragh,Curragh
Which antipodean bird is the largest member of the kingfisher family?,Dacelo novaeguinea,Answer: laughing kookaburra
What is the name of the lustrous substance that forms pearl and mother-of-pearl?,Mother of pearl,calcium carbonate
How many ventricles are there in the human heart?,2,two
What are the chemicals produced by the endocrine glands to control body functions?,Hormone,hormones
"The Ambassador Bridge, which connects the US with Canada, spans which river?",Detroit River,Detroit River
How many holes are on a classic cribbage board?,121,18
James Brindley is chiefly remembered for building what?,Canal,canal locks
The Third Foot and Mouth Regiment featured in which Carry On film?,3rd Foot and Mouth Regiment,"The Third Foot and Mouth Regiment is featured in the Carry On film ""Carry On Regardless."""
"In the Six Nations Rugby Championship, the Millennium Trophy is awarded to the winner of the game between which two countries?",England and Ireland,England and Scotland
"Originating in the US, what is the filling in a MoonPie?",Marshmallow,The passage does not provide information about the filling in a MoonPie.
"What is the surname of Dick and Jane in the 2005 film ‘Fun With Dick and Jane’, starring Jim Carrey and Tea Leoni?",Harper,"Answer: The surname of Dick and Jane in the 2005 film ""Fun With Dick and Jane"" is Harper."
Who is the narrator of Three Men in a Boat?,J,"the narrator is a passenger who was traveling on the ship ""Glen Carrig"""
Who was the hostess of The Golden Shot between 1969 and 1975?,Anne Aston,Anne Aston
Which actor appeared as Fancy Smith in Z-cars?,Brian Blessed,Brian Blessed
British actress Alison Steadman married which film director/writer in 1973?,Mike Leigh,Mike Leigh
What is the dish of stuffed vine leaves called?,Dolmas,sarma
"On TV, who played the long suffering wife of Alf Garnett in ‘Till Death Us Do Part’?",Dandy Nichols,Dandy Nichols
Which hand puppet would you associate with Shari Lewis?,Lamb Chop,Lamb Chop
"Musician Richey Edwards, who went missing in February 1995, was the rhythm guitarist in which band?",Manic Street Preachers,Manic Street Preachers
Who was the pilot hero of Captain W.E. Johns stories?,Biggles,The pilot hero of Captain W.E. Johns stories was Biggles.
Who was the first Mayor of Casterbridge in the Thomas Hardy novel?,Mayor of Casterbridge,Bathsheba Everdene
"In the Bible, what was the name of Jacob’s only daughter?",Hamor,Dinah
Who recorded the albums Blue and Court And Spark?,Joni Mitchell,Joni Mitchell
Who was the German soldier in Rowan and Martin's Laugh In?,Very interesting ...,"The German soldier in Rowan and Martin's Laugh-In was a character played by Dan Rowan, one of the show's hosts. The character was named ""Wolfgang,"" a cigarette-smoking German soldier who believed that"
Michael Jackson's Will You Be There came from which movie?,Free Willy,Free Willy
Pink Fairy and Nine Banded are species of which animal?,Dasypodidae,armadillo
What were the first names of English novelist R.D.Blackmore?,Richard Doddridge,Richard Hugh
"What was the name of the Archbishop of Canterbury’s envoy, who was taken hostage in Lebanon in 1987?",Terry Waite,Terry Waite
The pudu is the world’s smallest species of which animal?,Fawn,deer
