Question,Real Answer,Pred Answer
Which fictional division of the Jersey police employed the services of Jim Bergerac?,Le Bureau des Étrangers,Le Bureau des Étrangers
What is the name of the fictional island that provides the setting for Death in Paradise?,Saint-Marie,Saint Marie
"What is the first name of the mother of Jemima Khan and widow of Sir James Goldsmith, after whom one of London's most exclusive night clubs was named?",Annabel,Annabel
"Which celebrity chef is the owner of the three Michelin-starred restaurant, The Fat Duck, in Bray, Berkshire, which has been voted the Best Restaurant in the UK for the past six yearsby The Good Food Guide ?",The Big Fat Duck Cookbook,Heston Blumenthal
"""Which jockey rode 50/1 outsider """"Last Suspect"""" to victory in the 1985 Grand National?""",Hywel Davies,Hywel Davies
On a Monopoly board what makes up the set with Coventry Street and Leicester Square?,Piccadilly,"Coventry Street and Leicester Square are part of the set of properties in the standard British version of the Monopoly board game that are located in the West End of London. They are connected by Piccadilly Circus, and"
Whose first two hit albums were No Parlez and The Secret of Association ?,Paul Young,Paul Young
"Who wrote the Christmas story, The Snowman?",Raymond Briggs,Raymond Briggs
Who played Lord Melchett in the TV comedy series Blackadder II?,Stephen Fry,Stephen Fry
Who had and 80s NO 1 with The Tide is High?,Blondie,Blondie
Who had a 50s No 1 with Stagger Lee?,Lloyd Price,Lloyd Price
Who succeeded Henry Cooper as British Heavyweight Boxing Champion?,Joe Bugner,Joe Bygraves
How many squares are on a Spear’s Games Snakes and Ladders board?,100,100
How many Jokers are in a standard pack of cards?,2,2
Which animal is depicted as the face of breakfast cereal Coco Pops?,Monkey,Coco the Monkey
What is the name of the fictional road on the council estate to which the Queen and her family have to move in the 1992 novel ‘The Queen and I’ by Sue Townsend?,Hellebore Close,Hellebore Close
Muharram is the first month in which religious calender?,Islami,Islamic
Who wrote the children’s series of ‘Mr Men’ books?,Roger Hargreaves,Roger Hargreaves
What does a pluviometer measure?,Rainfall,rainfall
How many chains are in a furlong?,10,10
A tetrachordo bouzouki has how many pairs of strings?,Four,4
What is the boiling point of water in degrees Farenheit?,212,212°F
"In the US television series ‘Spin City’, who played Randall Winston, the dim-witted Mayor of New York City?",Barry Bostwick,Barry Bostwick
How many players are on the court in a korfball team?,8,8
Captain Morgan is a brand of which type of alcoholic drink?,Spiced Rum,rum
In which year did rank outsider Foinavon unexpectedly win the Grand National?,1967,1967
"Which Southern English city has districts called Shirley, Bassett Green and Thornhill ?",Southampton,Southampton
What was the name of the lioness raised by George and Joy Adamson in the book Born Free?,Elsa,Elsa
Who played the title role in the 2004 movie Catwoman?,Halle Berry,Halle Berry
What was Bedloe's Island officially renamed to in 1956?,Bedloe's Island,Liberty Island
In which year was the Maastricht treaty signed? (It came into force a year later.),1992,1992
What was Kevin Kline's first movie?,Sophie's Choice,Sophie's Choice
Which river has Newport at its head and Cowes at its mouth?,River Medina,River Medina
How was Jean Claude Duvalier known before he ws exiled in 1986?,Jean-Claude Duvalier,"""Baby Doc"""
In the UK television quiz show ‘The Chase’ which chaser is is known as ‘The Beast’?,Mark Labbett,Mark Labbett
"In the game of English billiards, how many points does a cannon score?",2,1
Tansu Ciller was the first woman Prime Minister of which European country?,Turkey,Turkey
Which sitcom starred Leonard Rossiter in the role of a supermarket manager?,Tripper's Day,Tripper's Day
What is the name of the church in The Vicar of Dibley?,St Barnabus,St Barnabus
How many points of the compass are there?,32,32
At the mouth of which English river is Spurn Head?,Humber Estuary,Humber
For achievement in what field is the Fields Medal awarded?,Mathematic,mathematics
Which Cumbrian town’s boundaries incorporate the 11-mile-long Walney Island?,History of Barrow-in-Furness,Barrow-in-Furness
Who was Prime Minister during the Queen's Silver Jubilee celebrations?,Callaghan,Edward Heath
"Who discovered electromagnetic induction, so facilitating the transformer and dynamo?",Michael Faraday,Michael Faraday
Who starred alongside Polly James in the first series of The Liver Birds?,Pauline Collins,Polly James starred alongside Nerys Hughes in the first series of The Liver Birds.
"Winner in a poll of Classic FM's most popular piece of music in 2016, which composer also wrote A London Symphony",Ralph Vaughan Williams,Ralph Vaughan Williams
Who resides in Mansion House?,Lord Mayor of London,The Lord Mayor of London
Who was the father of Ophelia?,Polonius,Polonius
In which film does Iris Henderson search for Miss Froy on a train in fictional Bandrika?,Lady Vanishes,The Lady Vanishes (1938)
What do the French ‘Appellation d’Origine Controlee’ laws regulate?,Wines,"The French ‘Appellation d’Origine Controlee’ (AOC) laws regulate the production of wine by defining and protecting geographical indications to identify where the grapes were grown, and by setting restrictions on factors such as"
Who was Israeli Prime Minister from 1969 to 1974?,Golda Meir,Golda Meir
"Which was King Arthur’s last battle, where he either died or was fatally wounded?",Camlan,Battle of Camlann
"Also known as Annonaria; in Roman mythology, who was the personification of luck?",Fortuna,Fortuna
Who was the famous mother of politician Shirley Williams?,Vera Brittain,Vera Brittain
"Cheeser, Six-er and Laggies are all terms used in which children’s game?",Conkers,Conkers
Triskaidekaphobia is the irrational fear of which number?,13,13
In “Open All hours” which actress delivered the milk?,Barbara Flynn,Barbara Flynn
"In Christianity, ‘Holy Wednesday’ is also known as ‘what’ Wednesday?",Holy Wednesday,Spy
What is the boiling point of water on the Farenheit scale?,212 degrees,212°F
What is the boiling point of water in degrees Fahrenheit?,212,212°F
If a month has a Friday the thirteenth then on what day of the week would that month begin?,Sunday,Sunday
Who was the Egyptian president who was assassinated in 1981?,Sadat,Anwar Sadat
"Who wrote the novel Cry, the Beloved Country about South Africa?",Alan Paton,Alan Paton
Who wrote the 2004 play ‘The History Boys’?,Alan Bennet,Alan Bennett
What is the name of the mill in the novel ‘The Mill on the Floss’ by George Eliot?,Dorlcote Mill,Dorlcote Mill
Who is the only driver to have completed and won the Triple Crown in motor racing?,Graham Hill,Graham Hill
