Question,Real Answer,Pred Answer
Who wrote the 2004 play ‘The History Boys’?,Alan Bennet,Alan Bennett
What is the name of the mill in the novel ‘The Mill on the Floss’ by George Eliot?,Dorlcote Mill,Dorlcote Mill
Who is the only driver to have completed and won the Triple Crown in motor racing?,Graham Hill,Graham Hill
Princess Charlene became the wife of which European prince in 2011?,"Albert II, Prince of Monaco","Albert II, Prince of Monaco"
The peptide hormone renin is secreted by which organ of the body?,Human kidney,kidneys
Who was the Roman god of trickery and thieves?,Mercury,Mercury
Which unsuccessful model of car was named after Henry Ford’s son?,Edsel,Edsel
What was the Roman name for the city of Paris?,Lutetia,Lutetia
What is fictional Inspector Maigret’s first name?,Jules,Jules
"In cooking, what is calamares?",Squid,"Calamares refers to fried squid, commonly served in various cuisines, often with sauces such as a spicy tomato sauce and mayonnaise with garlic. It is a popular dish in Spain, where it is known as b"
Who wrote the 1939 story ‘The Secret Life of Walter Mitty’?,James Thurber,James Thurber
Who wrote the 1970 book ‘Future Shock’?,Heidi Toffler,Alvin Toffler
Bezique is a card game for how many players?,2,two
Cosmo Smallpiece was a character played by which English comedian?,Les Dawson,Les Dawson
The volcanic rock Kimberlite is best known for sometimes containing which gemstone?,Diamond,diamonds
What is the name of the only British M.P. to be a member of the Green Party?,Caroline Lucas,Caroline Lucas
On whic racecourse does the Irish Derby take place each year?,Curragh,Curragh
Which antipodean bird is the largest member of the kingfisher family?,Dacelo novaeguinea,Answer: laughing kookaburra
What is the name of the lustrous substance that forms pearl and mother-of-pearl?,Mother of pearl,nacre
How many ventricles are there in the human heart?,2,two
What are the chemicals produced by the endocrine glands to control body functions?,Hormone,hormones
"The Ambassador Bridge, which connects the US with Canada, spans which river?",Detroit River,Detroit River
How many holes are on a classic cribbage board?,121,30
James Brindley is chiefly remembered for building what?,Canal,canals
The Third Foot and Mouth Regiment featured in which Carry On film?,3rd Foot and Mouth Regiment,Carry On Regardless
