example_id,sub_q_idx,offline10_count,online_draft10_count,intersection,union,jaccard,offline10_recall_of_online10,offline10_precision_vs_online10,online10_missing_by_offline10
0,0,148,244,148,244,0.6065573770491803,0.6065573770491803,1.0,0.39344262295081966
1,0,136,229,136,229,0.5938864628820961,0.5938864628820961,1.0,0.40611353711790393
2,0,160,257,160,257,0.622568093385214,0.622568093385214,1.0,0.377431906614786
3,0,80,167,80,167,0.47904191616766467,0.47904191616766467,1.0,0.5209580838323353
3,1,149,247,149,247,0.6032388663967612,0.6032388663967612,1.0,0.3967611336032389
4,0,117,211,117,211,0.5545023696682464,0.5545023696682464,1.0,0.44549763033175355
4,1,213,344,213,344,0.6191860465116279,0.6191860465116279,1.0,0.3808139534883721
6,0,155,254,155,254,0.610236220472441,0.610236220472441,1.0,0.38976377952755903
7,0,115,225,115,225,0.5111111111111111,0.5111111111111111,1.0,0.4888888888888889
7,1,202,307,202,307,0.6579804560260586,0.6579804560260586,1.0,0.34201954397394135
9,0,130,258,130,258,0.5038759689922481,0.5038759689922481,1.0,0.49612403100775193
9,1,323,496,323,496,0.6512096774193549,0.6512096774193549,1.0,0.3487903225806452
10,0,95,199,95,199,0.47738693467336685,0.47738693467336685,1.0,0.5226130653266332
10,1,227,341,227,341,0.6656891495601173,0.6656891495601173,1.0,0.3343108504398827
11,0,92,184,92,184,0.5,0.5,1.0,0.5
11,1,195,285,195,285,0.6842105263157895,0.6842105263157895,1.0,0.3157894736842105
12,0,93,229,93,229,0.40611353711790393,0.40611353711790393,1.0,0.5938864628820961
12,1,264,403,264,403,0.6550868486352357,0.6550868486352357,1.0,0.34491315136476425
13,0,87,169,87,169,0.514792899408284,0.514792899408284,1.0,0.48520710059171596
13,1,225,358,225,358,0.6284916201117319,0.6284916201117319,1.0,0.3715083798882682
14,0,83,175,83,175,0.4742857142857143,0.4742857142857143,1.0,0.5257142857142857
14,1,184,296,184,296,0.6216216216216216,0.6216216216216216,1.0,0.3783783783783784
15,0,52,112,52,112,0.4642857142857143,0.4642857142857143,1.0,0.5357142857142857
15,1,129,217,129,217,0.5944700460829493,0.5944700460829493,1.0,0.4055299539170507
16,0,108,215,108,215,0.5023255813953489,0.5023255813953489,1.0,0.49767441860465117
16,1,218,361,218,361,0.6038781163434903,0.6038781163434903,1.0,0.3961218836565097
17,0,104,206,104,206,0.5048543689320388,0.5048543689320388,1.0,0.49514563106796117
17,1,235,365,235,365,0.6438356164383562,0.6438356164383562,1.0,0.3561643835616438
18,0,45,128,45,128,0.3515625,0.3515625,1.0,0.6484375
18,1,156,242,156,242,0.6446280991735537,0.6446280991735537,1.0,0.35537190082644626
19,0,130,207,130,207,0.6280193236714976,0.6280193236714976,1.0,0.3719806763285024
19,1,132,242,132,242,0.5454545454545454,0.5454545454545454,1.0,0.45454545454545453
20,0,104,209,104,209,0.49760765550239233,0.49760765550239233,1.0,0.5023923444976076
20,1,282,440,282,440,0.6409090909090909,0.6409090909090909,1.0,0.35909090909090907
21,0,94,212,94,212,0.44339622641509435,0.44339622641509435,1.0,0.5566037735849056
21,1,230,360,230,360,0.6388888888888888,0.6388888888888888,1.0,0.3611111111111111
24,0,78,185,78,185,0.42162162162162165,0.42162162162162165,1.0,0.5783783783783784
24,1,237,365,237,365,0.6493150684931507,0.6493150684931507,1.0,0.3506849315068493
100,0,98,194,98,194,0.5051546391752577,0.5051546391752577,1.0,0.4948453608247423
100,1,195,289,195,289,0.6747404844290658,0.6747404844290658,1.0,0.32525951557093424
101,0,48,119,48,119,0.40336134453781514,0.40336134453781514,1.0,0.5966386554621849
101,1,173,290,173,290,0.596551724137931,0.596551724137931,1.0,0.40344827586206894
102,0,88,178,88,178,0.4943820224719101,0.4943820224719101,1.0,0.5056179775280899
102,1,222,330,222,330,0.6727272727272727,0.6727272727272727,1.0,0.32727272727272727
103,0,46,152,46,152,0.3026315789473684,0.3026315789473684,1.0,0.6973684210526315
103,1,212,297,212,297,0.7138047138047138,0.7138047138047138,1.0,0.28619528619528617
104,0,218,367,218,367,0.5940054495912807,0.5940054495912807,1.0,0.40599455040871935
105,0,176,331,176,331,0.5317220543806647,0.5317220543806647,1.0,0.46827794561933533
105,1,326,518,326,518,0.6293436293436293,0.6293436293436293,1.0,0.37065637065637064
109,0,191,321,191,321,0.5950155763239875,0.5950155763239875,1.0,0.40498442367601245
112,0,66,137,66,137,0.48175182481751827,0.48175182481751827,1.0,0.5182481751824818
112,1,170,255,170,255,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333
113,0,98,197,98,197,0.49746192893401014,0.49746192893401014,1.0,0.5025380710659898
113,1,212,304,212,304,0.6973684210526315,0.6973684210526315,1.0,0.3026315789473684
114,0,93,207,93,207,0.4492753623188406,0.4492753623188406,1.0,0.5507246376811594
114,1,231,326,231,326,0.7085889570552147,0.7085889570552147,1.0,0.29141104294478526
117,0,92,187,92,187,0.4919786096256685,0.4919786096256685,1.0,0.5080213903743316
117,1,193,272,193,272,0.7095588235294118,0.7095588235294118,1.0,0.29044117647058826
118,0,151,246,151,246,0.6138211382113821,0.6138211382113821,1.0,0.3861788617886179
119,0,91,198,91,198,0.4595959595959596,0.4595959595959596,1.0,0.5404040404040404
119,1,209,295,209,295,0.7084745762711865,0.7084745762711865,1.0,0.29152542372881357
120,0,198,338,198,338,0.5857988165680473,0.5857988165680473,1.0,0.41420118343195267
121,0,91,208,91,208,0.4375,0.4375,1.0,0.5625
121,1,251,378,251,378,0.6640211640211641,0.6640211640211641,1.0,0.335978835978836
123,0,137,260,137,260,0.5269230769230769,0.5269230769230769,1.0,0.47307692307692306
123,1,167,272,167,272,0.6139705882352942,0.6139705882352942,1.0,0.3860294117647059
123,2,238,344,238,344,0.6918604651162791,0.6918604651162791,1.0,0.3081395348837209
123,3,326,443,326,443,0.7358916478555305,0.7358916478555305,1.0,0.26410835214446954
125,0,200,338,200,338,0.591715976331361,0.591715976331361,1.0,0.40828402366863903
126,0,77,172,77,172,0.4476744186046512,0.4476744186046512,1.0,0.5523255813953488
126,1,194,299,194,299,0.6488294314381271,0.6488294314381271,1.0,0.3511705685618729
127,0,120,196,120,196,0.6122448979591837,0.6122448979591837,1.0,0.3877551020408163
128,0,181,294,181,294,0.6156462585034014,0.6156462585034014,1.0,0.3843537414965986
129,0,209,333,209,333,0.6276276276276276,0.6276276276276276,1.0,0.37237237237237236
130,0,63,138,63,138,0.45652173913043476,0.45652173913043476,1.0,0.5434782608695652
130,1,199,301,199,301,0.6611295681063123,0.6611295681063123,1.0,0.3388704318936877
131,0,78,154,78,154,0.5064935064935064,0.5064935064935064,1.0,0.4935064935064935
131,1,185,274,185,274,0.6751824817518248,0.6751824817518248,1.0,0.3248175182481752
133,0,113,202,113,202,0.5594059405940595,0.5594059405940595,1.0,0.4405940594059406
133,1,187,283,187,283,0.6607773851590106,0.6607773851590106,1.0,0.3392226148409894
135,0,88,175,88,175,0.5028571428571429,0.5028571428571429,1.0,0.49714285714285716
135,1,223,317,223,317,0.7034700315457413,0.7034700315457413,1.0,0.29652996845425866
136,0,65,133,65,133,0.48872180451127817,0.48872180451127817,1.0,0.5112781954887218
136,1,168,271,168,271,0.6199261992619927,0.6199261992619927,1.0,0.3800738007380074
138,0,104,207,104,207,0.5024154589371981,0.5024154589371981,1.0,0.4975845410628019
138,1,295,420,295,420,0.7023809523809523,0.7023809523809523,1.0,0.2976190476190476
141,0,87,166,87,166,0.5240963855421686,0.5240963855421686,1.0,0.4759036144578313
141,1,214,315,214,315,0.6793650793650794,0.6793650793650794,1.0,0.32063492063492066
142,0,123,243,123,243,0.5061728395061729,0.5061728395061729,1.0,0.49382716049382713
142,1,238,396,238,396,0.601010101010101,0.601010101010101,1.0,0.398989898989899
143,0,87,177,87,177,0.4915254237288136,0.4915254237288136,1.0,0.5084745762711864
143,1,161,246,161,246,0.6544715447154471,0.6544715447154471,1.0,0.34552845528455284
144,0,69,151,69,151,0.45695364238410596,0.45695364238410596,1.0,0.543046357615894
