dataset,method,rate,rows,expected_rows,complete,glm_correct,glm_acc
2wikimqa-v2,full_rate1,1.0,200,200,True,123,0.615
2wikimqa-v2,online_draft,0.15,200,200,True,120,0.6
2wikimqa-v2,online_qk,0.15,200,200,True,106,0.53
2wikimqa-v2,uniform_alpha0p1_draft,0.15,200,200,True,116,0.58
hotpotqa-v2,full_rate1,1.0,260,260,True,237,0.9115384615384615
hotpotqa-v2,online_draft,0.15,260,260,True,231,0.8884615384615384
hotpotqa-v2,online_qk,0.15,260,260,True,223,0.8576923076923076
hotpotqa-v2,uniform_alpha0p1_draft,0.15,260,260,True,232,0.8923076923076924
musique-v2,full_rate1,1.0,200,200,True,83,0.415
musique-v2,online_draft,0.15,200,200,True,82,0.41
musique-v2,online_qk,0.15,200,200,True,75,0.375
musique-v2,uniform_alpha0p1_draft,0.15,200,200,True,83,0.415
triviaqa-v2,full_rate1,1.0,270,270,True,243,0.9
triviaqa-v2,online_draft,0.15,270,270,True,243,0.9
triviaqa-v2,online_qk,0.15,270,270,True,236,0.8740740740740741
triviaqa-v2,uniform_alpha0p1_draft,0.15,270,270,True,242,0.8962962962962963
