example_id,query_idx,label,query,smart_selected_count
0,0,control_other_example_1,Where is the headquarters of Julia's House located?,175
0,1,control_other_example_2,Where is Coffee Swamp located?,175
0,2,control_other_example_3,Who is the child of Peter Andreas Heiberg?,175
0,3,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,175
0,4,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",175
0,5,control_other_example_4,When was King Henry III of England crowned?,175
0,6,control_other_example_6,Which university employed Ernst Mach?,175
0,7,control_other_example_7,Who is the physicist that the Mach number is named after?,175
1,0,control_other_example_2,Where is Coffee Swamp located?,180
1,1,control_other_example_3,Who is the child of Peter Andreas Heiberg?,180
1,2,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,180
1,3,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",180
1,4,control_other_example_4,When was King Henry III of England crowned?,180
1,5,control_other_example_6,Which university employed Ernst Mach?,180
1,6,control_other_example_7,Who is the physicist that the Mach number is named after?,180
1,7,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,180
2,0,control_other_example_3,Who is the child of Peter Andreas Heiberg?,206
2,1,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,206
2,2,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",206
2,3,control_other_example_4,When was King Henry III of England crowned?,206
2,4,control_other_example_6,Which university employed Ernst Mach?,206
2,5,control_other_example_7,Who is the physicist that the Mach number is named after?,206
2,6,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,206
2,7,control_other_example_9,Which English king trusted William de Longchamp?,206
3,0,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",186
3,1,control_other_example_4,When was King Henry III of England crowned?,186
3,2,control_other_example_6,Which university employed Ernst Mach?,186
3,3,control_other_example_7,Who is the physicist that the Mach number is named after?,186
3,4,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,186
3,5,control_other_example_9,Which English king trusted William de Longchamp?,186
3,6,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,186
3,7,control_other_example_10,Who is the author of The Unwinding?,186
4,0,control_other_example_6,Which university employed Ernst Mach?,390
4,1,control_other_example_7,Who is the physicist that the Mach number is named after?,390
4,2,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,390
4,3,control_other_example_9,Which English king trusted William de Longchamp?,390
4,4,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,390
4,5,control_other_example_10,Who is the author of The Unwinding?,390
4,6,control_other_example_10,Which organization did George Packer volunteer for?,390
4,7,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,390
6,0,control_other_example_7,Who is the physicist that the Mach number is named after?,210
6,1,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,210
6,2,control_other_example_9,Which English king trusted William de Longchamp?,210
6,3,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,210
6,4,control_other_example_10,Who is the author of The Unwinding?,210
6,5,control_other_example_10,Which organization did George Packer volunteer for?,210
6,6,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,210
6,7,control_other_example_11,Who is the lead singer of the band Art Brut?,210
7,0,control_other_example_9,Which English king trusted William de Longchamp?,321
7,1,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,321
7,2,control_other_example_10,Who is the author of The Unwinding?,321
7,3,control_other_example_10,Which organization did George Packer volunteer for?,321
7,4,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,321
7,5,control_other_example_11,Who is the lead singer of the band Art Brut?,321
7,6,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,321
7,7,control_other_example_12,Which company did Compaq merge with in 2002?,321
9,0,control_other_example_10,Who is the author of The Unwinding?,466
9,1,control_other_example_10,Which organization did George Packer volunteer for?,466
9,2,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,466
9,3,control_other_example_11,Who is the lead singer of the band Art Brut?,466
9,4,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,466
9,5,control_other_example_12,Which company did Compaq merge with in 2002?,466
9,6,control_other_example_13,Who is Katherine of England?,466
9,7,control_other_example_13,What year was King Henry III of England crowned?,466
10,0,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,352
10,1,control_other_example_11,Who is the lead singer of the band Art Brut?,352
10,2,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,352
10,3,control_other_example_12,Which company did Compaq merge with in 2002?,352
10,4,control_other_example_13,Who is Katherine of England?,352
10,5,control_other_example_13,What year was King Henry III of England crowned?,352
10,6,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,352
10,7,control_other_example_14,Who is the sibling of actress Natalie Wood?,352
11,0,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,349
11,1,control_other_example_12,Which company did Compaq merge with in 2002?,349
11,2,control_other_example_13,Who is Katherine of England?,349
11,3,control_other_example_13,What year was King Henry III of England crowned?,349
11,4,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,349
11,5,control_other_example_14,Who is the sibling of actress Natalie Wood?,349
11,6,control_other_example_15,In which county is Pine Springs located?,349
11,7,control_other_example_15,"What is the county seat of Culberson County, Texas?",349
12,0,control_other_example_13,Who is Katherine of England?,369
12,1,control_other_example_13,What year was King Henry III of England crowned?,369
12,2,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,369
12,3,control_other_example_14,Who is the sibling of actress Natalie Wood?,369
12,4,control_other_example_15,In which county is Pine Springs located?,369
12,5,control_other_example_15,"What is the county seat of Culberson County, Texas?",369
12,6,control_other_example_16,Who was the top PC manufacturer in 1994?,369
12,7,control_other_example_16,What company did Compaq merge with in 2002?,369
13,0,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,365
13,1,control_other_example_14,Who is the sibling of actress Natalie Wood?,365
13,2,control_other_example_15,In which county is Pine Springs located?,365
13,3,control_other_example_15,"What is the county seat of Culberson County, Texas?",365
13,4,control_other_example_16,Who was the top PC manufacturer in 1994?,365
13,5,control_other_example_16,What company did Compaq merge with in 2002?,365
