Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
What place does the administrative territorial entity that Juba is located in share a border with?,What is the administrative territorial entity that contains Juba?,Central Equatoria,"<think>

</think>

Answer: Central Equatoria",True,0,0.0,预测答案“Central Equatoria”与标准答案完全一致，准确地给出了包含朱巴的行政领土实体，符合所有判断标准，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
What place does the administrative territorial entity that Juba is located in share a border with?,What places share a border with Central Equatoria?,Eastern Equatoria shares a border with Central Equatoria.,Answer: Terekeka and Lafon,False,0,0.0,预测答案给出的地点是“Terekeka and Lafon”，而标准答案明确指出与Central Equatoria接壤的是“Eastern Equatoria”。预测答案未能包含标准答案的关键信息，两者在语义上完全不一致，因此回答错误。,N/A,N/A,N/A,N/A,N/A
Who played the monarch at the end of WW2 in The King's Speech?,Who played King George VI in The King's Speech?,Colin Firth,Colin Firth,True,1.0,1.0,预测答案“Colin Firth”与标准答案完全一致，准确给出了在电影《国王的演讲》中饰演乔治六世的演员名字，包含了标准答案的所有关键信息，语义完全等价。,N/A,N/A,N/A,N/A,N/A
Who is the spouse of a cast member from King of the Mountain?,Who are the cast members of King of the Mountain?,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,"<think>

</think>

The cast members of *King of the Mountain* include Harry Hamlin as Steve, Deborah Van Valkenburgh as Tina, and John Savage as Clark Davis.",True,0,0.0,预测答案不仅包含了标准答案中的关键信息（Harry Hamlin饰演Steve，Deborah Van Valkenburgh饰演Tina），还额外补充了其他演员信息。其核心语义与标准答案完全一致，准确回答了关于电影《King of the Mountain》演员阵容的问题。,N/A,N/A,N/A,N/A,N/A
Who is the spouse of a cast member from King of the Mountain?,Who is Harry Hamlin's spouse?,Lisa Rinna,"<think>

</think>

Lisa Rinna",True,0,0.0,预测答案“Lisa Rinna”与标准答案完全一致，准确地给出了Harry Hamlin配偶的名字，包含了标准答案的所有关键信息，语义完全等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Who played king whose regal Name did Albert Adopt in the king's speech?,What was the regnal name adopted by King George VI?,Albert assumed the regnal name 'George VI'.,"<think>

</think>

Answer: George VI",True,0,0.0,预测答案“George VI”直接且准确地给出了问题所询问的国王采用的尊号。尽管预测答案没有像标准答案那样包含主语“Albert”和“assumed the regnal name”等上下文词汇，但它完整包含了核心信息，语义上与标准答案完全等价，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who played king whose regal Name did Albert Adopt in the king's speech?,Who played King George VI in the film 'The King's Speech'?,Colin Firth,"</think>

Colin Firth",True,0,0.0,预测答案“Colin Firth”与标准答案完全一致，准确地给出了在电影《国王的演讲》中饰演乔治六世的演员名字，包含了标准答案的全部关键信息，语义完全等价。,N/A,N/A,N/A,N/A,N/A
What administrative territorial entity contains the place where KPRM is licensed to broadcast to?,Where is KPRM licensed to broadcast?,"Park Rapids, Minnesota","Answer: Park Rapids, Minnesota",True,0.888888888888889,0.0,"预测答案包含了标准答案中的核心地点信息“Park Rapids, Minnesota”，尽管前面多出了“Answer: ”这样的前缀，但这属于无关紧要的格式差异。两者在语义上完全等价，准确地回答了KPRM的广播授权地点问题。",N/A,N/A,N/A,N/A,N/A
What year did the author of Prince Prigio die?,Who is the author of Prince Prigio?,The author of Prince Prigio is Andrew Lang.,"<think>

</think>

Answer: Andrew Lang",True,0,0.0,预测答案“Andrew Lang”直接且准确地给出了《Prince Prigio》一书的作者名字，与标准答案所要求的关键信息完全一致，正确地回答了提出的问题。,N/A,N/A,N/A,N/A,N/A
What year did the author of Prince Prigio die?,What year did Andrew Lang die?,Andrew Lang died in 1912.,"1912






Answer: 1912",True,0.5,0.0,预测答案“1912”直接给出了安德鲁·朗格去世的年份，包含了标准答案中的核心关键信息。虽然预测答案省略了主语和谓语等修饰性词汇，但在语义上与标准答案完全等价，准确无误地回答了问题。,N/A,N/A,N/A,N/A,N/A
In which county is Mark Dismore's birthplace located?,Where was Mark Dismore born?,"Greenfield, Indiana","</think>

Greenfield, Indiana",True,0,0.0,"预测答案明确给出了“Greenfield, Indiana”，这与标准答案完全一致。该答案准确包含了问题所询问的Mark Dismore出生地的关键信息，语义上完全等价，因此判定为正确回答了问题。",N/A,N/A,N/A,N/A,N/A
In which county is Mark Dismore's birthplace located?,"Which county is Greenfield, Indiana located in?","Greenfield, Indiana is located in Hancock County.","<think>

</think>

Answer: Hancock County",True,0,0.0,预测答案“Hancock County”直接且准确地提供了问题所询问的县名，与标准答案的核心信息完全一致，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,"<think>

</think>

Piero di Cosimo de' Medici and Lucrezia Tornabuoni.",True,0,0.0,预测答案准确地给出了Nannina de' Medici的父母名字，即Piero di Cosimo de' Medici和Lucrezia Tornabuoni。这与标准答案所包含的关键信息完全一致，在语义上等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
Who was the sibling of Nannina de' Medici?,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",Nannina de' Medici's siblings were Lorenzo de' Medici and Giuliano de' Medici.,Answer: Lorenzo de' Medici and Giuliano de' Medici.,True,0.787878787878788,0.0,预测答案明确列出了洛伦佐·德·美第奇和朱利亚诺·德·美第奇，这与标准答案给出的兄弟姐妹名字完全一致。虽然预测答案省略了主语等背景性文字，但核心信息完整且语义与标准答案完全等价，因此回答正确。,N/A,N/A,N/A,N/A,N/A
What county is the NRHEG High School located in?,Where is NRHEG High School located?,"NRHEG High School is located in New Richland, Minnesota.","<think>

</think>

NRHEG High School is located in New Richland, Minnesota.",True,0,0.0,预测答案与标准答案完全一致，准确地指出了NRHEG High School位于明尼苏达州的New Richland，完整且正确地回答了问题所询问的地理位置信息。,N/A,N/A,N/A,N/A,N/A
What county is the NRHEG High School located in?,"Which county is New Richland, Minnesota located in?","New Richland is located in Waseca County, Minnesota.","<think>

</think>

Waseca County",True,0,0.0,预测答案“Waseca County”准确提取并包含了标准答案中的核心地理信息，即明确指出了 New Richland 所在的县是 Waseca County，与标准答案语义完全一致，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who founded the political party of Dimuthu Bandara Abayakoon?,What is the name of the political party of Dimuthu Bandara Abayakoon?,Janatha Vimukthi Peramuna,"<think>

</think>

Janatha Vimukthi Peramuna",False,0,0.0,预测答案部分为空白，没有提供任何关于Dimuthu Bandara Abayakoon所属政党的信息，因此未能回答问题，与标准答案“Janatha Vimukthi Peramuna”不符。,N/A,N/A,N/A,N/A,N/A
Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,"<think>

</think>

Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna political party.",True,0,0.0,预测答案明确指出了Janatha Vimukthi Peramuna是由Rohana Wijeweera（全名为Patabendi Don Jinadasa Nandasiri Wijeweera）创立的，包含了标准答案的核心信息，语义完全一致，只是提供了人物的全名，属于正确的回答。,N/A,N/A,N/A,N/A,N/A
When did military instruction start at the place where Larry Alcala was educated?,Where did Larry Alcala study?,"Larry Alcala estudió en la Universidad de Filipinas, donde obtuvo un título de Licenciado en Bellas Artes en Pintura.","<think>

</think>

The provided documents do not specify where Larry Alcala studied.",False,0,0.0,预测答案表示文档中没有说明Larry Alcala在哪里学习，未能提供任何关于其就读学校的信息。而标准答案明确指出他曾在菲律宾大学学习并获得美术学士学位。因此，预测答案没有包含标准答案的关键信息，未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
When did military instruction start at the place where Larry Alcala was educated?,When did military instruction begin at the University of the Philippines?,Military instruction began at the University of the Philippines in 1912.,"1912
</think>

1912",True,0.375,0.0,预测答案“1912”准确提供了标准答案中的核心事实信息，即军事训练开始的年份。虽然它省略了主语和谓语等上下文修饰词，但在问答场景中已足以正确回答“何时”的问题，语义与标准答案完全一致。,N/A,N/A,N/A,N/A,N/A
