Question,Real Answer,Pred Answer
"Jeff Rona's credits include a 2016 Indian epic historical drama film that was written and directed by Jayaraj, and was adapted from What William Shakespeare play?",Macbeth,Macbeth
Autolux and Polvo are both types of what?,rock band,music bands
"Who was the American author best known for the novel ""Mutiny on the Bounty"", James Norman Hall or Harold Lamb?",James Norman Hall,James Norman Hall
Which band was formed first Walt Mink or Sunrise Avenue?,Walt Mink,Walt Mink
"Which one was an American poet, Frank O'Connor or Edwin Arlington Robinson?",Edwin Arlington Robinson,Edwin Arlington Robinson
What country does Games and Official Xbox Magazine have in common?,United States,United States
"Which actor is known for being in westerns, Anthony Mann or Luis Valdez?",Anthony Mann,Anthony Mann
"What actor, who starred in The Flight of the Phoenix, also starred in Cool Hand Luke?",George Kennedy,George Kennedy
Did both Wickard v. Filburn and Strickland v. Washington reach the Supreme Court of the United States?,yes,yes
"Which soda, Shasta or Tizer, was sold in the United Kingdom?",Tizer,Tizer
"What prize was won for a book by a British author and illustrator from Dartmoor, focusing on futuristic steampunk London?",Nestlé Smarties Book Prize,Nestlé Smarties Book Prize
The 1987–88 Georgetown Hoyas play their game in the community that is in what Maryland county?,Prince George's County,Prince George's County
What republic was started because of a dispute in the area The Green Mountain Boys were a militia?,Vermont Republic,Vermont Republic
What day was the book published that was illustarted alongside Dorothy and the Wizard in Oz?,"July 20, 1910","June 18, 1908"
The TT-30 pistol was developed in the early 1930's as a replacement to a revolver designed by who?,Léon Nagant,Léon Nagant
Hae Min Lee's body was found in a park that covers how many acres ?,1216 acre,"1,200"
Charlie Kaufman wrote which acclaimed fantasy film in 1999 journeying into an actor's mind?,Being John Malkovich,Being John Malkovich
Daniel Shaw is played by an actor who grew up in what state?,Iowa,Iowa
"What is the name of the eighth gate to the city of Babylon, currently housed at Pergamon Museum?",Ishtar Gate,Ishtar Gate
Gentleman's Intermission included a cameo appearance by the photojournalist who has specialized in reportage on what two topics?,human suffering in war zones and natural disasters,war zones and natural disasters
what does Echosmith and Guster have in common?,band,They are both American indie/alternative rock bands.
"Of the four public Elizabethan theatres built, including The Rose, which one was built in Shoreditch?",The Theatre,The Theatre
"Maggie Grace, an American actress, appeared in  ""Taken 2"", a 2012 American action thriller film directed by who?",Olivier Megaton,Olivier Megaton
"which landmark built on the site of a former city gate that marked the start of the road from Berlin to the town of Brandenburg an der Havel, is Frederick William II of Prussia responsible for?",Brandenburg Gate,Brandenburg Gate
Watch Mr. Wizard was created by the host of programs dedicated to what educational fields?,science and technology,science and technology
