task_id	dataset	method	rate	start	end
0	musique-v2	full_rate1	1.0	0	25
1	musique-v2	online_qk	0	0	25
2	musique-v2	online_draft	0	0	25
3	musique-v2	online_qk	0.15	0	25
4	musique-v2	online_draft	0.15	0	25
5	musique-v2	online_qk	0.3	0	25
6	musique-v2	online_draft	0.3	0	25
7	musique-v2	online_qk	0.5	0	25
8	musique-v2	online_draft	0.5	0	25
9	musique-v2	online_qk	0.8	0	25
10	musique-v2	online_draft	0.8	0	25
11	musique-v2	online_qk	1.0	0	25
12	musique-v2	online_draft	1.0	0	25
13	musique-v2	uniform_alpha0p1_draft	0.15	0	25
14	musique-v2	uniform_alpha0p1_draft	0.3	0	25
15	musique-v2	uniform_alpha0p1_draft	0.5	0	25
16	musique-v2	uniform_alpha0p1_draft	0.8	0	25
17	musique-v2	uniform_alpha0p1_draft	1.0	0	25
18	musique-v2	full_rate1	1.0	25	50
19	musique-v2	online_qk	0	25	50
20	musique-v2	online_draft	0	25	50
21	musique-v2	online_qk	0.15	25	50
22	musique-v2	online_draft	0.15	25	50
23	musique-v2	online_qk	0.3	25	50
24	musique-v2	online_draft	0.3	25	50
25	musique-v2	online_qk	0.5	25	50
26	musique-v2	online_draft	0.5	25	50
27	musique-v2	online_qk	0.8	25	50
28	musique-v2	online_draft	0.8	25	50
29	musique-v2	online_qk	1.0	25	50
30	musique-v2	online_draft	1.0	25	50
31	musique-v2	uniform_alpha0p1_draft	0.15	25	50
32	musique-v2	uniform_alpha0p1_draft	0.3	25	50
33	musique-v2	uniform_alpha0p1_draft	0.5	25	50
34	musique-v2	uniform_alpha0p1_draft	0.8	25	50
35	musique-v2	uniform_alpha0p1_draft	1.0	25	50
36	musique-v2	full_rate1	1.0	50	75
37	musique-v2	online_qk	0	50	75
38	musique-v2	online_draft	0	50	75
39	musique-v2	online_qk	0.15	50	75
40	musique-v2	online_draft	0.15	50	75
41	musique-v2	online_qk	0.3	50	75
42	musique-v2	online_draft	0.3	50	75
43	musique-v2	online_qk	0.5	50	75
44	musique-v2	online_draft	0.5	50	75
45	musique-v2	online_qk	0.8	50	75
46	musique-v2	online_draft	0.8	50	75
47	musique-v2	online_qk	1.0	50	75
48	musique-v2	online_draft	1.0	50	75
49	musique-v2	uniform_alpha0p1_draft	0.15	50	75
50	musique-v2	uniform_alpha0p1_draft	0.3	50	75
51	musique-v2	uniform_alpha0p1_draft	0.5	50	75
52	musique-v2	uniform_alpha0p1_draft	0.8	50	75
53	musique-v2	uniform_alpha0p1_draft	1.0	50	75
