Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
Who played king whose regal Name did Albert Adopt in the king's speech?,What was the regnal name adopted by King George VI?,Albert assumed the regnal name 'George VI'.,George VI,True,0.4,0.0,预测答案“George VI”直接给出了问题所询问的国王采用的尊号，包含了标准答案中的核心关键信息。虽然它省略了国王的原名“Albert”及部分背景描述，但在回答“采用了什么尊号”这一核心语义上与标准答案完全一致，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Who played king whose regal Name did Albert Adopt in the king's speech?,Who played King George VI in the film 'The King's Speech'?,Colin Firth,"The King's Speech does not explicitly state who played King George VI in the film. However, based on the context provided in the given documents, it can be inferred that Colin Firth played King George VI in the film, as he is mentioned as the actor who portrayed the character.",True,0.12,0.0,预测答案虽然开头有一些无关的冗余表述，但最终明确指出了Colin Firth扮演了电影中的King George VI。这与标准答案的核心信息完全一致，在语义上等价，因此判定为正确回答了问题。,N/A,N/A,N/A,N/A,N/A
What administrative territorial entity contains the place where KPRM is licensed to broadcast to?,Where is KPRM licensed to broadcast?,"Park Rapids, Minnesota","Park Rapids, Minnesota.",True,1.0,1.0,"预测答案“Park Rapids, Minnesota.”与标准答案“Park Rapids, Minnesota”在语义上完全等价，包含了所有关键信息。唯一的区别是预测答案末尾多了一个句号，这属于标点符号上的细微差异，不影响整体意思的表达，因此判断为正确。",N/A,N/A,N/A,N/A,N/A
What year did the author of Prince Prigio die?,Who is the author of Prince Prigio?,The author of Prince Prigio is Andrew Lang.,The author of *Prince Prigio* is not explicitly mentioned in the provided documents.,False,0.5714285714285715,0.0,预测答案未能包含标准答案中的关键信息“Andrew Lang”，且明确表示未提及作者，与标准答案在语义上完全不一致，因此未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
What year did the author of Prince Prigio die?,What year did Andrew Lang die?,Andrew Lang died in 1912.,1912,True,0.5,0.0,预测答案“1912”直接且准确地提供了安德鲁·朗格去世的年份，包含了标准答案中的核心关键信息。虽然预测答案省略了完整的主语和谓语，但在语义上与标准答案完全等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
In which county is Mark Dismore's birthplace located?,Where was Mark Dismore born?,"Greenfield, Indiana","1956 in Greenfield, Indiana",True,0.5454545454545454,0.0,"预测答案中明确包含了标准答案的关键信息“Greenfield, Indiana”。虽然预测答案多出了出生年份“1956”，但这并不影响对问题“出生地”的正确回答，两者在核心语义上完全一致。",N/A,N/A,N/A,N/A,N/A
In which county is Mark Dismore's birthplace located?,"Which county is Greenfield, Indiana located in?","Greenfield, Indiana is located in Hancock County.",Hancock County,True,0.1818181818181818,0.0,预测答案“Hancock County”直接且准确地给出了问题所询问的县名，包含了标准答案的核心关键信息。虽然它没有像标准答案那样包含完整的主谓宾结构，但在语义上与标准答案完全等价，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,Nannina de' Medici's parents were Piero de' Medici and Lucrezia Tornabuoni.,True,0.9302325581395349,0.0,预测答案包含了标准答案的关键信息，指出了Nannina de' Medici的父母分别是Piero de' Medici和Lucrezia Tornabuoni。虽然预测答案中省略了标准答案里“Piero”后面的中间名“di Cosimo”，但这属于措辞上的细微差异，不影响核心语义的表达，两者在语义上是完全等价的。,N/A,N/A,N/A,N/A,N/A
Who was the sibling of Nannina de' Medici?,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",Nannina de' Medici's siblings were Lorenzo de' Medici and Giuliano de' Medici.,"1. Lorenzo de' Medici (brother)  
2. Giuliano de' Medici (brother)  
3. Bianca de' Medici (sister)  
4. Giovanna de' Medici (sister)  
5. Alessandro de' Medici (brother)",False,0.4444444444444444,0.0,预测答案虽然包含了标准答案中的关键信息（Lorenzo de' Medici和Giuliano de' Medici），但额外包含了Bianca、Giovanna和Alessandro等不符合标准答案的冗余信息。根据判断标准，预测答案与标准答案在语义上并不等价，因此判定为错误。,N/A,N/A,N/A,N/A,N/A
What county is the NRHEG High School located in?,Where is NRHEG High School located?,"NRHEG High School is located in New Richland, Minnesota.","New Richland, Minnesota.",True,0.5,0.0,"预测答案“New Richland, Minnesota.”直接且准确地给出了NRHEG High School的所在地，包含了标准答案中的所有关键信息，且在语义上与标准答案完全等价，只是省略了部分主语和谓语等冗余措辞，不影响核心意思的表达。",N/A,N/A,N/A,N/A,N/A
What county is the NRHEG High School located in?,"Which county is New Richland, Minnesota located in?","New Richland is located in Waseca County, Minnesota.",Waseca County,True,0.42857142857142855,0.0,预测答案“Waseca County”直接且准确地给出了问题所询问的县名，包含了标准答案的核心关键信息。虽然其表述比标准答案更为简略，但在语义上与标准答案完全等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A
Who founded the political party of Dimuthu Bandara Abayakoon?,What is the name of the political party of Dimuthu Bandara Abayakoon?,Janatha Vimukthi Peramuna,The question does not provide information about the political party of Dimuthu Bandara Abayakoon.,False,0,0.0,预测答案表示没有提供关于Dimuthu Bandara Abayakoon所属政党的信息，未能包含标准答案中的“Janatha Vimukthi Peramuna”这一关键信息，两者在语义上完全不一致，因此预测答案未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,Patabendi Don Jinadasa Nandasiri Wijeweera,True,0.20689655172413793,0.0,预测答案中的“Patabendi Don Jinadasa Nandasiri Wijeweera”是标准答案中“Rohana Wijeweera”的全名。两者在语义上完全等价，指向的是同一个人，即该政党的创始人，因此预测答案正确回答了问题。,N/A,N/A,N/A,N/A,N/A
When did military instruction start at the place where Larry Alcala was educated?,Where did Larry Alcala study?,"Larry Alcala estudió en la Universidad de Filipinas, donde obtuvo un título de Licenciado en Bellas Artes en Pintura.",University of the Philippines,True,0,0.0,预测答案“University of the Philippines”与标准答案中的“Universidad de Filipinas”在语义上完全等价，仅仅是英语和西班牙语的表达差异。它准确包含了问题所问的关键信息，正确回答了Larry Alcala学习的地点。,N/A,N/A,N/A,N/A,N/A
When did military instruction start at the place where Larry Alcala was educated?,When did military instruction begin at the University of the Philippines?,Military instruction began at the University of the Philippines in 1912.,1912,True,0.375,0.0,预测答案“1912”直接提供了问题所询问的时间，包含了标准答案中最核心的关键信息。虽然省略了主语和谓语等上下文修饰词，但在语义上与标准答案完全等价，准确回答了军事教学在菲律宾大学开始的时间。,N/A,N/A,N/A,N/A,N/A
What county shares a border with Cedar Springs?,Where is Cedar Springs located?,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.","Cedar Springs is located in Guadalupe County, Texas, United States.",False,0.46153846153846156,0.0,预测答案指出Cedar Springs位于Guadalupe County，而标准答案明确指出其位于west Falls County。两者在地理位置上存在直接冲突，预测答案未包含标准答案的关键信息，因此回答错误。,N/A,N/A,N/A,N/A,N/A
What county shares a border with Cedar Springs?,"Which counties share a border with Falls County, Texas?",Bell County shares a border with Falls County.,"1. Bell County  
2. Coryell County  
3. Hill County  
4. Johnson County  
5. McLennan County  
6. Milam County  
7. Navarro County",True,0.25,0.0,预测答案不仅包含了标准答案中的关键信息“Bell County”，还额外列出了其他与Falls County接壤的县。虽然预测答案提供的信息比标准答案更全面，但它已经完全满足并覆盖了标准答案的核心语义要求，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Bancroft's county borders what county?,Where is Bancroft located?,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada.",True,1.0,1.0,"预测答案与标准答案完全一致，准确地包含了“Ontario, Canada”这一关键地理位置信息，在语义上完全等价，因此正确地回答了问题。",N/A,N/A,N/A,N/A,N/A
Bancroft's county borders what county?,"Which county is Bancroft, Ontario located in?","Bancroft, Ontario is located in Hastings County.","Bancroft, Ontario is located in Hastings County.",True,1.0,1.0,"预测答案与标准答案的文本完全一致，都明确指出了Bancroft, Ontario位于Hastings County。预测答案准确包含了标准答案的核心信息，语义完全等价，因此正确回答了问题。",N/A,N/A,N/A,N/A,N/A
Bancroft's county borders what county?,Which counties border Hastings County in Ontario?,Renfrew County and Haliburton County border Hastings County in Ontario.,"The counties that border Hastings County in Ontario are Northumberland County to the north, Prince Edward County to the east, Lennox and Addington County to the west, and Kawartha Lakes to the northwest.",False,0.3846153846153846,0.0,预测答案未能包含标准答案中的关键信息（Renfrew County 和 Haliburton County），且给出的相邻县（如 Northumberland County 等）与标准答案完全不同，两者在语义上不等价。,N/A,N/A,N/A,N/A,N/A
Who is the father of Empress Wang's husband?,Who is Empress Wang's husband?,"Empress Wang's husband was Yang Pu (Emperor Rui), the final ruler of the Chinese state Wu during the Five Dynasties and Ten Kingdoms period.",Emperor Xiaowu,False,0.06451612903225806,0.0,预测答案给出的“Emperor Xiaowu”与标准答案中的“Yang Pu (Emperor Rui)”完全不符。预测答案未能包含标准答案的关键信息，且二者在语义上并不等价，因此回答错误。,N/A,N/A,N/A,N/A,N/A
Who is the father of Empress Wang's husband?,Who was the father of Yang Pu (Emperor Rui of Wu)?,"Yang Pu's father was Yang Xingmi, a late-Tang Dynasty warlord and military governor of Huainan Circuit.","1. The question asks for the father of Yang Pu (Emperor Rui of Wu).  
2. From the document titled ""Empress Wang (Rui),"" it is stated that Empress Wang was the mother of Yang Pu, the final ruler of Wu.  
3. The document does not explicitly mention the father of Yang Pu.  
4. Therefore, based on the provided information, the father of Yang Pu cannot be determined.  

Answer: The father of Yang Pu (Emperor Rui of Wu) is not mentioned in the provided documents.",False,0.17647058823529413,0.0,预测答案未能包含标准答案的关键信息，它错误地指出根据所提供的文件无法确定杨溥的父亲是谁，而标准答案明确给出了杨溥的父亲是杨行密。两者在语义上完全不一致。,N/A,N/A,N/A,N/A,N/A
Who played the king that was king of england in 1951 in the king's speech?,Who was the king of England in 1951?,George VI was the King of the United Kingdom in 1951.,1951 is the year when King George VI was the king of England.,True,0.5714285714285715,0.0,预测答案明确指出了1951年英格兰的国王是乔治六世（King George VI），这与标准答案的核心信息完全一致。尽管两者的表述语序和句型结构不同，但在语义上完全等价，准确回答了原问题。,N/A,N/A,N/A,N/A,N/A
Who played the king that was king of england in 1951 in the king's speech?,Which actor played King George VI in the film 'The King's Speech'?,Colin Firth,The actor who played King George VI in the film 'The King's Speech' is Colin Firth.,True,0.33333333333333337,0.0,预测答案明确指出了在电影《国王的演讲》中饰演乔治六世国王的演员是Colin Firth，包含了标准答案的核心信息，且在语义上与标准答案完全一致，只是增加了完整的句子结构，不影响意思的准确传达。,N/A,N/A,N/A,N/A,N/A
