example_id,sub_question_id,selector,rate,ground_truth,predicted,f1,em,selected_tokens,question,glm_correct,glm_reason
0,0,oracle_full_attention,0.15,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,196,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体，准确回答了问题所问的归属网络，语义上与标准答案完全一致。
0,0,fusionrag_qk,0.15,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,196,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体，准确回答了问题所问的归属网络，语义上与标准答案完全一致。
0,0,draft_selected_set,0.15,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,196,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体，准确回答了问题所问的归属网络，语义上与标准答案完全一致。
1,0,oracle_full_attention,0.15,"Corfe Mullen, Dorset, England","Dorset, England",0.5454545454545454,0.0,194,Where is the headquarters of Julia's House located?,0,"预测答案缺少了标准答案中的核心实体“Corfe Mullen”。虽然它包含了“Dorset, England”这一更宽泛的地理范围，但未能提供具体的总部所在城镇，因此不符合包含核心实体的判断标准。"
1,0,fusionrag_qk,0.15,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,194,Where is the headquarters of Julia's House located?,1,"预测答案与标准答案完全一致，都准确包含了“Corfe Mullen, Dorset, England”这一关键地理位置信息，语义上完全等价，正确回答了问题。"
1,0,draft_selected_set,0.15,"Corfe Mullen, Dorset, England","Dorset, England",0.5454545454545454,0.0,194,Where is the headquarters of Julia's House located?,0,"预测答案缺少了标准答案中的核心实体“Corfe Mullen”。虽然它包含了“Dorset, England”这一更宽泛的地理范围，但未能提供具体的总部所在城镇，因此不符合包含核心实体的判断标准。"
2,0,oracle_full_attention,0.15,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,216,Where is Coffee Swamp located?,1,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，仅缺少了一个逗号，属于允许的细微措辞差异。
2,0,fusionrag_qk,0.15,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,216,Where is Coffee Swamp located?,1,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，仅缺少了一个逗号，属于允许的细微措辞差异。
2,0,draft_selected_set,0.15,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,216,Where is Coffee Swamp located?,1,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，仅缺少了一个逗号，属于允许的细微措辞差异。
3,0,oracle_full_attention,0.15,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,173,Who is the child of Peter Andreas Heiberg?,1,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的核心实体，包含了标准答案中的关键信息，与标准答案在语义上完全等价，正确回答了问题。
3,0,fusionrag_qk,0.15,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,173,Who is the child of Peter Andreas Heiberg?,1,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的核心实体，包含了标准答案中的关键信息，与标准答案在语义上完全等价，正确回答了问题。
3,0,draft_selected_set,0.15,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,173,Who is the child of Peter Andreas Heiberg?,1,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的核心实体，包含了标准答案中的关键信息，与标准答案在语义上完全等价，正确回答了问题。
3,1,oracle_full_attention,0.15,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,202,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，都明确指出了Johan Ludvig Heiberg的配偶是Johanne Luise Heiberg，准确回答了问题。
3,1,fusionrag_qk,0.15,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,202,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，都明确指出了Johan Ludvig Heiberg的配偶是Johanne Luise Heiberg，准确回答了问题。
3,1,draft_selected_set,0.15,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,202,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，都明确指出了Johan Ludvig Heiberg的配偶是Johanne Luise Heiberg，准确回答了问题。
