example_id,chunk_id,method,rate,chunk_len,selected_count
0,0,offline3b_mean_score_global,0.05,144,15
0,1,offline3b_mean_score_global,0.05,99,5
0,2,offline3b_mean_score_global,0.05,180,11
0,3,offline3b_mean_score_global,0.05,195,7
0,4,offline3b_mean_score_global,0.05,169,7
0,5,offline3b_mean_score_global,0.05,110,6
0,6,offline3b_mean_score_global,0.05,127,8
0,7,offline3b_mean_score_global,0.05,129,6
0,8,offline3b_mean_score_global,0.05,159,3
0,9,offline3b_mean_score_global,0.05,181,6
0,0,offline3b_top2_mean_global,0.05,144,16
0,1,offline3b_top2_mean_global,0.05,99,6
0,2,offline3b_top2_mean_global,0.05,180,12
0,3,offline3b_top2_mean_global,0.05,195,7
0,4,offline3b_top2_mean_global,0.05,169,6
0,5,offline3b_top2_mean_global,0.05,110,6
0,6,offline3b_top2_mean_global,0.05,127,7
0,7,offline3b_top2_mean_global,0.05,129,5
0,8,offline3b_top2_mean_global,0.05,159,3
0,9,offline3b_top2_mean_global,0.05,181,6
0,0,offline3b_freq_boundary0p02_global,0.05,144,12
0,1,offline3b_freq_boundary0p02_global,0.05,99,6
0,2,offline3b_freq_boundary0p02_global,0.05,180,8
0,3,offline3b_freq_boundary0p02_global,0.05,195,7
0,4,offline3b_freq_boundary0p02_global,0.05,169,8
0,5,offline3b_freq_boundary0p02_global,0.05,110,6
0,6,offline3b_freq_boundary0p02_global,0.05,127,7
0,7,offline3b_freq_boundary0p02_global,0.05,129,8
0,8,offline3b_freq_boundary0p02_global,0.05,159,5
0,9,offline3b_freq_boundary0p02_global,0.05,181,7
1,0,offline3b_mean_score_global,0.05,163,18
1,1,offline3b_mean_score_global,0.05,157,6
1,2,offline3b_mean_score_global,0.05,114,5
1,3,offline3b_mean_score_global,0.05,289,10
1,4,offline3b_mean_score_global,0.05,149,3
1,5,offline3b_mean_score_global,0.05,171,10
1,6,offline3b_mean_score_global,0.05,131,6
1,7,offline3b_mean_score_global,0.05,123,7
1,8,offline3b_mean_score_global,0.05,171,6
1,9,offline3b_mean_score_global,0.05,218,13
1,0,offline3b_top2_mean_global,0.05,163,20
1,1,offline3b_top2_mean_global,0.05,157,5
1,2,offline3b_top2_mean_global,0.05,114,5
1,3,offline3b_top2_mean_global,0.05,289,9
1,4,offline3b_top2_mean_global,0.05,149,3
1,5,offline3b_top2_mean_global,0.05,171,10
1,6,offline3b_top2_mean_global,0.05,131,6
1,7,offline3b_top2_mean_global,0.05,123,7
1,8,offline3b_top2_mean_global,0.05,171,5
1,9,offline3b_top2_mean_global,0.05,218,14
1,0,offline3b_freq_boundary0p02_global,0.05,163,13
1,1,offline3b_freq_boundary0p02_global,0.05,157,7
1,2,offline3b_freq_boundary0p02_global,0.05,114,7
1,3,offline3b_freq_boundary0p02_global,0.05,289,8
1,4,offline3b_freq_boundary0p02_global,0.05,149,7
1,5,offline3b_freq_boundary0p02_global,0.05,171,9
1,6,offline3b_freq_boundary0p02_global,0.05,131,7
1,7,offline3b_freq_boundary0p02_global,0.05,123,8
1,8,offline3b_freq_boundary0p02_global,0.05,171,7
1,9,offline3b_freq_boundary0p02_global,0.05,218,11
2,0,offline3b_mean_score_global,0.05,115,11
2,1,offline3b_mean_score_global,0.05,101,8
2,2,offline3b_mean_score_global,0.05,111,6
2,3,offline3b_mean_score_global,0.05,115,9
2,4,offline3b_mean_score_global,0.05,205,1
2,5,offline3b_mean_score_global,0.05,109,6
2,6,offline3b_mean_score_global,0.05,239,9
2,7,offline3b_mean_score_global,0.05,128,5
2,8,offline3b_mean_score_global,0.05,234,10
2,9,offline3b_mean_score_global,0.05,150,10
2,0,offline3b_top2_mean_global,0.05,115,11
2,1,offline3b_top2_mean_global,0.05,101,8
2,2,offline3b_top2_mean_global,0.05,111,6
2,3,offline3b_top2_mean_global,0.05,115,10
2,4,offline3b_top2_mean_global,0.05,205,1
2,5,offline3b_top2_mean_global,0.05,109,7
2,6,offline3b_top2_mean_global,0.05,239,10
2,7,offline3b_top2_mean_global,0.05,128,4
2,8,offline3b_top2_mean_global,0.05,234,8
2,9,offline3b_top2_mean_global,0.05,150,10
2,0,offline3b_freq_boundary0p02_global,0.05,115,10
2,1,offline3b_freq_boundary0p02_global,0.05,101,8
2,2,offline3b_freq_boundary0p02_global,0.05,111,5
2,3,offline3b_freq_boundary0p02_global,0.05,115,8
2,4,offline3b_freq_boundary0p02_global,0.05,205,5
2,5,offline3b_freq_boundary0p02_global,0.05,109,7
2,6,offline3b_freq_boundary0p02_global,0.05,239,8
2,7,offline3b_freq_boundary0p02_global,0.05,128,5
