Question,Real Answer,Pred Answer
"An official ambassador of the United Dance Organisation, this actor made his film debut in Street Dance 3D.",George Sampson,Ashley Banjo
"Which member of Mission Mountain Wood Band, abbreviated M2Wb, was appointed to the Montana Arts Council by Governor Brian Schweitzer?",Robert Ernest Quist,Robert Ernest Quist
"Famous for her role as Peggy Bundy, when was the wife of producer, writer, and director on ""The Shield"" born?","born January 19, 1954","January 19, 1954"
Are Shifty Shellshock and Alissa White-Gluz both death metal vocalists?,no,yes
"Peter Benchley and Ödön von Horváth, have which mutual occupation?",novelist,screenwriter
Until which year did this Polish professional boxer who lost to Joe Smith Jr. in 2016 in a knockout victory hold the IBO light heavyweight title?,2013,2013
Were Ronnie Van Zant and Mick Jones both lead singers of a band?,yes,yes
Tome Sizemore had a role in which movie that starred Wesley Snipes and Bruce Payne ?,Passenger 57,Passenger 57
"At which battle, in the East Riding of Yorkshire, did King Harold defeat King Harald of Norway?",Battle of Stamford Bridge,Battle of Stamford Bridge
"What Pulitzer prize winning, American composer known for exploring addiction and homophobia, wrote ""Tick, Tick...Boom!""?",Jonathan Larson,Jonathan David Larson
The inner urban neighbourhood Eureka Tower is in had a population of what in 2011?,"11,235","18,709"
"Aleksey Petrovich Yermolov, was a Russian Imperial general, of the 19th century who commanded Russian troops in the Caucasian War, he distinguished himself during the Napoleonic Wars at which event that was fought on March 30–31, 1814 between the Sixth Coalition—consisting of Russia, Austria, and Prussia against the French Empire?",Battle of Paris,Battle of Paris
When did the arena that hosted the 2017 Canadian Olympic Curling Trials open?,January 1996,January 1996
Lee Min-ho stared in his first leading film role in 2015 in a film which was set in which part of Seoul? ,Gangnam district,Gangnam
"Who is the American bass guitarist known for his work in a virtual death metal band featured in ""Metalocalypse""?",Bryan Beller,Bryan Beller
Were both Hal Hartley and Mervyn LeRoy producers?,yes,yes
How are Lago and Emila related?,husband of Emilia,There is no direct relationship between Lago and Emila based on the provided information.
The Rookie stars which actress of Australian heritage?,Rachel Anne Griffiths,Rachel Griffiths
In what year was the actress who portrayed Tiffany Valentine-Ray born?,1958,1958
Which team did the head coach of the 1985 Oklahoma Sooners lead to a Super Bowl victory ?,the Dallas Cowboys,Dallas Cowboys
Where did the league that Michael Anthony Edward Kidd-Gilchrist plays for hold it's 2012 draft?,"Newark, New Jersey.","Prudential Center in Newark, New Jersey"
"Cashback was a movie that starred which English actress from ""Silent Witness""?",Emilia Rose Elizabeth Fox,Emilia Fox
"Legend is a science fiction Western television show starring an American , director, producer, writer, singer, musician, voice artist and stand-up what?",comedian,comedian
"What does the company abbreviation stand for, who's former hairman and CEO is an American businessman,and  investment banker?",Commercial Investment Trust,CIT Group
Which actress of the movie Havoc is daughter of John Phillips,Bijou Phillips,Bijou Lilly Phillips
