example_id,chunk_id,method,rate,chunk_len,selected_count
0,0,offline32b_mean_score_global,0.15,140,29
0,1,offline32b_mean_score_global,0.15,217,28
0,2,offline32b_mean_score_global,0.15,236,16
0,3,offline32b_mean_score_global,0.15,151,29
0,4,offline32b_mean_score_global,0.15,160,12
0,5,offline32b_mean_score_global,0.15,95,13
0,6,offline32b_mean_score_global,0.15,94,12
0,7,offline32b_mean_score_global,0.15,112,11
0,8,offline32b_mean_score_global,0.15,129,24
0,9,offline32b_mean_score_global,0.15,108,42
0,0,offline32b_top2_mean_global,0.15,140,32
0,1,offline32b_top2_mean_global,0.15,217,26
0,2,offline32b_top2_mean_global,0.15,236,15
0,3,offline32b_top2_mean_global,0.15,151,31
0,4,offline32b_top2_mean_global,0.15,160,13
0,5,offline32b_top2_mean_global,0.15,95,14
0,6,offline32b_top2_mean_global,0.15,94,13
0,7,offline32b_top2_mean_global,0.15,112,11
0,8,offline32b_top2_mean_global,0.15,129,23
0,9,offline32b_top2_mean_global,0.15,108,38
0,0,offline32b_freq_boundary0p02_global,0.15,140,33
0,1,offline32b_freq_boundary0p02_global,0.15,217,29
0,2,offline32b_freq_boundary0p02_global,0.15,236,13
0,3,offline32b_freq_boundary0p02_global,0.15,151,31
0,4,offline32b_freq_boundary0p02_global,0.15,160,13
0,5,offline32b_freq_boundary0p02_global,0.15,95,14
0,6,offline32b_freq_boundary0p02_global,0.15,94,10
0,7,offline32b_freq_boundary0p02_global,0.15,112,10
0,8,offline32b_freq_boundary0p02_global,0.15,129,23
0,9,offline32b_freq_boundary0p02_global,0.15,108,40
1,0,offline32b_mean_score_global,0.15,113,39
1,1,offline32b_mean_score_global,0.15,145,10
1,2,offline32b_mean_score_global,0.15,163,14
1,3,offline32b_mean_score_global,0.15,151,12
1,4,offline32b_mean_score_global,0.15,166,25
1,5,offline32b_mean_score_global,0.15,179,16
1,6,offline32b_mean_score_global,0.15,138,24
1,7,offline32b_mean_score_global,0.15,108,32
1,8,offline32b_mean_score_global,0.15,107,15
1,9,offline32b_mean_score_global,0.15,131,23
1,0,offline32b_top2_mean_global,0.15,113,37
1,1,offline32b_top2_mean_global,0.15,145,12
1,2,offline32b_top2_mean_global,0.15,163,15
1,3,offline32b_top2_mean_global,0.15,151,14
1,4,offline32b_top2_mean_global,0.15,166,25
1,5,offline32b_top2_mean_global,0.15,179,19
1,6,offline32b_top2_mean_global,0.15,138,25
1,7,offline32b_top2_mean_global,0.15,108,31
1,8,offline32b_top2_mean_global,0.15,107,15
1,9,offline32b_top2_mean_global,0.15,131,17
1,0,offline32b_freq_boundary0p02_global,0.15,113,40
1,1,offline32b_freq_boundary0p02_global,0.15,145,12
1,2,offline32b_freq_boundary0p02_global,0.15,163,19
1,3,offline32b_freq_boundary0p02_global,0.15,151,13
1,4,offline32b_freq_boundary0p02_global,0.15,166,25
1,5,offline32b_freq_boundary0p02_global,0.15,179,15
1,6,offline32b_freq_boundary0p02_global,0.15,138,24
1,7,offline32b_freq_boundary0p02_global,0.15,108,25
1,8,offline32b_freq_boundary0p02_global,0.15,107,16
1,9,offline32b_freq_boundary0p02_global,0.15,131,21
2,0,offline32b_mean_score_global,0.15,204,38
2,1,offline32b_mean_score_global,0.15,177,23
2,2,offline32b_mean_score_global,0.15,99,12
2,3,offline32b_mean_score_global,0.15,97,13
2,4,offline32b_mean_score_global,0.15,117,19
2,5,offline32b_mean_score_global,0.15,298,36
2,6,offline32b_mean_score_global,0.15,121,27
2,7,offline32b_mean_score_global,0.15,221,16
2,8,offline32b_mean_score_global,0.15,238,35
2,9,offline32b_mean_score_global,0.15,129,36
2,0,offline32b_top2_mean_global,0.15,204,38
2,1,offline32b_top2_mean_global,0.15,177,23
2,2,offline32b_top2_mean_global,0.15,99,12
2,3,offline32b_top2_mean_global,0.15,97,17
2,4,offline32b_top2_mean_global,0.15,117,18
2,5,offline32b_top2_mean_global,0.15,298,35
2,6,offline32b_top2_mean_global,0.15,121,29
2,7,offline32b_top2_mean_global,0.15,221,18
2,8,offline32b_top2_mean_global,0.15,238,33
2,9,offline32b_top2_mean_global,0.15,129,32
2,0,offline32b_freq_boundary0p02_global,0.15,204,47
2,1,offline32b_freq_boundary0p02_global,0.15,177,24
2,2,offline32b_freq_boundary0p02_global,0.15,99,13
2,3,offline32b_freq_boundary0p02_global,0.15,97,19
2,4,offline32b_freq_boundary0p02_global,0.15,117,18
2,5,offline32b_freq_boundary0p02_global,0.15,298,30
2,6,offline32b_freq_boundary0p02_global,0.15,121,25
2,7,offline32b_freq_boundary0p02_global,0.15,221,16
2,8,offline32b_freq_boundary0p02_global,0.15,238,35
2,9,offline32b_freq_boundary0p02_global,0.15,129,28
3,0,offline32b_mean_score_global,0.15,213,31
3,1,offline32b_mean_score_global,0.15,153,36
3,2,offline32b_mean_score_global,0.15,147,10
3,3,offline32b_mean_score_global,0.15,169,23
3,4,offline32b_mean_score_global,0.15,183,33
3,5,offline32b_mean_score_global,0.15,91,9
3,6,offline32b_mean_score_global,0.15,126,19
3,7,offline32b_mean_score_global,0.15,156,15
3,8,offline32b_mean_score_global,0.15,257,16
3,9,offline32b_mean_score_global,0.15,91,45
3,0,offline32b_top2_mean_global,0.15,213,33
3,1,offline32b_top2_mean_global,0.15,153,38
3,2,offline32b_top2_mean_global,0.15,147,11
3,3,offline32b_top2_mean_global,0.15,169,23
3,4,offline32b_top2_mean_global,0.15,183,32
3,5,offline32b_top2_mean_global,0.15,91,12
3,6,offline32b_top2_mean_global,0.15,126,21
3,7,offline32b_top2_mean_global,0.15,156,15
3,8,offline32b_top2_mean_global,0.15,257,14
3,9,offline32b_top2_mean_global,0.15,91,38
3,0,offline32b_freq_boundary0p02_global,0.15,213,33
3,1,offline32b_freq_boundary0p02_global,0.15,153,35
3,2,offline32b_freq_boundary0p02_global,0.15,147,11
3,3,offline32b_freq_boundary0p02_global,0.15,169,24
3,4,offline32b_freq_boundary0p02_global,0.15,183,32
3,5,offline32b_freq_boundary0p02_global,0.15,91,11
3,6,offline32b_freq_boundary0p02_global,0.15,126,20
3,7,offline32b_freq_boundary0p02_global,0.15,156,15
3,8,offline32b_freq_boundary0p02_global,0.15,257,11
3,9,offline32b_freq_boundary0p02_global,0.15,91,45
4,0,offline32b_mean_score_global,0.15,118,36
4,1,offline32b_mean_score_global,0.15,161,32
4,2,offline32b_mean_score_global,0.15,133,23
4,3,offline32b_mean_score_global,0.15,224,16
4,4,offline32b_mean_score_global,0.15,101,23
4,5,offline32b_mean_score_global,0.15,132,18
4,6,offline32b_mean_score_global,0.15,216,18
4,7,offline32b_mean_score_global,0.15,136,13
4,8,offline32b_mean_score_global,0.15,96,15
4,9,offline32b_mean_score_global,0.15,100,18
4,0,offline32b_top2_mean_global,0.15,118,37
4,1,offline32b_top2_mean_global,0.15,161,29
4,2,offline32b_top2_mean_global,0.15,133,28
4,3,offline32b_top2_mean_global,0.15,224,12
4,4,offline32b_top2_mean_global,0.15,101,26
4,5,offline32b_top2_mean_global,0.15,132,18
4,6,offline32b_top2_mean_global,0.15,216,18
4,7,offline32b_top2_mean_global,0.15,136,13
