/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  2.65it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  3.29it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  3.17it/s]
teacher pair=437500 top=57 score_mean=0.144366
teacher pair=437501 top=57 score_mean=0.144366
teacher pair=437502 top=57 score_mean=0.144366
teacher pair=437503 top=57 score_mean=0.144366
teacher pair=437504 top=57 score_mean=0.144366
teacher pair=437505 top=57 score_mean=0.144366
teacher pair=437506 top=57 score_mean=0.144366
teacher pair=437507 top=57 score_mean=0.144366
teacher pair=437508 top=57 score_mean=0.144366
teacher pair=437509 top=57 score_mean=0.144366
teacher pair=437510 top=57 score_mean=0.144366
teacher pair=437511 top=57 score_mean=0.144366
teacher pair=437512 top=57 score_mean=0.144366
teacher pair=437513 top=57 score_mean=0.144366
teacher pair=437514 top=57 score_mean=0.144366
teacher pair=437515 top=57 score_mean=0.144366
teacher pair=437516 top=57 score_mean=0.144366
teacher pair=437517 top=57 score_mean=0.144366
teacher pair=437518 top=57 score_mean=0.144366
teacher pair=437519 top=57 score_mean=0.144366
teacher pair=437520 top=57 score_mean=0.144366
teacher pair=437521 top=57 score_mean=0.144366
teacher pair=437522 top=57 score_mean=0.144366
teacher pair=437523 top=57 score_mean=0.144366
teacher pair=437524 top=57 score_mean=0.144366
teacher pair=437525 top=57 score_mean=0.144366
teacher pair=437526 top=57 score_mean=0.144366
teacher pair=437527 top=57 score_mean=0.144366
teacher pair=437528 top=57 score_mean=0.144366
teacher pair=437529 top=57 score_mean=0.144366
teacher pair=437530 top=57 score_mean=0.144366
teacher pair=437531 top=57 score_mean=0.144366
teacher pair=437532 top=57 score_mean=0.144366
teacher pair=437533 top=57 score_mean=0.144366
teacher pair=437534 top=57 score_mean=0.144366
teacher pair=437535 top=57 score_mean=0.144366
teacher pair=437536 top=57 score_mean=0.144366
teacher pair=437537 top=57 score_mean=0.144366
teacher pair=437538 top=57 score_mean=0.144366
teacher pair=437539 top=57 score_mean=0.144366
teacher pair=437540 top=57 score_mean=0.144366
teacher pair=437541 top=57 score_mean=0.144366
teacher pair=437542 top=57 score_mean=0.144366
teacher pair=437543 top=57 score_mean=0.144366
teacher pair=437544 top=57 score_mean=0.144366
teacher pair=437545 top=57 score_mean=0.144366
teacher pair=437546 top=57 score_mean=0.144366
teacher pair=437547 top=57 score_mean=0.144366
teacher pair=437548 top=57 score_mean=0.144366
teacher pair=437549 top=57 score_mean=0.144366
teacher pair=437550 top=57 score_mean=0.144366
teacher pair=437551 top=57 score_mean=0.144366
teacher pair=437552 top=57 score_mean=0.144366
teacher pair=437553 top=57 score_mean=0.144366
teacher pair=437554 top=57 score_mean=0.144366
teacher pair=437555 top=57 score_mean=0.144366
teacher pair=437556 top=57 score_mean=0.144366
teacher pair=437557 top=57 score_mean=0.144366
teacher pair=437558 top=57 score_mean=0.144366
teacher pair=437559 top=57 score_mean=0.144366
teacher pair=437560 top=57 score_mean=0.144366
teacher pair=437561 top=57 score_mean=0.144366
teacher pair=437562 top=57 score_mean=0.144366
teacher pair=437563 top=57 score_mean=0.144366
teacher pair=437564 top=57 score_mean=0.144366
teacher pair=437565 top=57 score_mean=0.144366
teacher pair=437566 top=57 score_mean=0.144366
teacher pair=437567 top=57 score_mean=0.144366
teacher pair=437568 top=57 score_mean=0.144366
teacher pair=437569 top=57 score_mean=0.144366
teacher pair=437570 top=57 score_mean=0.144366
teacher pair=437571 top=57 score_mean=0.144366
teacher pair=437572 top=57 score_mean=0.144366
teacher pair=437573 top=57 score_mean=0.144366
teacher pair=437574 top=57 score_mean=0.144366
teacher pair=437575 top=57 score_mean=0.144366
teacher pair=437576 top=57 score_mean=0.144366
teacher pair=437577 top=57 score_mean=0.144366
teacher pair=437578 top=57 score_mean=0.144366
teacher pair=437579 top=57 score_mean=0.144366
teacher pair=437580 top=57 score_mean=0.144366
teacher pair=437581 top=57 score_mean=0.144366
teacher pair=437582 top=57 score_mean=0.144366
teacher pair=437583 top=57 score_mean=0.144366
teacher pair=437584 top=57 score_mean=0.144366
teacher pair=437585 top=57 score_mean=0.144366
teacher pair=437586 top=57 score_mean=0.144366
teacher pair=437587 top=57 score_mean=0.144366
teacher pair=437588 top=57 score_mean=0.144366
teacher pair=437589 top=57 score_mean=0.144366
teacher pair=437590 top=57 score_mean=0.144366
teacher pair=437591 top=57 score_mean=0.144366
teacher pair=437592 top=57 score_mean=0.144366
teacher pair=437593 top=57 score_mean=0.144366
teacher pair=437594 top=57 score_mean=0.144366
teacher pair=437595 top=57 score_mean=0.144366
teacher pair=437596 top=57 score_mean=0.144366
teacher pair=437597 top=57 score_mean=0.144366
teacher pair=437598 top=57 score_mean=0.144366
teacher pair=437599 top=57 score_mean=0.144366
teacher pair=437600 top=57 score_mean=0.144366
teacher pair=437601 top=57 score_mean=0.144366
teacher pair=437602 top=57 score_mean=0.144366
teacher pair=437603 top=57 score_mean=0.144366
teacher pair=437604 top=57 score_mean=0.144366
teacher pair=437605 top=57 score_mean=0.144366
teacher pair=437606 top=57 score_mean=0.144366
teacher pair=437607 top=57 score_mean=0.144366
teacher pair=437608 top=57 score_mean=0.144366
teacher pair=437609 top=57 score_mean=0.144366
teacher pair=437610 top=57 score_mean=0.144366
teacher pair=437611 top=57 score_mean=0.144366
teacher pair=437612 top=57 score_mean=0.144366
teacher pair=437613 top=57 score_mean=0.144366
teacher pair=437614 top=57 score_mean=0.144366
teacher pair=437615 top=57 score_mean=0.144366
teacher pair=437616 top=57 score_mean=0.144366
teacher pair=437617 top=57 score_mean=0.144366
teacher pair=437618 top=57 score_mean=0.144366
teacher pair=437619 top=57 score_mean=0.144366
teacher pair=437620 top=57 score_mean=0.144366
teacher pair=437621 top=57 score_mean=0.144366
teacher pair=437622 top=57 score_mean=0.144366
teacher pair=437623 top=57 score_mean=0.144366
teacher pair=437624 top=57 score_mean=0.144366
teacher pair=437625 top=57 score_mean=0.144366
teacher pair=437626 top=57 score_mean=0.144366
teacher pair=437627 top=57 score_mean=0.144366
teacher pair=437628 top=57 score_mean=0.144366
teacher pair=437629 top=57 score_mean=0.144366
teacher pair=437630 top=57 score_mean=0.144366
teacher pair=437631 top=57 score_mean=0.144366
teacher pair=437632 top=57 score_mean=0.144366
teacher pair=437633 top=57 score_mean=0.144366
teacher pair=437634 top=57 score_mean=0.144366
teacher pair=437635 top=57 score_mean=0.144366
teacher pair=437636 top=57 score_mean=0.144366
teacher pair=437637 top=57 score_mean=0.144366
teacher pair=437638 top=57 score_mean=0.144366
teacher pair=437639 top=57 score_mean=0.144366
teacher pair=437640 top=57 score_mean=0.144366
teacher pair=437641 top=57 score_mean=0.144366
teacher pair=437642 top=57 score_mean=0.144366
teacher pair=437643 top=57 score_mean=0.144366
teacher pair=437644 top=57 score_mean=0.144366
teacher pair=437645 top=57 score_mean=0.144366
teacher pair=437646 top=57 score_mean=0.144366
teacher pair=437647 top=57 score_mean=0.144366
teacher pair=437648 top=57 score_mean=0.144366
teacher pair=437649 top=57 score_mean=0.144366
teacher pair=437650 top=57 score_mean=0.144366
teacher pair=437651 top=57 score_mean=0.144366
teacher pair=437652 top=57 score_mean=0.144366
teacher pair=437653 top=57 score_mean=0.144366
teacher pair=437654 top=57 score_mean=0.144366
teacher pair=437655 top=57 score_mean=0.144366
