row_id,is_warmup,example_id,sub_q_idx,doc_tokens,query_tokens,full_tokens,end_to_end_ttft_s,kv_load_copy_s,draft_selection_s,draft_score_forward_s,online_update_query_prefill_s,extra_impl_overhead_s,selected_doc_tokens,reprocess_prefill_tokens,main_question,sub_question
0,True,0,0,1313,27,2132,1.13214863097528,0.09999673697166145,0.2138833170174621,0.21277251798892394,0.7064638239680789,0.11180475301807746,919,946,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?
1,True,1,0,1295,25,2112,0.4744335559080355,0.09797176194842905,0.13015114195877686,0.12908808095380664,0.17690543498611078,0.0694052170147188,906,931,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?
2,True,2,0,1441,21,2254,0.5013014030409977,0.1012831240077503,0.1337039550417103,0.13274234801065177,0.19816382101271302,0.06815050297882408,1008,1029,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?
3,True,3,0,1154,26,1972,0.44320632895687595,0.08309514599386603,0.12362003099406138,0.12264528800733387,0.16773564397590235,0.0687555079930462,807,833,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?
4,True,3,1,1353,27,2172,0.46171489101834595,0.09816632798174396,0.12896090099820867,0.1280287720146589,0.1778663139557466,0.05672134808264673,947,974,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?
5,True,4,0,1178,32,2002,0.42876793805044144,0.08374578796792775,0.12401545402826741,0.12316345202270895,0.16855237900745124,0.05245431704679504,824,856,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?"
6,True,4,1,2075,24,2891,0.6063257050118409,0.11002584203379229,0.1733520090347156,0.17211713502183557,0.23407991998828948,0.08886793395504355,1452,1476,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?
7,True,6,0,1490,21,2303,0.5031208499567583,0.09556660300586373,0.1339455569977872,0.1330133029841818,0.21609315398382023,0.05751553596928716,1043,1064,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?
8,False,7,0,1587,27,2406,0.5164206419722177,0.08852366200881079,0.14273194299312308,0.13831739098532125,0.20037541899364442,0.08478961797663942,1110,1137,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?
9,False,7,1,1466,28,2286,0.5193874159594998,0.10153006797190756,0.13422075699782,0.1331622269935906,0.21797263203188777,0.06566395895788446,1026,1054,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?
10,False,9,0,1998,25,2815,0.6061741471057758,0.09346557303797454,0.17003823607228696,0.16862914303783327,0.23709489702014253,0.10557544097537175,1398,1423,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?
11,False,9,1,2722,33,3547,0.7322965960483998,0.12235439103096724,0.2126753800548613,0.21107946004485711,0.29713907703990117,0.1001277479226701,1905,1938,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?
12,False,10,0,1505,25,2322,0.48247749701840803,0.08741384401218966,0.13734492199728265,0.13638137700036168,0.19859538099262863,0.059123350016307086,1053,1078,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?
13,False,10,1,1738,24,2554,0.5443349050474353,0.10239840199938044,0.15761384402867407,0.1565691900323145,0.20736869395477697,0.07695396506460384,1216,1240,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?
14,False,11,0,1230,27,2049,0.43946559802861884,0.08383134403266013,0.12758573004975915,0.12666103802621365,0.16810783598339185,0.059940687962807715,861,888,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?
15,False,11,1,1205,26,2023,0.4478910100297071,0.09753690497018397,0.12405242002569139,0.12317898101173341,0.168384080985561,0.05791760404827073,843,869,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?
16,False,12,0,2011,32,2835,0.5837853610282764,0.10225697798887268,0.1724362340173684,0.17117942101322114,0.2329972519655712,0.0760948970564641,1407,1439,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?
17,False,12,1,2101,30,2923,0.5902641889988445,0.11121935001574457,0.1744910900015384,0.17293760203756392,0.23463763599283993,0.06991611298872158,1470,1500,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?
18,False,13,0,1142,21,1955,0.42183178599225357,0.08248653303598985,0.12325776199577376,0.122460269019939,0.16699000401422381,0.049097486946266145,799,820,What year was the father of Katherine of England crowned?,Who is Katherine of England?
19,False,13,1,2083,25,2900,0.5907856000121683,0.11088734399527311,0.1736828470020555,0.17233346501598135,0.23590058501577005,0.07031482399906963,1458,1483,What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?
20,False,14,0,1057,36,1885,0.4164412129903212,0.08273500797804445,0.11986870097462088,0.1189558919868432,0.16644295502919704,0.04739454900845885,739,775,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?
21,False,14,1,1681,24,2497,0.5356485520023853,0.10770460299681872,0.15708451002137735,0.1559887240291573,0.2078364579938352,0.06302298099035397,1176,1200,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?
22,False,15,0,678,23,1493,0.34123728395206854,0.0782039450132288,0.09128831594716758,0.09063867497025058,0.13066833099583164,0.04107669199584052,474,497,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?
23,False,15,1,1121,28,1941,0.5068839429877698,0.09742296300828457,0.12293571600457653,0.12197381001897156,0.23356311401585117,0.05296214995905757,784,812,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?"
24,False,16,0,1515,28,2335,0.4986762839835137,0.08638551802141592,0.14204780495492741,0.14102839695988223,0.21451108501059934,0.055731875996571034,1060,1088,"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?
25,False,16,1,2189,30,3011,0.6195219720248133,0.11129369598347694,0.178937032003887,0.17763884598389268,0.25863023701822385,0.07066100701922551,1532,1562,"In 2002, what company merged with the top PC manufacturer from 1994?",What company did Compaq merge with in 2002?
26,False,17,0,1415,28,2235,0.4604639859753661,0.08523845300078392,0.1335705469828099,0.1324971499852836,0.17790354404132813,0.06375144195044413,990,1018,"In the King's Speech, who played the person who was the King of England in 1950?",Who was the King of England in 1950?
27,False,17,1,1936,30,2758,0.5712755260174163,0.11595809098798782,0.1672881320118904,0.1661103710066527,0.21761727699777111,0.07041202601976693,1355,1385,"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?
