dataset,method,rate,segment,source_csv,source_row,Question,Real Answer,Pred Answer,Predicted_Clean,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,0,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Mary Bono,Mary Bono,False,预测答案“Mary Bono”与标准答案“Maria Bello”是两个完全不同的人名，在语义上并不等价，也没有包含标准答案的关键信息，因此未能正确回答问题。,"判断: 错误
原因: 预测答案“Mary Bono”与标准答案“Maria Bello”是两个完全不同的人名，在语义上并不等价，也没有包含标准答案的关键信息，因此未能正确回答问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,1,What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,Manhattan Project,Manhattan Project,True,预测答案“Manhattan Project”与标准答案完全一致，包含了标准答案的核心关键信息，且在语义上完全等价，准确地回答了提出的问题。,"判断: 正确
原因: 预测答案“Manhattan Project”与标准答案完全一致，包含了标准答案的核心关键信息，且在语义上完全等价，准确地回答了提出的问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,2,In which borough was Callum McManaman born?,Knowsley,Merseyside,Merseyside,False,预测答案“Merseyside”是一个大都市郡，而标准答案“Knowsley”是该郡下的一个具体自治市。虽然两者在地理位置上存在包含关系，但它们在行政区划上并不等价，预测答案未能准确提供问题所要求的具体出生地信息。,"判断: 错误
原因: 预测答案“Merseyside”是一个大都市郡，而标准答案“Knowsley”是该郡下的一个具体自治市。虽然两者在地理位置上存在包含关系，但它们在行政区划上并不等价，预测答案未能准确提供问题所要求的具体出生地信息。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,3,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot,Sebastian Cabot,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，因此预测答案正确地回答了问题。,"判断: 正确
原因: 预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，因此预测答案正确地回答了问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,4,Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Joy Harmon,Joy Harmon,False,预测答案“Joy Harmon”与标准答案“Sherry Boucher”完全不同。预测答案没有包含标准答案的关键信息，两者在语义上也不等价，因此未能正确回答关于《天龙特攻队》中汉尼拔·史密斯扮演者配偶的问题。,"判断: 错误
原因: 预测答案“Joy Harmon”与标准答案“Sherry Boucher”完全不同。预测答案没有包含标准答案的关键信息，两者在语义上也不等价，因此未能正确回答关于《天龙特攻队》中汉尼拔·史密斯扮演者配偶的问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,5,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2005–06 season,2005–06 season,False,预测答案给出的时间是“2005–06 season”，而标准答案明确指出是“1 December 2010”。两者在时间指代上完全不同，语义上并不等价，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的时间是“2005–06 season”，而标准答案明确指出是“1 December 2010”。两者在时间指代上完全不同，语义上并不等价，因此预测答案未能正确回答问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,6,Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: Stuart Epps,Stuart Epps,False,预测答案“Stuart Epps”与标准答案“Tatum O'Neal”完全不同，两者在语义上没有任何等价或包含关系，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案“Stuart Epps”与标准答案“Tatum O'Neal”完全不同，两者在语义上没有任何等价或包含关系，因此预测答案未能正确回答问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,7,How many times did plague occur in the birthplace of La Silvia's composer?,22,3,3,False,预测答案给出的数字是3，而标准答案明确指出该问题所询问的瘟疫发生次数是22。两者在数值和语义上均不一致，预测答案未能包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的数字是3，而标准答案明确指出该问题所询问的瘟疫发生次数是22。两者在数值和语义上均不一致，预测答案未能包含标准答案的关键信息，因此判断为错误。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,8,When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1912,True,预测答案“1912”与标准答案“1912”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于军事教学开始时间的问题。,"判断: 正确
原因: 预测答案“1912”与标准答案“1912”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于军事教学开始时间的问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,9,What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,True,预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”中的核心名称，两者在语义上完全等价。预测答案仅省略了全称和连字符，属于措辞上的细微差异，不影响答案的正确性。,"判断: 正确
原因: 预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”中的核心名称，两者在语义上完全等价。预测答案仅省略了全称和连字符，属于措辞上的细微差异，不影响答案的正确性。"
