row_id,is_warmup,example_id,sub_q_idx,doc_tokens,query_tokens,full_tokens,end_to_end_ttft_s,kv_load_copy_s,draft_selection_s,draft_score_forward_s,online_update_query_prefill_s,extra_impl_overhead_s,selected_doc_tokens,reprocess_prefill_tokens,main_question,sub_question
0,True,0,0,1313,27,2132,5.347220920026302,0.0,0.0,0.0,5.3396386271342635,0.007582292892038822,1313,2132,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?
1,True,1,0,1295,25,2112,4.390694080851972,0.0,0.0,0.0,4.381827730219811,0.008866350632160902,1295,2112,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?
2,True,2,0,1441,21,2254,4.376923007890582,0.0,0.0,0.0,4.368148662149906,0.008774345740675926,1441,2254,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?
3,False,3,0,1154,26,1972,3.9591428670100868,0.0,0.0,0.0,3.949738287832588,0.009404579177498817,1154,1972,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?
4,False,3,1,1353,27,2172,4.43112462433055,0.0,0.0,0.0,4.422446669079363,0.008677955251187086,1353,2172,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?
5,False,4,0,1178,32,2002,3.98880859836936,0.0,0.0,0.0,3.9801095449365675,0.008699053432792425,1178,2002,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?"
6,False,4,1,2075,24,2891,4.68368083005771,0.0,0.0,0.0,4.673206991050392,0.01047383900731802,2075,2891,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?
7,False,6,0,1490,21,2303,4.579046482220292,0.0,0.0,0.0,4.568772594910115,0.010273887310177088,1490,2303,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?
8,False,7,0,1587,27,2406,4.493195839226246,0.0,0.0,0.0,4.482955245766789,0.010240593459457159,1587,2406,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?
9,False,7,1,1466,28,2286,4.486100051086396,0.0,0.0,0.0,4.475268185138702,0.010831865947693586,1466,2286,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?
10,False,9,0,1998,25,2815,4.6702762502245605,0.0,0.0,0.0,4.660080138128251,0.010196112096309662,1998,2815,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?
11,False,9,1,2722,33,3547,5.352377106901258,0.0,0.0,0.0,5.336492809001356,0.015884297899901867,2722,3547,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?
12,False,10,0,1505,25,2322,4.2009085533209145,0.0,0.0,0.0,4.190718526020646,0.010190027300268412,1505,2322,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?
13,False,10,1,1738,24,2554,4.460667090956122,0.0,0.0,0.0,4.449695759918541,0.010971331037580967,1738,2554,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?
14,False,11,0,1230,27,2049,4.164979998022318,0.0,0.0,0.0,4.156344566028565,0.008635431993752718,1230,2049,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?
15,False,11,1,1205,26,2023,4.168281586840749,0.0,0.0,0.0,4.159611762035638,0.008669824805110693,1205,2023,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?
16,False,12,0,2011,32,2835,4.8083735127002,0.0,0.0,0.0,4.7981502008624375,0.010223311837762594,2011,2835,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?
17,False,12,1,2101,30,2923,4.985108918976039,0.0,0.0,0.0,4.974830721039325,0.010278197936713696,2101,2923,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?
18,False,13,0,1142,21,1955,4.053949987981468,0.0,0.0,0.0,4.045338169671595,0.008611818309873343,1142,1955,What year was the father of Katherine of England crowned?,Who is Katherine of England?
19,False,13,1,2083,25,2900,4.6318504572845995,0.0,0.0,0.0,4.621604732237756,0.01024572504684329,2083,2900,What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?
20,False,14,0,1057,36,1885,3.9867184199392796,0.0,0.0,0.0,3.978081630077213,0.008636789862066507,1057,1885,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?
21,False,14,1,1681,24,2497,4.381015570834279,0.0,0.0,0.0,4.363769897259772,0.017245673574507236,1681,2497,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?
22,False,15,0,678,23,1493,3.768479756079614,0.0,0.0,0.0,3.7615592861548066,0.0069204699248075485,678,1493,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?
23,False,15,1,1121,28,1941,4.132149593438953,0.0,0.0,0.0,4.123463062103838,0.008686531335115433,1121,1941,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?"
24,False,16,0,1515,28,2335,4.523633419070393,0.0,0.0,0.0,4.504111306741834,0.01952211232855916,1515,2335,"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?
25,False,16,1,2189,30,3011,4.904656890779734,0.0,0.0,0.0,4.892794567160308,0.011862323619425297,2189,3011,"In 2002, what company merged with the top PC manufacturer from 1994?",What company did Compaq merge with in 2002?
26,False,17,0,1415,28,2235,4.203157162759453,0.0,0.0,0.0,4.194371474906802,0.00878568785265088,1415,2235,"In the King's Speech, who played the person who was the King of England in 1950?",Who was the King of England in 1950?
27,False,17,1,1936,30,2758,4.600359917152673,0.0,0.0,0.0,4.583485613111407,0.01687430404126644,1936,2758,"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?
28,False,18,0,1020,28,1840,3.9508634894154966,0.0,0.0,0.0,3.932413199916482,0.018450289499014616,1020,1840,Whose sister played Susie in miracle on 34th street?,Who played Susie in Miracle on 34th Street?
29,False,18,1,1206,22,2020,3.9981822799891233,0.0,0.0,0.0,3.9894060459919274,0.008776233997195959,1206,2020,Whose sister played Susie in miracle on 34th street?,Who is Natalie Wood's brother?
30,False,19,0,1034,22,1848,3.869853655807674,0.0,0.0,0.0,3.8611982581205666,0.008655397687107325,1034,1848,What team was Anna Benson's husband on?,Who is Anna Benson's husband?
31,False,19,1,1580,27,2399,4.589442636817694,0.0,0.0,0.0,4.579053412657231,0.010389224160462618,1580,2399,What team was Anna Benson's husband on?,What team did Kris Benson play for in Major League Baseball?
32,False,20,0,1519,26,2337,4.387271353974938,0.0,0.0,0.0,4.377067452296615,0.010203901678323746,1519,2337,What is the record label for the singer who originally sang You Belong To Me.,Who originally sang the song You Belong To Me?
33,False,20,1,2265,41,3098,4.90438199415803,0.0,0.0,0.0,4.883533678017557,0.02084831614047289,2265,3098,What is the record label for the singer who originally sang You Belong To Me.,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?
34,False,21,0,1749,27,2568,4.553797399625182,0.0,0.0,0.0,4.534644684754312,0.019152714870870113,1749,2568,When did the crowning of the person under whom the Chapter House was built happen?,Who was the person under whom the Chapter House was built?
35,False,21,1,2118,21,2931,4.799086284823716,0.0,0.0,0.0,4.778080221265554,0.02100606355816126,2118,2931,When did the crowning of the person under whom the Chapter House was built happen?,When was Henry III crowned?
36,False,24,0,1556,26,2374,4.281194799114019,0.0,0.0,0.0,4.262177262920886,0.0190175361931324,1556,2374,What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?
37,False,24,1,1997,25,2814,4.7810404556803405,0.0,0.0,0.0,4.770860694348812,0.010179761331528425,1997,2814,What record label does the artist who sang you belong to me belong to?,What record label is Joni James signed to?
