main_question,online_qk,online_draft,offline_hybrid70
"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",False,True,False
The Directory of Public Worship was approved by a parliament whose modern equivalent has been based where since 2004?,False,True,True
The city which contains Broadhurst Park shares a border with what town?,False,True,True
What award was received by the person who authored Missing Person?,False,True,False
What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,False,True,True
What company succeeded the owner of Empire Sports Network?,False,True,True
What is the capital of the county that Pine Springs is located in?,False,True,True
What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,False,True,False
What is the river that the Kettle Generating Station is located on a tributary of?,False,True,False
What record label did the person who is part of The Bruce Lee Band start?,False,True,False
When was John's eldest son crowned?,False,True,True
Where are the headquarters for the publisher of In the Shadow of Greatness?,False,True,True
Where did the author of The National Dream go to university?,False,True,False
Where was Tyler MacDuff's child educated?,False,True,False
Who founded the publisher of The Final Testament of the Holy Bible?,False,True,False
Who is the child of Sigrid Eskilsdotter's child?,False,True,False
Who is the child of the actor who is a cast member of Love in Pawn?,False,True,False
Who is the employer of the physicist who Mach number is named after?,False,True,True
Who is the father of the performer of Je dis aime?,False,True,False
Who married the publisher of abolitionist newspaper The North Star?,False,True,False
Who was married to the star of No Escape?,False,True,False
Who was the US physicist who directed the project that developed the first atomic bomb at the same place where Feynman worked on Water Boiler?,False,True,True
