selector,example_id,cache_example_id,rate,question,answers,prediction,rouge1,em,wall_time,selected_abs_path,error,storage_time,selection_time,selection_score_forward_time,reprocess_prefill_time,ttft,selected_doc_tokens,query_tokens,reprocess_prefill_tokens
online_fusionrag_qk,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Maggie Smith,0.0,0.0,1.697487864177674,,,0.12905174493789673,0.2969149500131607,0.2731358576565981,0.6248035840690136,1.050770279020071,1066,49,1115
offline_chunk_qk,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Salma Hayek,0.0,0.0,0.9069257057271898,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example000_offline_chunk_qk_selected_abs.json,,0.05716309603303671,0.0,0.0,0.21426025871187449,0.2714233547449112,1062,49,1111
random_chunk,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Maggie Gyllenhaal,0.0,0.0,1.1706565050408244,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example000_random_chunk_selected_abs.json,,0.05689228978008032,0.0,0.0,0.2139906738884747,0.270882963668555,1062,49,1111
online_fusionrag_qk,1,2,0.15,What was the person who provided evidence to suggest the existence of the neutron a participant of?,"[""Manhattan Project""]",Tube Alloys project,0.39999999520000007,0.0,1.0815331940539181,,,0.0752120646648109,0.10752330487594008,0.10575196892023087,0.24079928593710065,0.42353465547785163,1329,50,1379
offline_chunk_qk,1,2,0.15,What was the person who provided evidence to suggest the existence of the neutron a participant of?,"[""Manhattan Project""]",Tube Alloys project,0.39999999520000007,0.0,0.9362208289094269,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example001_offline_chunk_qk_selected_abs.json,,0.06468438496813178,0.0,0.0,0.23794934060424566,0.30263372557237744,1324,50,1374
random_chunk,1,2,0.15,What was the person who provided evidence to suggest the existence of the neutron a participant of?,"[""Manhattan Project""]",James Chadwick,0.0,0.0,0.8429909590631723,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example001_random_chunk_selected_abs.json,,0.06652747001498938,0.0,0.0,0.2379545890726149,0.3044820590876043,1324,50,1374
online_fusionrag_qk,2,3,0.15,In which borough was Callum McManaman born?,"[""Knowsley"", ""Metropolitan Borough of Knowsley""]","The information provided does not contain any details about Callum McManaman or his place of birth. Therefore, it's not possible to answer the question based on the given passages.",0.06896551486325811,0.0,4.1808547750115395,,,0.06093112891539931,0.10346325393766165,0.10190717782825232,0.2285297717899084,0.39292415464296937,1196,43,1239
offline_chunk_qk,2,3,0.15,In which borough was Callum McManaman born?,"[""Knowsley"", ""Metropolitan Borough of Knowsley""]","Based on the information provided, there is no mention of Callum McManaman or his place of birth in any of the given passages. Therefore, it's not possible to answer the question ""In which borough was Callum McManaman born?""",0.11764705674740487,0.0,5.345872109755874,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example002_offline_chunk_qk_selected_abs.json,,0.05916964681819081,0.0,0.0,0.22472699591889977,0.2838966427370906,1191,43,1234
random_chunk,2,3,0.15,In which borough was Callum McManaman born?,"[""Knowsley"", ""Metropolitan Borough of Knowsley""]","Based on the information provided, there is no mention of Callum McManaman or his place of birth in any of the given passages. Therefore, it's not possible to answer the question ""In which borough was Callum McManaman born?""",0.11764705674740487,0.0,5.347753290086985,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example002_random_chunk_selected_abs.json,,0.05889908690005541,0.0,0.0,0.2252325378358364,0.2841316247358918,1191,43,1234
online_fusionrag_qk,3,4,0.15,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,"[""Sebastian Cabot""]",Gaeta,0.0,0.0,0.7638506279326975,,,0.0540670370683074,0.1049264082685113,0.10340782394632697,0.21267252461984754,0.37166596995666623,1068,62,1130
offline_chunk_qk,3,4,0.15,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,"[""Sebastian Cabot""]","Francisco Bojado's birthplace is located in the Province of Latina, Italy. Therefore, the answer to the question ""Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent?"" is not directly",0.0,0.0,5.306862691882998,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example003_offline_chunk_qk_selected_abs.json,,0.05426738224923611,0.0,0.0,0.21405604295432568,0.2683234252035618,1064,62,1126
random_chunk,3,4,0.15,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,"[""Sebastian Cabot""]",Francisco Bojado's birthplace is not mentioned in the given passages.,0.0,0.0,2.0310515561141074,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example003_random_chunk_selected_abs.json,,0.05392901273444295,0.0,0.0,0.21427608700469136,0.2682050997391343,1064,62,1126
online_fusionrag_qk,4,5,0.15,Who is the spouse of the actor who played hannibal smith in the a team?,"[""Sherry Boucher""]","The question is about Hannibal Smith from The A-Team, but the provided passages do not contain any information about the cast of The A-Team. The passages are about Clarice Starling, Hannibal Lecter, and other related topics from",0.0,0.0,5.4432201981544495,,,0.056769676972180605,0.10397821385413408,0.1023949533700943,0.2224912280216813,0.383239118847996,1141,49,1190
offline_chunk_qk,4,5,0.15,Who is the spouse of the actor who played hannibal smith in the a team?,"[""Sherry Boucher""]","The question seems to contain a mix-up between characters and roles. There is no actor named Hannibal Smith, and the character Rod Smith (from the provided passages) is not related to the A-Team. The A-Team features characters like Hann",0.0,0.0,5.32787645701319,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example004_offline_chunk_qk_selected_abs.json,,0.0567342909052968,0.0,0.0,0.22051312681287527,0.2772474177181721,1136,49,1185
random_chunk,4,5,0.15,Who is the spouse of the actor who played hannibal smith in the a team?,"[""Sherry Boucher""]","The question does not match any information provided in the given passages. There is no mention of an actor named Hannibal Smith or a TV show called The A-Team in the provided texts. The passages are about Clarice Starling, Rod Smith (",0.0,0.0,5.3253090237267315,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example004_random_chunk_selected_abs.json,,0.056896444875746965,0.0,0.0,0.22096411092206836,0.2778605557978153,1136,49,1185
online_fusionrag_qk,5,6,0.15,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,"[""1 December 2010""]",1983-84,0.0,0.0,1.341865450143814,,,0.06423000199720263,0.10503366170451045,0.10333166271448135,0.24213303299620748,0.41139669669792056,1333,58,1391
offline_chunk_qk,5,6,0.15,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,"[""1 December 2010""]",1983-84,0.0,0.0,1.212002239190042,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example005_offline_chunk_qk_selected_abs.json,,0.06380782788619399,0.0,0.0,0.23900833679363132,0.3028161646798253,1330,58,1388
random_chunk,5,6,0.15,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,"[""1 December 2010""]",There is no information provided about Peter Till or his sports team in the given passages. The passages only contain information about Everton F.C. and do not mention any specific team or individual named Peter Till or his results against the winner of the 18,0.0,0.0,5.3912670952267945,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example005_random_chunk_selected_abs.json,,0.06511002080515027,0.0,0.0,0.23853943310678005,0.3036494539119303,1330,58,1388
online_fusionrag_qk,6,7,0.15,Who is the child of the cast member of Green Ice?,"[""Tatum O'Neal""]","There is no information provided about a child of a cast member of Green Ice in the given passages. The term ""Green Ice"" does not appear to be related to any of the provided content. Therefore, I cannot answer the question based on the given",0.0,0.0,5.3839964787475765,,,0.05114174913614988,0.10372433485463262,0.10217622201889753,0.1943203709088266,0.3491864548996091,974,44,1018
offline_chunk_qk,6,7,0.15,Who is the child of the cast member of Green Ice?,"[""Tatum O'Neal""]","The passage about Nickelodeon (film) Part 2 mentions that Peter Bogdanovich had a then-girlfriend, Cybill Shepherd, who was a cast member. Therefore, the child of the cast member of Green Ice (referring to Cy",0.0,0.0,5.264110218733549,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example006_offline_chunk_qk_selected_abs.json,,0.050634610932320356,0.0,0.0,0.18917102180421352,0.23980563273653388,970,44,1014
random_chunk,6,7,0.15,Who is the child of the cast member of Green Ice?,"[""Tatum O'Neal""]","Passage 7 mentions Jean Desessard, a French politician and former member of the Senate of France. There is no direct mention of a child of a cast member of ""Green Ice"" in the provided passages. The question seems to mix information",0.0,0.0,5.267867621034384,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example006_random_chunk_selected_abs.json,,0.0509828613139689,0.0,0.0,0.18940455606207252,0.2403874173760414,970,44,1014
online_fusionrag_qk,7,8,0.15,How many times did plague occur in the birthplace of La Silvia's composer?,"[""22""]",50,0.0,0.0,0.8579670041799545,,,0.06619197688996792,0.10499172797426581,0.10299751115962863,0.2574380310252309,0.4286217358894646,1395,49,1444
offline_chunk_qk,7,8,0.15,How many times did plague occur in the birthplace of La Silvia's composer?,"[""22""]",50,0.0,0.0,0.7350443061441183,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example007_offline_chunk_qk_selected_abs.json,,0.06637053424492478,0.0,0.0,0.2559043890796602,0.32227492332458496,1389,49,1438
random_chunk,7,8,0.15,How many times did plague occur in the birthplace of La Silvia's composer?,"[""22""]",50,0.0,0.0,0.7461741711013019,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example007_random_chunk_selected_abs.json,,0.06683651078492403,0.0,0.0,0.25565979070961475,0.3224963014945388,1389,49,1438
online_fusionrag_qk,8,9,0.15,When did military instruction start at the place where Larry Alcala was educated?,"[""1912""]",1912,0.999999995,1.0,0.9364755358546972,,,0.05369865894317627,0.10353924613445997,0.10204803105443716,0.21464959206059575,0.371887497138232,1057,47,1104
offline_chunk_qk,8,9,0.15,When did military instruction start at the place where Larry Alcala was educated?,"[""1912""]",1912,0.999999995,1.0,0.831750962883234,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example008_offline_chunk_qk_selected_abs.json,,0.053750073071569204,0.0,0.0,0.21404690202325583,0.26779697509482503,1051,47,1098
random_chunk,8,9,0.15,When did military instruction start at the place where Larry Alcala was educated?,"[""1912""]",1912,0.999999995,1.0,0.8343605501577258,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example008_random_chunk_selected_abs.json,,0.0543675166554749,0.0,0.0,0.21376749780029058,0.2681350144557655,1051,47,1098
online_fusionrag_qk,9,10,0.15,What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,"[""ATS - 6 (Applications Technology Satellite - 6)"", ""ATS-6""]",GSAT-31,0.0,0.0,1.0805904138833284,,,0.05970054725185037,0.10460354294627905,0.10306145623326302,0.22797522507607937,0.3922793152742088,1213,54,1267
offline_chunk_qk,9,10,0.15,What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,"[""ATS - 6 (Applications Technology Satellite - 6)"", ""ATS-6""]","INSAT-4CR's manufacturer is ISRO. The passage mentions that INSAT-4CR was constructed by ISRO and is based around the I-2K satellite bus. However, the passage does not provide information about an experimental satellite being",0.066666663888889,0.0,5.340792689006776,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example009_offline_chunk_qk_selected_abs.json,,0.059708957094699144,0.0,0.0,0.22511186311021447,0.2848208202049136,1209,54,1263
random_chunk,9,10,0.15,What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,"[""ATS - 6 (Applications Technology Satellite - 6)"", ""ATS-6""]",INSAT-4C,0.0,0.0,0.9708396191708744,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_generation_rate015/example009_random_chunk_selected_abs.json,,0.05953905405476689,0.0,0.0,0.22558610094711185,0.28512515500187874,1209,54,1263
online_fusionrag_qk,10,11,0.15,Who was the first African American student at the university Robert Khayat was educated at?,"[""James Howard Meredith"", ""James Meredith""]",Robert Robinson Taylor,0.0,0.0,0.8298183726146817,,,0.05230269813910127,0.1038897531107068,0.10237722611054778,0.2132249539718032,0.36941740522161126,1009,50,1059
