Question,Real Answer,Pred Answer
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,James Meredith
Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Maria Bello
What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,Manhattan Project
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,"The Adam Smith Prize is named after the author of *Lectures on Jurisprudence*, Adam Smith. It is awarded by the University of Cambridge for the best overall examination performance in Part IIB of the Economics Tri"
In which borough was Callum McManaman born?,Knowsley,"Whiston, Merseyside"
Who is Frances Freeling Broderip's sibling?,Tom Hood,Frances Freeling Broderip's sibling is Tom Hood.
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,Jennifer Connelly
Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,Orange River
Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Larry Smith
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge
When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2008
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946
Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: The child of the cast member of Green Ice is not explicitly mentioned in the provided information.
How many times did plague occur in the birthplace of La Silvia's composer?,22,3
Where did the producer of Julius Caesar study or work?,Clifton College,"John Houseman, the producer of Julius Caesar (1953), studied or worked at The Juilliard School. He became the founding director of the Drama Division at The Juilliard School and held this position from"
When did military instruction start at the place where Larry Alcala was educated?,1912,1912
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Malko Tarnovo Municipality
What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
What is the performer of Heartbeat named after?,Natalie Albino,Nina Sky
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,James Meredith
The author of Elizabeth and After attended which university?,University of Toronto,University of Toronto
What year did the publisher of Labyrinth end?,1986,1999
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,"The Adam Smith Prize is named after the author of *Lectures on Jurisprudence*, Adam Smith. It is awarded by the University of Cambridge for the best overall examination performance in Part IIB of the Economics Tri"
The food safety system of the agency that has the authority to decide if a drug is marketed otc or prescription is known as?,Food Safety Modernization Act (FSMA),FDA
Who is Frances Freeling Broderip's sibling?,Tom Hood,Frances Freeling Broderip's sibling is Tom Hood.
Who is the president of the newly declared independent country that has a Commission of Truth and Friendship with the country where Ambelau is located?,Francisco Guterres,Francisco Guterres
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,Jennifer Connelly
Who was the British general in the battle named after the birth city of the person who recorded Mother-in-Law?,General Edward Pakenham,Edward Pakenham
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,Orange River
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946
Where did the producer of Julius Caesar study or work?,Clifton College,"John Houseman, the producer of Julius Caesar (1953), studied or worked at The Juilliard School. He became the founding director of the Drama Division at The Juilliard School and held this position from"
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Malko Tarnovo Municipality
What is the performer of Heartbeat named after?,Natalie Albino,Nina Sky
The author of Elizabeth and After attended which university?,University of Toronto,University of Toronto
What year did the publisher of Labyrinth end?,1986,1999
The food safety system of the agency that has the authority to decide if a drug is marketed otc or prescription is known as?,Food Safety Modernization Act (FSMA),FDA
Who is the president of the newly declared independent country that has a Commission of Truth and Friendship with the country where Ambelau is located?,Francisco Guterres,Francisco Guterres
Who was the British general in the battle named after the birth city of the person who recorded Mother-in-Law?,General Edward Pakenham,Edward Pakenham
