task_id	dataset	method	rate	start	end
0	musique-v2	online_draft	0.15	0	25
1	2wikimqa-v2	online_draft	0.15	0	25
2	hotpotqa-v2	online_draft	0.15	0	25
3	triviaqa-v2	online_draft	0.15	0	25
4	musique-v2	online_draft	0.15	25	50
5	2wikimqa-v2	online_draft	0.15	25	50
6	hotpotqa-v2	online_draft	0.15	25	50
7	triviaqa-v2	online_draft	0.15	25	50
8	musique-v2	online_draft	0.15	50	75
9	2wikimqa-v2	online_draft	0.15	50	75
10	hotpotqa-v2	online_draft	0.15	50	75
11	triviaqa-v2	online_draft	0.15	50	75
12	musique-v2	online_draft	0.15	75	100
13	2wikimqa-v2	online_draft	0.15	75	100
14	hotpotqa-v2	online_draft	0.15	75	100
15	triviaqa-v2	online_draft	0.15	75	100
16	musique-v2	online_draft	0.15	100	125
17	2wikimqa-v2	online_draft	0.15	100	125
18	hotpotqa-v2	online_draft	0.15	100	125
19	triviaqa-v2	online_draft	0.15	100	125
20	musique-v2	online_draft	0.15	125	150
21	2wikimqa-v2	online_draft	0.15	125	150
22	hotpotqa-v2	online_draft	0.15	125	150
23	triviaqa-v2	online_draft	0.15	125	150
24	musique-v2	online_draft	0.15	150	175
25	2wikimqa-v2	online_draft	0.15	150	175
26	hotpotqa-v2	online_draft	0.15	150	175
27	triviaqa-v2	online_draft	0.15	150	175
28	musique-v2	online_draft	0.15	175	200
29	2wikimqa-v2	online_draft	0.15	175	200
30	hotpotqa-v2	online_draft	0.15	175	200
31	triviaqa-v2	online_draft	0.15	175	200
32	hotpotqa-v2	online_draft	0.15	200	225
33	triviaqa-v2	online_draft	0.15	200	225
34	hotpotqa-v2	online_draft	0.15	225	250
35	triviaqa-v2	online_draft	0.15	225	250
36	hotpotqa-v2	online_draft	0.15	250	260
37	triviaqa-v2	online_draft	0.15	250	270
38	musique-v2	uniform_alpha0p1_draft	0.15	0	25
39	2wikimqa-v2	uniform_alpha0p1_draft	0.15	0	25
40	hotpotqa-v2	uniform_alpha0p1_draft	0.15	0	25
41	triviaqa-v2	uniform_alpha0p1_draft	0.15	0	25
42	musique-v2	uniform_alpha0p1_draft	0.15	25	50
43	2wikimqa-v2	uniform_alpha0p1_draft	0.15	25	50
44	hotpotqa-v2	uniform_alpha0p1_draft	0.15	25	50
45	triviaqa-v2	uniform_alpha0p1_draft	0.15	25	50
46	musique-v2	uniform_alpha0p1_draft	0.15	50	75
47	2wikimqa-v2	uniform_alpha0p1_draft	0.15	50	75
48	hotpotqa-v2	uniform_alpha0p1_draft	0.15	50	75
49	triviaqa-v2	uniform_alpha0p1_draft	0.15	50	75
50	musique-v2	uniform_alpha0p1_draft	0.15	75	100
51	2wikimqa-v2	uniform_alpha0p1_draft	0.15	75	100
52	hotpotqa-v2	uniform_alpha0p1_draft	0.15	75	100
53	triviaqa-v2	uniform_alpha0p1_draft	0.15	75	100
54	musique-v2	uniform_alpha0p1_draft	0.15	100	125
55	2wikimqa-v2	uniform_alpha0p1_draft	0.15	100	125
56	hotpotqa-v2	uniform_alpha0p1_draft	0.15	100	125
57	triviaqa-v2	uniform_alpha0p1_draft	0.15	100	125
58	musique-v2	uniform_alpha0p1_draft	0.15	125	150
59	2wikimqa-v2	uniform_alpha0p1_draft	0.15	125	150
60	hotpotqa-v2	uniform_alpha0p1_draft	0.15	125	150
61	triviaqa-v2	uniform_alpha0p1_draft	0.15	125	150
62	musique-v2	uniform_alpha0p1_draft	0.15	150	175
63	2wikimqa-v2	uniform_alpha0p1_draft	0.15	150	175
64	hotpotqa-v2	uniform_alpha0p1_draft	0.15	150	175
65	triviaqa-v2	uniform_alpha0p1_draft	0.15	150	175
66	musique-v2	uniform_alpha0p1_draft	0.15	175	200
67	2wikimqa-v2	uniform_alpha0p1_draft	0.15	175	200
68	hotpotqa-v2	uniform_alpha0p1_draft	0.15	175	200
69	triviaqa-v2	uniform_alpha0p1_draft	0.15	175	200
70	hotpotqa-v2	uniform_alpha0p1_draft	0.15	200	225
71	triviaqa-v2	uniform_alpha0p1_draft	0.15	200	225
72	hotpotqa-v2	uniform_alpha0p1_draft	0.15	225	250
73	triviaqa-v2	uniform_alpha0p1_draft	0.15	225	250
74	hotpotqa-v2	uniform_alpha0p1_draft	0.15	250	260
75	triviaqa-v2	uniform_alpha0p1_draft	0.15	250	270
