Question,Real Answer,Pred Answer
"Which film has the director who was born earlier, Dhuen Ki Lakeer or Bomma Borusa?",Dhuen Ki Lakeer,Bomma Borusa
"Which film has the director who was born first, Perdón, Viejita or Smokey And The Bandit?","Perdón, Viejita","Perdón, Viejita"
Where did the director of film American Gothic (2007 Film) graduate from?,University of Wisconsin,University of Wisconsin-Madison
Was Dudley Russell or Juan René Serrano born first?,Dudley Russell,Dudley Russell
"Who was born first, Vytautas Straižys or Mirjam Polkunen?",Mirjam Polkunen,Vytautas Straižys
Where did Grand Duchess Elena Vladimirovna Of Russia's father die?,Saint Petersburg,1933
Where was the director of film The Dinner (2013 Film) born?,Eindhoven,Dutch
"Which magazine was established first, Women'S Suffrage Journal or Mostar (Magazine)?",Women'S Suffrage Journal,Women's Suffrage Journal
What is the place of birth of Carrie Watson Fleming's husband?,"Fairmont, West Virginia","Fairmont, West Virginia"
"Which film has the director who died earlier, Mayor Muthanna or The Market Of Souls?",The Market Of Souls,The Market of Souls
"Do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?",yes,no
Where was the father of Muhammad Al-Nasir born?,Morocco,"Karachi, Pakistan"
Where was the place of death of Enheduanna's father?,Akkadian empire,Akkad
"Which film whose director was born first, Solemn Promise or Tarzan The Magnificent?",Tarzan The Magnificent,Solemn Promise
"Which film has the director who was born later, The Man Is Armed or Wolf Warrior?",Wolf Warrior,Wolf Warrior
Who is the paternal grandfather of Trịnh Doanh?,Trịnh Bính,"The question is about the paternal grandfather of Trịnh Doanh, who is mentioned in Passage 4. According to the passage, Trịnh Doanh was the son of Trịnh Cương. Therefore, the paternal grandfather of"
Where was the director of film Hellcats Of The Navy born?,Gura Humorului,"Shenandoah, Pennsylvania"
Where was the performer of song Feelin' Myself (Nipsey Hussle Song) born?,Crenshaw,"Nipsey Hussle was born in Los Angeles, California."
"Which film whose director is younger, Winter Sleepers or Poveri Milionari?",Winter Sleepers,Poveri Milionari
