index,Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason,glm_raw
120,"What did the singer of ""Moon River"" in the movie Breakfast at Tiffany win a Tony for?",for Best Performance by a Leading Actress in a Play in Ondine,Best Actor in 1950,False,0.1111111111111111,False,预测答案“Best Actor in 1950”与标准答案“for Best Performance by a Leading Actress in a Play in Ondine”完全不符。预测答案不仅给出了错误的获奖年份，还错误地将奖项类别说成了“Best Actor”（最佳男主角），而标准答案明确指出是“Leading Actress in a Play”（最佳话剧女主角）且剧名为“Ondine”。因此，预测答案没有包含标准答案的关键信息，语义上也不等价。,"判断: 错误
原因: 预测答案“Best Actor in 1950”与标准答案“for Best Performance by a Leading Actress in a Play in Ondine”完全不符。预测答案不仅给出了错误的获奖年份，还错误地将奖项类别说成了“Best Actor”（最佳男主角），而标准答案明确指出是“Leading Actress in a Play”（最佳话剧女主角）且剧名为“Ondine”。因此，预测答案没有包含标准答案的关键信息，语义上也不等价。"
121,Where is the headquarter of the Radio Television of the country whose co-official language is the same as the one Politika is written in?,Pristina,Belgrade,False,0.0,False,预测答案“Belgrade”与标准答案“Pristina”是两个完全不同的地点。虽然Politika使用的语言是塞尔维亚语，但该问题所指向的特定广播电视机构总部位于Pristina，而不是Belgrade，因此预测答案不正确。,"判断: 错误
原因: 预测答案“Belgrade”与标准答案“Pristina”是两个完全不同的地点。虽然Politika使用的语言是塞尔维亚语，但该问题所指向的特定广播电视机构总部位于Pristina，而不是Belgrade，因此预测答案不正确。"
122,What is the source of the river of which Kraai River is a tributary?,Thaba Putsoa,Orange River,False,0.0,False,预测答案“Orange River”与标准答案“Thaba Putsoa”在语义上并不等价，且未包含标准答案的关键信息。两者指代的是不同的地理实体，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案“Orange River”与标准答案“Thaba Putsoa”在语义上并不等价，且未包含标准答案的关键信息。两者指代的是不同的地理实体，因此预测答案未能正确回答问题。"
123,Who played the girlfriend of Chance's voice actor in Homeward Bound in Back to the Future?,Claudia Wells,Lea Thompson,False,0.0,False,预测答案给出的演员是Lea Thompson，而标准答案是Claudia Wells。两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的演员是Lea Thompson，而标准答案是Claudia Wells。两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此判断为错误。"
124,Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,Mr. Lawrence,Mary Jo Catlett,False,0.0,False,预测答案“Mary Jo Catlett”与标准答案“Mr. Lawrence”完全不一致。Mary Jo Catlett 是《海绵宝宝》中Pearl的配音演员，而问题所问的角色（Larry the Lobster）的配音演员是Mr. Lawrence，因此预测答案未能包含正确信息。,"判断: 错误
原因: 预测答案“Mary Jo Catlett”与标准答案“Mr. Lawrence”完全不一致。Mary Jo Catlett 是《海绵宝宝》中Pearl的配音演员，而问题所问的角色（Larry the Lobster）的配音演员是Mr. Lawrence，因此预测答案未能包含正确信息。"
125,Between which years did war with the person for whom Pyrrhic victory is named occur?,323–272 BC,280 BC to 272 BC,False,0.5,False,预测答案给出的年份范围是280 BC到272 BC，而标准答案的起始年份是323 BC。两者在起始年份上存在明显差异，预测答案未能包含标准答案的全部关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的年份范围是280 BC到272 BC，而标准答案的起始年份是323 BC。两者在起始年份上存在明显差异，预测答案未能包含标准答案的全部关键信息，因此判断为错误。"
126,MV Miralda's owner announced it was in the process of doing what in April 2010?,trying to find a potential buyer for all of its operations in Finland,selling its operations in Finland and conducting market research for Swedish operations,False,0.48000000000000004,False,预测答案虽然包含了“selling its operations in Finland”这一与标准答案核心语义相符的关键信息，但它额外添加了“conducting market research for Swedish operations”这一无关内容。这导致预测答案在语义上超出了标准答案的范围，未能准确且纯粹地回答问题，因此判断为错误。,"判断: 错误
原因: 预测答案虽然包含了“selling its operations in Finland”这一与标准答案核心语义相符的关键信息，但它额外添加了“conducting market research for Swedish operations”这一无关内容。这导致预测答案在语义上超出了标准答案的范围，未能准确且纯粹地回答问题，因此判断为错误。"
127,When did the Battle at Choo Hoey's birthplace end?,15 February 1942,The Battle of Palembang ended on 15 February 1942.,False,0.6666666666666666,True,预测答案明确指出了战役结束的时间为“15 February 1942”，这与标准答案完全一致。虽然预测答案补充了战役的具体名称，但核心的时间信息与标准答案在语义上完全等价，正确回答了问题。,"判断: 正确
原因: 预测答案明确指出了战役结束的时间为“15 February 1942”，这与标准答案完全一致。虽然预测答案补充了战役的具体名称，但核心的时间信息与标准答案在语义上完全等价，正确回答了问题。"
128,Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sumardi was born?,Francisco Guterres,Joko Widodo,False,0.0,False,预测答案“Joko Widodo”与标准答案“Francisco Guterres”完全不同。问题询问的是与Sumardi出生国（印尼）共同组成真相与友谊委员会的新独立国家（东帝汶）的总统，正确答案应为东帝汶总统Francisco Guterres，而Joko Widodo是印尼总统，因此预测答案错误。,"判断: 错误
原因: 预测答案“Joko Widodo”与标准答案“Francisco Guterres”完全不同。问题询问的是与Sumardi出生国（印尼）共同组成真相与友谊委员会的新独立国家（东帝汶）的总统，正确答案应为东帝汶总统Francisco Guterres，而Joko Widodo是印尼总统，因此预测答案错误。"
129,Who wrote the song The Story sung by the performer of Give Up the Ghost?,Phil Hanseroth,Brandi Carlile,False,0.0,False,预测答案“Brandi Carlile”与标准答案“Phil Hanseroth”不一致。Brandi Carlile是演唱这首歌的表演者，而不是这首歌的创作者，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案“Brandi Carlile”与标准答案“Phil Hanseroth”不一致。Brandi Carlile是演唱这首歌的表演者，而不是这首歌的创作者，因此预测答案未能正确回答问题。"
