main_question,online_qk,online_draft,offline_hybrid70
"According to the agency that published U.S. and World Population Clock, what is the total area in square miles?",True,True,True
"According to the developer of Topologically Integrated Geographic Encoding and Referencing, what is the total area of Atlantic City in square miles?",True,True,True
Bancroft's county borders what county?,False,False,True
How old was Mary when engaged to the person from whom São José dos Campos takes it's name?,True,True,True
"In 2002, what company merged with the top PC manufacturer from 1994?",True,True,True
"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",False,True,False
"In the King's Speech, who played the person who was the King of England in 1950?",True,True,True
In what county is William W. Blair's birthplace located?,True,True,True
In which borough was Callum McManaman born?,True,True,True
In which county did Snappy Tomato Pizza form?,False,False,False
In which county is Kimbrough Memorial Stadium located?,True,True,True
In which county is Mark Dismore's birthplace located?,True,False,True
In which county is Southern Maryland Electric Cooperative headquartered?,True,True,True
In which county was James Finch born?,False,False,True
In which district was Alhandra born?,True,True,True
In which district was Ernie Watts born?,True,True,True
In which state is Póvoa de Santa Iria's municipality located?,True,True,True
In which state is Vera Barbosa's place of birth located?,True,True,True
Of which river is the river Kichi Sipi Bridge crosses a tributary?,False,False,True
"Since 2004, what is the location of the body to which, if a matter is not specifically reserved, it is devolved?",True,True,True
The 1967 Federation Cup is an instance of this tournament which is named after what organization?,True,True,True
The Directory of Public Worship was approved by a parliament whose modern equivalent has been based where since 2004?,False,True,True
The Nicole and Natalie album's band is named after who?,True,True,True
The Unwinding author volunteered for which organisation?,False,False,True
"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",True,True,True
The city which contains Broadhurst Park shares a border with what town?,False,True,True
The territory containing Bansaan Island is located at which island?,True,True,True
This is an instance of who was named commander in chief of texas forces by the new national government of texas National Forest?,True,True,True
What administrative territorial entity contains the place where KPRM is licensed to broadcast to?,True,True,True
What administrative territorial entity is the owner of Ciudad Deportiva located?,True,True,True
What award did the author of The Red Tree receive?,True,True,True
What award was received by the person who authored Missing Person?,False,True,False
What body of water includes the terrain feature where Coffee Swamp is located?,True,True,True
What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,False,True,True
What city is located in the county containing Qiantong?,True,False,True
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,True,True,True
What company succeeded the owner of Empire Sports Network?,False,True,True
What county is the NRHEG High School located in?,True,True,True
What county shares a border with Cedar Springs?,False,False,False
What county was Tim Dubois born in?,True,True,True
What district is the headquarter of Julia's House located?,True,True,True
What event caused the Liberal Party of Australia's longest-serving leader to become Prime Minister?,False,False,False
What event caused the founder of Australia's liberal party to become Prime Minister?,False,False,False
What film features Anil Devgan's sibling?,False,False,True
What happened to the Curonians who lived in the area where Erich Zakowski was born?,False,False,True
What is a notable work written by the author of The Timothy files?,True,True,True
What is another notable work made by the author of Miss Sara Sampson?,True,True,True
What is the capital of the county that Pine Springs is located in?,False,True,True
What is the competition that the 1965 Federation Cup is part of named after?,True,False,True
What is the competition the 1972 Federation Cup is part of named after?,True,True,True
What is the goal of the group that European Movement Germany is a member of?,True,True,True
What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,False,True,False
"What is the movie starring Preity Zinta, Madhuri Dixit and the spouse of Kajol?",True,True,False
What is the network which National Cycle Route 57 is part of an example of?,True,True,True
What is the place of birth of the person who submitted the first version of the equal rights amendment to congress in 1923?,True,True,True
What is the record label for the singer who originally sang You Belong To Me.,True,False,False
What is the record label of the Metalworks Studio founder?,False,False,False
What is the river that the Kettle Generating Station is located on a tributary of?,False,True,False
What is the ruler of the underworld in ancient Egypt a part of?,True,True,True
What is the seat of the county where Van Hook Township is located?,False,False,False
What military overran much of Erich Zakowski's place of birth?,False,False,True
What other county does the county where Imperial is located share a border with?,True,True,False
What pantheon is the God of the underworld in ancient Egypt a part of?,True,True,False
