Question,Real Answer,Pred Answer
Who is the spouse of the director of film Streets Of Blood?,Sandra Nelson,Val Kilmer
When is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669",1669
"Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",Palencia,"Sancha of Castile, Queen of Navarre's mother was Berengaria of Barcelona. Berengaria of Barcelona died in Palencia."
"Which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",Miley Naa Miley Hum,Dance With A Stranger
"Which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?",Tom Mix In Arabia,Space Probe Taurus
"Which film has the director died later, Seven In The Sun or Daughter Of The Jungle?",Seven In The Sun,Seven in the Sun
"Which film was released first, Vacations In Majorca or Dr. Socrates?",Dr. Socrates,Dr. Socrates
"Which film has the director born later, Woman In The Moon or Changeland?",Changeland,Changeland
"Who is younger, Peter Rosegger or Ruel Redinger?",Ruel Redinger,Peter Rosegger
Who is Pyotr Karatygin's sibling-in-law?,Alexandra Kolosova,Vasily Karatygin
Who is the spouse of the performer of song This Time (Waylon Jennings Song)?,Jessi Colter,Jessi Colter
Are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,yes
"Who died first, Erich Haenisch or William Pooley?",William Pooley,William Pooley
What nationality is the performer of song You Can?,Sweden,Answer: German
Do Nick Varner and Carl Duser share the same nationality?,yes,yes
"Which film has the director who died earlier, Melody Of The World or Ladies Love Danger?",Melody Of The World,Ladies Love Danger
Where was the place of death of the composer of film Miracle Of Marcelino?,Madrid,Madrid
Who is the mother of the director of film Atomised (Film)?,Gisela Elsner,Kekuʻiapoiwa II
"Which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",La Belle Américaine,The Great Man's Lady
What is the place of birth of the director of film Sweepstakes (Film)?,"Oklahoma City, Oklahoma",Dublin
Where was the place of death of Shahnawaz Bhutto's mother?,Dubai,Garhi Khuda Baksh
Where was the performer of song Égérie (Song) born?,La Trinité,France
Who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,Prince Albert of Prussia,Ludwig von Westphalen
Are Gut (Crișul Alb) and Gepiș both located in the same country?,yes,yes
Where was the place of death of Anne Devereux's husband?,Banbury,"Answer: Anne Devereux's husband was William Herbert, 1st Earl of Pembroke. The place of his death is not explicitly mentioned in the provided passages."
"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet","Sir Paul Gore, 1st Baronet"
Which country Nizar Al-Mustafa's father is from?,Fatimid caliphate,Egypt
Where was the wife of Lou Breslow born?,"Dayton, Ohio","Dayton, Ohio"
Who is the spouse of the director of film Ann Carver'S Profession?,Ona Munson,Gustav III
"Which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,The Drover's Sweetheart
What is the place of birth of the director of film Bhagirathi (Film)?,Tumkur,"Marshall, Indiana"
"Which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,Closely Watched Trains
"Which film has the director who died earlier, Il Gaucho or Bomgay?",Bomgay,Bomgay
Where was the place of death of Maria (Wife Of Boris I Of Bulgaria)'s husband?,Preslav,907
"Which film came out first, The Pyrammmid or Revolt Of The Praetorians?",Revolt Of The Praetorians,Revolt of the Praetorians
Are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,yes
What is the cause of death of Constantia Eriksdotter's father?,poisoning,arsenic poisoning
What nationality is the director of film Postmortem (1998 Film)?,America,Answer: American
Which country Keōpūolani's husband is from?,Kingdom of Hawaii,Kazakhstan
