/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  2.86it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  3.73it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  3.57it/s]
teacher pair=250 top=57 score_mean=0.144366
teacher pair=251 top=57 score_mean=0.144366
teacher pair=252 top=57 score_mean=0.144366
teacher pair=253 top=57 score_mean=0.144366
teacher pair=254 top=57 score_mean=0.144366
teacher pair=255 top=57 score_mean=0.144366
teacher pair=256 top=57 score_mean=0.144366
teacher pair=257 top=57 score_mean=0.144366
teacher pair=258 top=57 score_mean=0.144366
teacher pair=259 top=57 score_mean=0.144366
teacher pair=260 top=57 score_mean=0.144366
teacher pair=261 top=57 score_mean=0.144366
teacher pair=262 top=57 score_mean=0.144366
teacher pair=263 top=57 score_mean=0.144366
teacher pair=264 top=57 score_mean=0.144366
teacher pair=265 top=57 score_mean=0.144366
teacher pair=266 top=57 score_mean=0.144366
teacher pair=267 top=57 score_mean=0.144366
teacher pair=268 top=57 score_mean=0.144366
teacher pair=269 top=57 score_mean=0.144366
teacher pair=270 top=57 score_mean=0.144366
teacher pair=271 top=57 score_mean=0.144366
teacher pair=272 top=57 score_mean=0.144366
teacher pair=273 top=57 score_mean=0.144366
teacher pair=274 top=57 score_mean=0.144366
teacher pair=275 top=57 score_mean=0.144366
teacher pair=276 top=57 score_mean=0.144366
teacher pair=277 top=57 score_mean=0.144366
teacher pair=278 top=57 score_mean=0.144366
teacher pair=279 top=57 score_mean=0.144366
teacher pair=280 top=57 score_mean=0.144366
teacher pair=281 top=57 score_mean=0.144366
teacher pair=282 top=57 score_mean=0.144366
teacher pair=283 top=57 score_mean=0.144366
teacher pair=284 top=57 score_mean=0.144366
teacher pair=285 top=57 score_mean=0.144366
teacher pair=286 top=57 score_mean=0.144366
teacher pair=287 top=57 score_mean=0.144366
teacher pair=288 top=57 score_mean=0.144366
teacher pair=289 top=57 score_mean=0.144366
teacher pair=290 top=57 score_mean=0.144366
teacher pair=291 top=57 score_mean=0.144366
teacher pair=292 top=57 score_mean=0.144366
teacher pair=293 top=57 score_mean=0.144366
teacher pair=294 top=57 score_mean=0.144366
teacher pair=295 top=57 score_mean=0.144366
teacher pair=296 top=57 score_mean=0.144366
teacher pair=297 top=57 score_mean=0.144366
teacher pair=298 top=57 score_mean=0.144366
teacher pair=299 top=57 score_mean=0.144366
teacher pair=300 top=57 score_mean=0.144366
teacher pair=301 top=57 score_mean=0.144366
teacher pair=302 top=57 score_mean=0.144366
teacher pair=303 top=57 score_mean=0.144366
teacher pair=304 top=57 score_mean=0.144366
teacher pair=305 top=57 score_mean=0.144366
teacher pair=306 top=57 score_mean=0.144366
teacher pair=307 top=57 score_mean=0.144366
teacher pair=308 top=57 score_mean=0.144366
teacher pair=309 top=57 score_mean=0.144366
teacher pair=310 top=57 score_mean=0.144366
teacher pair=311 top=57 score_mean=0.144366
teacher pair=312 top=57 score_mean=0.144366
teacher pair=313 top=57 score_mean=0.144366
teacher pair=314 top=57 score_mean=0.144366
teacher pair=315 top=57 score_mean=0.144366
teacher pair=316 top=57 score_mean=0.144366
teacher pair=317 top=57 score_mean=0.144366
teacher pair=318 top=57 score_mean=0.144366
teacher pair=319 top=57 score_mean=0.144366
teacher pair=320 top=57 score_mean=0.144366
teacher pair=321 top=57 score_mean=0.144366
teacher pair=322 top=57 score_mean=0.144366
teacher pair=323 top=57 score_mean=0.144366
teacher pair=324 top=57 score_mean=0.144366
teacher pair=325 top=57 score_mean=0.144366
teacher pair=326 top=57 score_mean=0.144366
teacher pair=327 top=57 score_mean=0.144366
teacher pair=328 top=57 score_mean=0.144366
teacher pair=329 top=57 score_mean=0.144366
teacher pair=330 top=57 score_mean=0.144366
teacher pair=331 top=57 score_mean=0.144366
teacher pair=332 top=57 score_mean=0.144366
teacher pair=333 top=57 score_mean=0.144366
teacher pair=334 top=57 score_mean=0.144366
teacher pair=335 top=57 score_mean=0.144366
teacher pair=336 top=57 score_mean=0.144366
teacher pair=337 top=57 score_mean=0.144366
teacher pair=338 top=57 score_mean=0.144366
teacher pair=339 top=57 score_mean=0.144366
teacher pair=340 top=57 score_mean=0.144366
teacher pair=341 top=57 score_mean=0.144366
teacher pair=342 top=57 score_mean=0.144366
teacher pair=343 top=57 score_mean=0.144366
teacher pair=344 top=57 score_mean=0.144366
teacher pair=345 top=57 score_mean=0.144366
teacher pair=346 top=57 score_mean=0.144366
teacher pair=347 top=57 score_mean=0.144366
teacher pair=348 top=57 score_mean=0.144366
teacher pair=349 top=57 score_mean=0.144366
teacher pair=350 top=57 score_mean=0.144366
teacher pair=351 top=57 score_mean=0.144366
teacher pair=352 top=57 score_mean=0.144366
teacher pair=353 top=57 score_mean=0.144366
teacher pair=354 top=57 score_mean=0.144366
teacher pair=355 top=57 score_mean=0.144366
teacher pair=356 top=57 score_mean=0.144366
teacher pair=357 top=57 score_mean=0.144366
teacher pair=358 top=57 score_mean=0.144366
teacher pair=359 top=57 score_mean=0.144366
teacher pair=360 top=57 score_mean=0.144366
teacher pair=361 top=57 score_mean=0.144366
teacher pair=362 top=57 score_mean=0.144366
teacher pair=363 top=57 score_mean=0.144366
teacher pair=364 top=57 score_mean=0.144366
teacher pair=365 top=57 score_mean=0.144366
teacher pair=366 top=57 score_mean=0.144366
teacher pair=367 top=57 score_mean=0.144366
teacher pair=368 top=57 score_mean=0.144366
teacher pair=369 top=57 score_mean=0.144366
teacher pair=370 top=57 score_mean=0.144366
teacher pair=371 top=57 score_mean=0.144366
teacher pair=372 top=57 score_mean=0.144366
teacher pair=373 top=57 score_mean=0.144366
teacher pair=374 top=57 score_mean=0.144366
teacher pair=375 top=57 score_mean=0.144366
teacher pair=376 top=57 score_mean=0.144366
teacher pair=377 top=57 score_mean=0.144366
teacher pair=378 top=57 score_mean=0.144366
teacher pair=379 top=57 score_mean=0.144366
teacher pair=380 top=57 score_mean=0.144366
teacher pair=381 top=57 score_mean=0.144366
teacher pair=382 top=57 score_mean=0.144366
teacher pair=383 top=57 score_mean=0.144366
teacher pair=384 top=57 score_mean=0.144366
teacher pair=385 top=57 score_mean=0.144366
teacher pair=386 top=57 score_mean=0.144366
teacher pair=387 top=57 score_mean=0.144366
teacher pair=388 top=57 score_mean=0.144366
teacher pair=389 top=57 score_mean=0.144366
teacher pair=390 top=57 score_mean=0.144366
teacher pair=391 top=57 score_mean=0.144366
teacher pair=392 top=57 score_mean=0.144366
teacher pair=393 top=57 score_mean=0.144366
teacher pair=394 top=57 score_mean=0.144366
teacher pair=395 top=57 score_mean=0.144366
teacher pair=396 top=57 score_mean=0.144366
teacher pair=397 top=57 score_mean=0.144366
teacher pair=398 top=57 score_mean=0.144366
teacher pair=399 top=57 score_mean=0.144366
teacher pair=400 top=57 score_mean=0.144366
teacher pair=401 top=57 score_mean=0.144366
teacher pair=402 top=57 score_mean=0.144366
teacher pair=403 top=57 score_mean=0.144366
teacher pair=404 top=57 score_mean=0.144366
teacher pair=405 top=57 score_mean=0.144366
teacher pair=406 top=57 score_mean=0.144366
teacher pair=407 top=57 score_mean=0.144366
teacher pair=408 top=57 score_mean=0.144366
teacher pair=409 top=57 score_mean=0.144366
teacher pair=410 top=57 score_mean=0.144366
teacher pair=411 top=57 score_mean=0.144366
teacher pair=412 top=57 score_mean=0.144366
teacher pair=413 top=57 score_mean=0.144366
teacher pair=414 top=57 score_mean=0.144366
teacher pair=415 top=57 score_mean=0.144366
teacher pair=416 top=57 score_mean=0.144366
teacher pair=417 top=57 score_mean=0.144366
teacher pair=418 top=57 score_mean=0.144366
teacher pair=419 top=57 score_mean=0.144366
teacher pair=420 top=57 score_mean=0.144366
teacher pair=421 top=57 score_mean=0.144366
teacher pair=422 top=57 score_mean=0.144366
teacher pair=423 top=57 score_mean=0.144366
teacher pair=424 top=57 score_mean=0.144366
teacher pair=425 top=57 score_mean=0.144366
teacher pair=426 top=57 score_mean=0.144366
teacher pair=427 top=57 score_mean=0.144366
teacher pair=428 top=57 score_mean=0.144366
teacher pair=429 top=57 score_mean=0.144366
teacher pair=430 top=57 score_mean=0.144366
teacher pair=431 top=57 score_mean=0.144366
teacher pair=432 top=57 score_mean=0.144366
teacher pair=433 top=57 score_mean=0.144366
teacher pair=434 top=57 score_mean=0.144366
teacher pair=435 top=57 score_mean=0.144366
teacher pair=436 top=57 score_mean=0.144366
teacher pair=437 top=57 score_mean=0.144366
teacher pair=438 top=57 score_mean=0.144366
teacher pair=439 top=57 score_mean=0.144366
teacher pair=440 top=57 score_mean=0.144366
teacher pair=441 top=57 score_mean=0.144366
teacher pair=442 top=57 score_mean=0.144366
teacher pair=443 top=57 score_mean=0.144366
teacher pair=444 top=57 score_mean=0.144366
teacher pair=445 top=57 score_mean=0.144366
teacher pair=446 top=57 score_mean=0.144366
teacher pair=447 top=57 score_mean=0.144366
teacher pair=448 top=57 score_mean=0.144366
teacher pair=449 top=57 score_mean=0.144366
teacher pair=450 top=57 score_mean=0.144366
teacher pair=451 top=57 score_mean=0.144366
teacher pair=452 top=57 score_mean=0.144366
teacher pair=453 top=57 score_mean=0.144366
teacher pair=454 top=57 score_mean=0.144366
teacher pair=455 top=57 score_mean=0.144366
teacher pair=456 top=57 score_mean=0.144366
teacher pair=457 top=57 score_mean=0.144366
teacher pair=458 top=57 score_mean=0.144366
teacher pair=459 top=57 score_mean=0.144366
teacher pair=460 top=57 score_mean=0.144366
teacher pair=461 top=57 score_mean=0.144366
teacher pair=462 top=57 score_mean=0.144366
teacher pair=463 top=57 score_mean=0.144366
teacher pair=464 top=57 score_mean=0.144366
teacher pair=465 top=57 score_mean=0.144366
teacher pair=466 top=57 score_mean=0.144366
teacher pair=467 top=57 score_mean=0.144366
teacher pair=468 top=57 score_mean=0.144366
teacher pair=469 top=57 score_mean=0.144366
teacher pair=470 top=57 score_mean=0.144366
teacher pair=471 top=57 score_mean=0.144366
teacher pair=472 top=57 score_mean=0.144366
teacher pair=473 top=57 score_mean=0.144366
teacher pair=474 top=57 score_mean=0.144366
teacher pair=475 top=57 score_mean=0.144366
teacher pair=476 top=57 score_mean=0.144366
teacher pair=477 top=57 score_mean=0.144366
teacher pair=478 top=57 score_mean=0.144366
teacher pair=479 top=57 score_mean=0.144366
teacher pair=480 top=57 score_mean=0.144366
teacher pair=481 top=57 score_mean=0.144366
teacher pair=482 top=57 score_mean=0.144366
teacher pair=483 top=57 score_mean=0.144366
teacher pair=484 top=57 score_mean=0.144366
teacher pair=485 top=57 score_mean=0.144366
teacher pair=486 top=57 score_mean=0.144366
teacher pair=487 top=57 score_mean=0.144366
teacher pair=488 top=57 score_mean=0.144366
teacher pair=489 top=57 score_mean=0.144366
teacher pair=490 top=57 score_mean=0.144366
teacher pair=491 top=57 score_mean=0.144366
teacher pair=492 top=57 score_mean=0.144366
teacher pair=493 top=57 score_mean=0.144366
teacher pair=494 top=57 score_mean=0.144366
teacher pair=495 top=57 score_mean=0.144366
teacher pair=496 top=57 score_mean=0.144366
teacher pair=497 top=57 score_mean=0.144366
teacher pair=498 top=57 score_mean=0.144366
teacher pair=499 top=57 score_mean=0.144366
wrote 250 teacher files to /raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/predictor_distill_wikitext/teacher_cache_2k
