Question,Real Answer,Pred Answer
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,James Meredith
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,The prize named after the author of *Lectures on Jurisprudence* is the **Adam Smith Prize**. It is given by the **University of Cambridge** as part of the Economics Tripos.
Who is Frances Freeling Broderip's sibling?,Tom Hood,Tom Hood
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,Jennifer Connelly
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,Orange River
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,The party that gained control of Congress in the midterm elections in 1946 was the Republican Party. The government branch that determines the rules of the US House is the House of Representatives. The Republicans gained control of the
Where did the producer of Julius Caesar study or work?,Clifton College,John Houseman studied or worked at Clifton College in England.
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Malko Tarnovo
What is the performer of Heartbeat named after?,Natalie Albino,Adelaide Malanotte
