Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason
Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Salma Hayek,0.0,0.0,False,预测答案给出的演员是Salma Hayek，而标准答案是Maria Bello。两者在人物指代上完全不同，预测答案没有包含标准答案的关键信息，且语义上不等价，因此判断为错误。
What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,James Chadwick was a participant of the Manhattan Project.,0.0,0.33333333333333337,True,预测答案明确指出了提供中子存在证据的人是James Chadwick，并且正确回答了他参与的是Manhattan Project，包含了标准答案的关键信息，语义完全一致。
In which borough was Callum McManaman born?,Knowsley,Whiston,0.0,0.0,False,预测答案“Whiston”与标准答案“Knowsley”是两个不同的地名，预测答案没有包含标准答案的关键信息，两者在语义上也不等价，因此未能正确回答问题。
Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot,1.0,1.0,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，正确地回答了问题。
Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Joy Harmon,0.0,0.0,False,预测答案“Joy Harmon”与标准答案“Sherry Boucher”不一致。在《A-Team》中饰演汉尼拔·史密斯的演员是乔治·佩帕德，他的配偶是谢里·布彻，因此预测答案未能包含标准答案的关键信息，回答错误。
When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2019,0.0,0.4444444444444444,False,预测答案“2019”与标准答案“1 December 2010”在时间信息上完全不一致，且不包含标准答案的关键信息，因此未能正确回答问题。
Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: Stuart Epps,0.0,0.0,False,预测答案“Stuart Epps”与标准答案“Tatum O'Neal”完全不同，两者既不包含相同的关键信息，在语义上也不等价，因此预测答案未能正确回答问题。
How many times did plague occur in the birthplace of La Silvia's composer?,22,3,0.0,0.0,False,预测答案给出的数字是3，而标准答案明确指出瘟疫发生的次数是22。两者在数值上完全不一致，且语义上不等价，因此预测答案未能正确回答问题。
When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1.0,1.0,True,预测答案“1912”与标准答案“1912”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题所问的时间点。
What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,0.0,0.25,True,预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”中的核心关键信息。两者在语义上完全等价，仅仅是省略了全称和连字符的细微格式差异，不影响对问题的正确回答。
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,James Meredith,0.0,0.7499999999999999,True,预测答案“James Meredith”与标准答案“James Howard Meredith”指的是同一个人。预测答案包含了标准答案的核心姓名信息，省略中间名属于措辞上的细微差异，两者在语义上完全等价，正确回答了问题。
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,The Adam Smith Prize is given out by the Royal Society of Chemistry.,0.0,0.14285714285714288,False,预测答案给出的颁发机构是“英国皇家化学学会”，而标准答案是“剑桥大学”。两者在语义上完全不一致，且预测答案未能包含标准答案的关键信息，因此判断为错误。
Who is Frances Freeling Broderip's sibling?,Tom Hood,Tom Hood,1.0,1.0,True,预测答案“Tom Hood”与标准答案完全一致，准确地包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于Frances Freeling Broderip的兄弟姐妹是谁的问题。
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,LaTanya Richardson Jackson,0.0,0.0,False,预测答案“LaTanya Richardson Jackson”与标准答案“Jennifer Connelly”完全不同。在电影《钢铁侠》中为贾维斯（Jarvis）配音的演员是保罗·贝坦尼，其配偶是詹妮弗·康纳利，因此预测答案未能包含正确信息。
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,Orange River,0.0,0.0,False,预测答案“Orange River”与标准答案“Thaba Putsoa”完全不一致。问题询问的是作为卡利登河河口的河流的源头，标准答案明确指出源头是Thaba Putsoa，而预测答案给出的是另一条河流的名称，未包含标准答案的关键信息，因此判断为错误。
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge,0.0,0.3333333333333333,False,预测答案“Royal Albert Bridge”与标准答案“Rialto Bridge”完全不同，两者在语义上不等价，且未包含标准答案的关键信息，因此预测答案未能正确回答问题。
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946,0.0,0.0,False,预测答案“1946”与标准答案“January 2015”完全不一致。问题询问的是该政党何时正式接管确定众议院规则的政府分支（众议院规则委员会），标准答案明确为2015年1月，而预测答案给出的年份在语义上与标准答案不符，因此判断为错误。
Where did the producer of Julius Caesar study or work?,Clifton College,"John Houseman, the producer of Julius Caesar, studied at Clifton College in England. He worked in the grain trade in London before emigrating to the United States in 1925.",0.0,0.10526315789473684,True,预测答案明确指出了《Julius Caesar》的制片人John Houseman曾在英国的Clifton College学习，包含了标准答案中的关键信息“Clifton College”，语义上完全等价，正确回答了问题。
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Malko Tarnovo,0.0,0.888888888888889,True,预测答案“Malko Tarnovo”包含了标准答案“Malko Tarnovo Municipality”中的核心地名信息。在通常语境下，省略“Municipality”（市/自治市）这一行政区划后缀并不改变其实际语义，两者在语义上完全等价，因此预测答案正确回答了问题。
What is the performer of Heartbeat named after?,Natalie Albino,Nina Sky,0.0,0.0,False,预测答案给出的信息是“Nina Sky”，而标准答案明确指出该表演者的名字是“Natalia Albino”。两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此判断为错误。
The author of Elizabeth and After attended which university?,University of Toronto,University of Toronto,1.0,1.0,True,预测答案“University of Toronto”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题。
What year did the publisher of Labyrinth end?,1986,1999,0.0,0.3333333333333333,False,预测答案给出的年份是1999年，而标准答案是1986年。两者在数值上完全不同，且在语义上不等价，因此预测答案未能正确回答问题。
The food safety system of the agency that has the authority to decide if a drug is marketed otc or prescription is known as?,Food Safety Modernization Act (FSMA),FSMA,0.0,0.2857142857142857,True,预测答案“FSMA”是标准答案“Food Safety Modernization Act (FSMA)”的首字母缩写，两者在语义上完全等价。预测答案包含了标准答案的核心关键信息，符合评估标准中允许措辞细微差异的要求，因此判断为正确。
Who is the president of the newly declared independent country that has a Commission of Truth and Friendship with the country where Ambelau is located?,Francisco Guterres,José Ramos-Horta,0.0,0.0,False,预测答案“José Ramos-Horta”与标准答案“Francisco Guterres”是两个完全不同的人名，不包含标准答案的关键信息，且在语义上不等价，因此未能正确回答问题。
Who was the British general in the battle named after the birth city of the person who recorded Mother-in-Law?,General Edward Pakenham,Edward Pakenham,0.0,0.888888888888889,True,预测答案“Edward Pakenham”包含了标准答案“General Edward Pakenham”的核心人名信息。虽然预测答案省略了军衔“General”，但所指代的历史人物完全一致，在语义上与标准答案等价，正确回答了问题。
Where is Sean Hampton's birth place in the state of Florida?,in Northern Florida,Ocala,0.0,0.0,False,预测答案“Ocala”是一个具体的城市名称，而标准答案是“in Northern Florida”这一区域信息。两者在语义上并不等价，预测答案未能包含标准答案的关键信息，因此判断为错误。
Who is the president of the group Kim Un-yong is a member of?,Thomas Bach,Thomas Bach,1.0,1.0,True,预测答案“Thomas Bach”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了所提出的问题。
"During the war in which The Things They Carried is set, when was conscription introduced by the country where the film Grievous Bodily Harm was later released?",1964,1964,1.0,1.0,True,预测答案“1964”与标准答案“1964”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题中所询问的征兵引入时间。
Who is the president of the new country who has jointly established a Commission on Truth and Friendship with the birth country of Satyo Husodo?,Francisco Guterres,Xanana Gusmão,0.0,0.0,False,预测答案给出的姓名是“Xanana Gusmão”，而标准答案是“Francisco Guterres”。两者是完全不同的人名，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
Who is the spouse of the current queen of England?,Philip Mountbatten,King Charles III,0.0,0.0,False,预测答案“King Charles III”与标准答案“Philip Mountbatten”完全不一致。问题询问的是现任英国女王（即伊丽莎白二世）的配偶，其配偶是菲利普亲王，而查尔斯三世是女王和菲利普亲王的儿子，因此预测答案回答错误。
In which year did Taifa of Francisco Giner de los Rios' birthplace cease to exist?,1065,1915,0.0,0.3333333333333333,False,预测答案给出的年份是1915年，而标准答案明确指出该Taifa停止存在的年份是1065年。两者在年份信息上完全不一致，且语义上无法等价，因此预测答案未能正确回答问题。
What did M. King Hubbert's employer announce it was in the process of doing in April 2010?,trying to find a potential buyer for all of its operations in Finland,selling all of its operations in Finland and conducting market research for its operations in Sweden,0.0,0.5517241379310345,False,预测答案虽然包含了“selling all of its operations in Finland”这一关键信息，但额外添加了“conducting market research for its operations in Sweden”的内容。标准答案明确指出雇主当时正在“trying to find a potential buyer”，而预测答案直接表述为“selling”，且引入了无关信息，导致语义不完全等价。
Who did the person considered the founder of three major monotheistic religions marry after the death of Sarah?,Keturah,Abraham married Keturah after the death of Sarah.,0.0,0.33333333333333337,True,预测答案明确指出了亚伯拉罕在撒拉死后娶了基土拉，包含了标准答案的关键信息，且语义与标准答案完全一致，准确回答了问题。
