main_question,online_qk,online_draft,offline_hybrid70
Bancroft's county borders what county?,False,False,True
In which county is Mark Dismore's birthplace located?,True,False,True
In which county was James Finch born?,False,False,True
Of which river is the river Kichi Sipi Bridge crosses a tributary?,False,False,True
The Unwinding author volunteered for which organisation?,False,False,True
What city is located in the county containing Qiantong?,True,False,True
What film features Anil Devgan's sibling?,False,False,True
What happened to the Curonians who lived in the area where Erich Zakowski was born?,False,False,True
What is the competition that the 1965 Federation Cup is part of named after?,True,False,True
What military overran much of Erich Zakowski's place of birth?,False,False,True
What place does the administrative territorial entity that Juba is located in share a border with?,False,False,True
What province shares a border with the province where Lago District is located?,False,False,True
What type of animal is Xiao Liwu's mother?,True,False,True
Who was the sibling of Nannina de' Medici?,False,False,True
