Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,True,0.23529411764705882,0.0,预测答案“National Cycle Network”完整包含了标准答案中的核心关键信息“National Cycle Network (NCN)”，两者在语义上完全等价，都准确指出了国家自行车道57号所属的网络名称。尽管预测答案省略了“United Kingdom's”和括号内的“NCN”缩写，但这并不影响其正确回答问题的本质，因为问题询问的是“什么网络”，而预测答案直接给出了该网络的准确名称。,N/A,N/A,N/A,N/A,N/A
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",True,1.0,1.0,"预测答案“Corfe Mullen, Dorset, England”与标准答案完全一致，不仅包含了地点名称“Corfe Mullen”和行政区域“Dorset, England”等所有关键信息，而且在语义上完全等价，措辞上没有任何差异，准确无误地指明了Julia's House总部的具体位置。",N/A,N/A,N/A,N/A,N/A
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Washington Island, in Door County Wisconsin",True,0.5714285714285714,0.0,"预测答案“Washington Island, in Door County Wisconsin”准确包含了标准答案中的核心地理位置信息，即华盛顿岛和威斯康星州多尔县。虽然预测答案省略了“Coffee Swamp is located on the northern edge of”这一具体方位描述，但问题主要询问的是沼泽所在的大致区域，预测答案已完整提供了确定位置所需的行政区和地理名称，在语义上与标准答案的关键部分等价，足以正确回答问题。",N/A,N/A,N/A,N/A,N/A
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,True,0.5714285714285715,0.0,预测答案“Johan Ludvig Heiberg”直接提供了标准答案中的核心信息，即彼得·安德烈亚斯·海贝尔格的孩子是谁。虽然预测答案省略了“is the child of Peter Andreas Heiberg”这一完整表述，但它在语义上完全等价于标准答案，因为问题明确询问“孩子是谁”，而预测答案直接给出了人名，符合关键信息要求，且没有产生歧义或额外信息，因此可以视为正确回答。,N/A,N/A,N/A,N/A,N/A
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,Johanne Luise Heiberg,True,1.0,1.0,预测答案“Johanne Luise Heiberg”与标准答案完全一致，不仅包含了关键信息，而且在语义上完全等价，没有任何措辞差异。Johanne Luise Heiberg确实是Johan Ludvig Heiberg的配偶，这一事实准确无误地回应了问题，符合所有判断标准，因此预测答案正确回答了问题。,N/A,N/A,N/A,N/A,N/A
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","Henry III, Richard, Oliver, Geoffrey, Isabella, Joan, Maud",False,0.17647058823529413,0.0,预测答案虽然包含了标准答案中的关键人物亨利三世，但错误地将亨利三世列为兄弟姐妹之一，而标准答案明确指出亨利三世是爱丽丝的同母异父兄弟（uterine half-brother）。此外，预测答案还列出了其他未在标准答案中提及的人物，如理查德、奥利弗等，这些额外信息既未在标准答案中得到支持，也可能包含不准确或无关的内容，导致整体答案与标准答案在语义上不完全等价。,N/A,N/A,N/A,N/A,N/A
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,False,0.15384615384615385,0.0,预测答案“1220”只提供了亨利三世第二次加冕的年份，但问题询问的是“When was King Henry III of England crowned?”，标准答案明确指出他首次加冕于1216年，并在1220年进行了第二次加冕。预测答案遗漏了首次加冕的关键信息，且未完整涵盖亨利三世加冕的全部历史事实，因此未能正确回答问题的全部内容，与标准答案在语义上不等价。,N/A,N/A,N/A,N/A,N/A
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接提供了标准答案中的核心信息，即Ernst Mach所任职的大学名称和地点，与标准答案“Ernst Mach was employed at Charles University in Prague”在语义上完全等价。尽管预测答案省略了主语和动词，但关键事实（大学名称和地点）被准确保留，符合允许措辞差异的判断标准，因此正确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,True,0.2857142857142857,0.0,预测答案“Ernst Mach”直接提供了标准答案中的核心关键信息，即马赫数命名的物理学家姓名。虽然预测答案省略了“奥地利物理学家和哲学家”等描述性细节，但问题仅询问“物理学家是谁”，因此姓名本身已足够准确回答。在语义上，预测答案与标准答案的关键部分完全等价，且措辞差异不影响答案的正确性，符合判断标准。,N/A,N/A,N/A,N/A,N/A
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,"Charles University in PragueDocument: Vinko Dvořák: He studied mathematics and physics at the Charles University in Prague, and after graduating he became an assistant to professor Ernst Mach. After obtaining his doctorate in Prague in 1873/1874 he came to Zagreb (at the time also part of Austria-Hungary) and founded the Physics Cabinet at the Faculty of Philosophy in 1875.",True,0.21276595744680848,0.0,预测答案明确指出了“Charles University in Prague”，这与标准答案中提到的“Ernst Mach was a professor at Charles University in Prague”在关键信息上完全一致。尽管预测答案以引用文档的形式呈现，并提到了其他细节（如Vinko Dvořák的经历），但其核心内容直接确认了恩斯特·马赫与查理大学的关联，语义上与标准答案等价，且措辞差异不影响关键信息的准确性。因此，预测答案正确回答了问题。,N/A,N/A,N/A,N/A,N/A
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,King Richard I of England,Richard I,True,0.5,0.0,预测答案“Richard I”与标准答案“King Richard I of England”在语义上完全等价，都指代同一位英格兰国王。虽然预测答案省略了“King”和“of England”等修饰词，但“Richard I”在历史语境中通常特指英格兰的理查一世，这已足够准确回答问题。预测答案包含了标准答案的核心关键信息，且没有引入歧义或错误，符合允许措辞细微差异的判断标准。,N/A,N/A,N/A,N/A,N/A
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",Richard I's fleet in April 1191,True,0.5454545454545454,0.0,主体是理查一世（King Richard I），事件是舰队（fleet），时间是1191年4月（April 1191）。这些要素准确对应了问题中关于“具体海军远征或舰队”以及“被风暴驱散”的背景，尽管未明确提及出发地和目的地，但核心时间与事件已足以确认语义等价性，符合允许措辞差异的判断标准。,N/A,N/A,N/A,N/A,N/A
