Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason
Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Answer: Salma Hayek,0.0,0.0,False,预测答案给出的演员是Salma Hayek，而标准答案为Maria Bello。两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此判断为错误。
What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,the Manhattan Project,1.0,1.0,True,预测答案“the Manhattan Project”与标准答案“Manhattan Project”在语义上完全等价，仅多了一个定冠词“the”，属于措辞上的细微差异。预测答案包含了标准答案的关键信息，正确地回答了问题。
In which borough was Callum McManaman born?,Knowsley,Whiston,0.0,0.0,False,预测答案给出的地点是“Whiston”，而标准答案是“Knowsley”。两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此未能正确回答问题。
Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot,1.0,1.0,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，准确地回答了问题。
Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Patricia Smith,0.0,0.0,False,预测答案“Patricia Smith”与标准答案“Sherry Boucher”不一致，两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此判断为错误。
When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2005–06 season,0.0,0.30769230769230765,False,预测答案给出的时间是“2005–06 season”，而标准答案明确指出是“1 December 2010”。两者在时间信息上完全不一致，预测答案未包含标准答案的关键信息，因此判断为错误。
Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: Maria Muldaur,0.0,0.0,False,预测答案给出的名字是“Maria Muldaur”，与标准答案“Tatum O'Neal”完全不一致，没有包含标准答案的任何关键信息，两者在语义上也不等价，因此未能正确回答问题。
How many times did plague occur in the birthplace of La Silvia's composer?,22,3,0.0,0.0,False,预测答案给出的数字是3，而标准答案明确指出该地点发生瘟疫的次数是22次。两者在核心数值信息上完全不一致，且语义上并不等价，因此预测答案未能正确回答问题。
When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1.0,1.0,True,预测答案“1912”与标准答案“1912”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于军事教学开始时间的问题。
What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,0.0,0.25,True,预测答案“ATS-6”与标准答案“ATS - 6 (Applications Technology Satellite - 6)”在语义上完全等价，包含了标准答案的核心关键信息，仅仅是省略了全称和连字符，符合允许措辞细微差异的评判标准。
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,Robert Robinson Taylor,0.0,0.0,False,预测答案给出的名字是“Robert Robinson Taylor”，而标准答案是“James Howard Meredith”。两者不仅名字完全不同，且在语义上也不等价，预测答案未能包含标准答案的关键信息，因此判断为错误。
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,The Royal Swedish Academy of Sciences,0.0,0.2,False,预测答案给出的机构是“瑞典皇家科学院”，而标准答案是“剑桥大学”。两者在语义上完全不同，预测答案没有包含标准答案的关键信息，因此判断为错误。
Who is Frances Freeling Broderip's sibling?,Tom Hood,Tom Hood,1.0,1.0,True,预测答案“Tom Hood”与标准答案完全一致，准确地包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于Frances Freeling Broderip的兄弟姐妹是谁的问题。
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,LaTanya Richardson Jackson,0.0,0.0,False,预测答案“LaTanya Richardson Jackson”与标准答案“Jennifer Connelly”完全不同。在电影《钢铁侠》中为贾维斯（Jarvis）配音的演员是保罗·贝坦尼，其配偶是詹妮弗·康纳利，因此预测答案未能包含正确信息。
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,The source of the river that is the mouth of the Caledon River is the Great Ruaha River.,0.0,0.0,False,预测答案给出的河流源头是“Great Ruaha River”，而标准答案为“Thaba Putsoa”。两者在关键信息上完全不一致，语义上也不等价，因此预测答案未能正确回答问题。
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge,0.0,0.3333333333333333,False,预测答案“Royal Albert Bridge”与标准答案“Rialto Bridge”完全不一致。问题询问的是位于威尼斯（该曲作曲家维瓦尔第的出生地）的著名桥梁，正确答案应为里亚托桥，因此预测答案未能包含标准答案的关键信息。
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946,0.0,0.0,False,预测答案“1946”与标准答案“January 2015”不一致。问题询问的是该政党何时控制决定美国众议院规则的政府分支（即众议院规则委员会），共和党在1946年中期选举中获胜，但直到2015年1月才真正控制众议院规则委员会。因此，预测答案错误。
Where did the producer of Julius Caesar study or work?,Clifton College,"John Houseman, the producer of Julius Caesar, studied or worked at the Juilliard School.",0.0,0.0,False,预测答案指出制作人John Houseman在Juilliard School学习或工作，而标准答案明确给出的是Clifton College。两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此判断为错误。
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Istanbul,0.0,0.0,False,预测答案“Istanbul”与标准答案“Malko Tarnovo Municipality”完全不一致。预测答案没有包含标准答案的任何关键信息，两者在语义上也不等价，因此未能正确回答问题。
What is the performer of Heartbeat named after?,Natalie Albino,Kathy Bates,0.0,0.0,False,预测答案给出的名字是“Kathy Bates”，而标准答案明确指出该表演者的名字是“Natalie Albino”。两者在信息内容上完全不一致，且不存在任何语义上的等价关系，因此预测答案未能正确回答问题。
The author of Elizabeth and After attended which university?,University of Toronto,University of Toronto,1.0,1.0,True,预测答案“University of Toronto”与标准答案完全一致，包含了标准答案的所有关键信息，语义上完全等价，准确地回答了《Elizabeth and After》作者所就读的大学，符合正确回答的标准。
What year did the publisher of Labyrinth end?,1986,1999,0.0,0.3333333333333333,False,预测答案给出的年份是1999年，而标准答案是1986年。两者在年份信息上完全不一致，预测答案未能包含标准答案的关键信息，因此判断为错误。
The food safety system of the agency that has the authority to decide if a drug is marketed otc or prescription is known as?,Food Safety Modernization Act (FSMA),the Food and Drug Administration (FDA),0.0,0.0,False,预测答案“Food and Drug Administration (FDA)”指的是拥有该权力的机构，而问题询问的是该机构的食品安全系统名称。标准答案“Food Safety Modernization Act (FSMA)”才是该系统的具体名称，两者在语义上完全不同，预测答案未包含标准答案的关键信息。
Who is the president of the newly declared independent country that has a Commission of Truth and Friendship with the country where Ambelau is located?,Francisco Guterres,José Ramos-Horta,0.0,0.0,False,预测答案“José Ramos-Horta”与标准答案“Francisco Guterres”是两个不同的人名，在语义上并不等价，且未包含标准答案的关键信息，因此判断为错误。
Who was the British general in the battle named after the birth city of the person who recorded Mother-in-Law?,General Edward Pakenham,Edward Pakenham,0.0,0.888888888888889,True,预测答案“Edward Pakenham”包含了标准答案“General Edward Pakenham”的核心人名信息。虽然预测答案省略了“General”这一头衔，但指代的实体完全一致，在语义上与标准答案等价，因此判断为正确回答了问题。
Where is Sean Hampton's birth place in the state of Florida?,in Northern Florida,"Ocala, Florida",0.0,0.5,False,"预测答案“Ocala, Florida”是一个具体的城市，而标准答案是“in Northern Florida”这一地区。两者在地理范围和语义上并不等价，预测答案未包含标准答案的关键信息。"
Who is the president of the group Kim Un-yong is a member of?,Thomas Bach,Answer: The president of the group Kim Un-yong is a member of is the International Olympic Committee (IOC).,0.0,0.0,False,预测答案回答的是该组织的名称（国际奥委会），而问题询问的是该组织的总统/主席是谁。预测答案未能包含标准答案中的关键人物信息“Thomas Bach”，因此未能正确回答问题。
"During the war in which The Things They Carried is set, when was conscription introduced by the country where the film Grievous Bodily Harm was later released?",1964,1964,1.0,1.0,True,预测答案“1964”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题所询问的征兵引入时间。
Who is the president of the new country who has jointly established a Commission on Truth and Friendship with the birth country of Satyo Husodo?,Francisco Guterres,Xanana Gusmão,0.0,0.0,False,预测答案“Xanana Gusmão”与标准答案“Francisco Guterres”是两个不同的人名，预测答案未包含标准答案的关键信息，两者在语义上不等价，因此未能正确回答问题。
