Question,Real Answer,Pred Answer
Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,Glenn Hughes
What is found in Prochlorococcus and essential for photosynthesis?,Chlorophyll,chlorophyll
Alan Furst and Lee Child are what?,is a British author,American authors
Wayne's World featured the actor who was a member of what Chicago comedy troupe?,Second City Theatre,Second City Theatre
What telenovela inspired the TV show that the band Eme 15 was formed on in 2012?,Quinceañera,Quinceañera
" Blake Alexander Carrington is a fictional character on the ABC television series ""Dynasty"", created by Richard and Esther Shapiro whose role was portrayed by John Forsythe, and also appeared as a guest on several talk and variety shows and as a panelist on what type of television show?",game shows,game shows
In what country are the cities Guilin and Ankang located?,China,China
"Who owns a licensed brand that seeks to engage the private sector in raising awareness and funds to help eliminate HIV/AIDS in eight African countries, who's partner is a Dutch sports and clothing company, which sells alpine sking and tennis equipment?",RED,Bono
"In which school was the fictional character in ""The Simpsons"" which was voice by Marcia Wallace a teacher?",Springfield Elementary School,Springfield Elementary School
"The actor that uses the stage name ""Li Ming"" starred with Donnie Yen in a 2005 Hong Kong film directed by who?",Tsui Hark,Wilson Yip
"Which original attraction at Universal Studios Florida, featuring Yogi Bear and Boo Boo, was replaced by Jimmy Nuetron's Nicktoon Blast?",The Funtastic World of Hanna-Barbera,The Funtastic World of Hanna-Barbera
Waht kind of music do the bands Nada Surf and Madina Lake play?,alternative rock,"Nada Surf plays alternative rock, and Madina Lake plays alternative rock as well."
Whar did Sarfraz Ahmed do after Azhar Ali stepped down?,He took up the Test captaincy,became Pakistan's ODI Captain
"What is a rare breed of dog that was derived as a variant of Rat Terrier, Shiloh Shepherd dog or American Hairless Terrier ?",American Hairless Terrier,American Hairless Terrier
Buck Barrow is married to what fringe member of Bonnie and Clyde's gang born in 1911,Blanche Barrow,Blanche Barrow
"What actress was in both the films ""Happy Mother's Day, Love George"" and ""The Day the Earth Stood Still""?",Patricia Neal,Patricia Neal
"What is the book series, written by Cecily von Ziegesar, that the character Eric van der Woodsen appears in?",Gossip Girl,Gossip Girl
In what year was the author of the book series which had the character Opal Koboi born?,1965,1965
Are Shiba Inu and Leonberger both large dog breeds?,no,no
"Edwin Forrest's feud with William Charles Macready was the cause of what event that occurred on May 10, 1849, in Manhattan?",The Astor Place Riot,Astor Place Riot
Who is the voice of the protagonist feral child in the sequel to the movie adaptation of some of Rudyard Kipling's stories?,Haley Joel Osment,Haley Joel Osment
"Which genus is aquatic, Phylica or Nelumbo?",Nelumbo,Nelumbo
What Christian publication first published in 1971 has Brandan Robertson written for?,Sojourners,Patheos
Johannes Megapolensis served for several years at the first permanent Dutch settlement in what town?,New Netherland,Fort Orange
Non-Stop starred the English actress best known for what role in Downton Abbey?,Lady Mary Crawley,Answer: Lady Mary Crawley
"An official ambassador of the United Dance Organisation, this actor made his film debut in Street Dance 3D.",George Sampson,Ashley Banjo
"Which member of Mission Mountain Wood Band, abbreviated M2Wb, was appointed to the Montana Arts Council by Governor Brian Schweitzer?",Robert Ernest Quist,Robert Ernest Quist
"Famous for her role as Peggy Bundy, when was the wife of producer, writer, and director on ""The Shield"" born?","born January 19, 1954","January 19, 1954"
Are Shifty Shellshock and Alissa White-Gluz both death metal vocalists?,no,yes
"Peter Benchley and Ödön von Horváth, have which mutual occupation?",novelist,writer
Until which year did this Polish professional boxer who lost to Joe Smith Jr. in 2016 in a knockout victory hold the IBO light heavyweight title?,2013,2017
Were Ronnie Van Zant and Mick Jones both lead singers of a band?,yes,yes
Tome Sizemore had a role in which movie that starred Wesley Snipes and Bruce Payne ?,Passenger 57,Passenger 57
"At which battle, in the East Riding of Yorkshire, did King Harold defeat King Harald of Norway?",Battle of Stamford Bridge,Battle of Stamford Bridge
"What Pulitzer prize winning, American composer known for exploring addiction and homophobia, wrote ""Tick, Tick...Boom!""?",Jonathan Larson,Jonathan David Larson
The inner urban neighbourhood Eureka Tower is in had a population of what in 2011?,"11,235","Answer: 18,709"
"Aleksey Petrovich Yermolov, was a Russian Imperial general, of the 19th century who commanded Russian troops in the Caucasian War, he distinguished himself during the Napoleonic Wars at which event that was fought on March 30–31, 1814 between the Sixth Coalition—consisting of Russia, Austria, and Prussia against the French Empire?",Battle of Paris,Battle of Paris
When did the arena that hosted the 2017 Canadian Olympic Curling Trials open?,January 1996,1996
Lee Min-ho stared in his first leading film role in 2015 in a film which was set in which part of Seoul? ,Gangnam district,Gangnam
"Who is the American bass guitarist known for his work in a virtual death metal band featured in ""Metalocalypse""?",Bryan Beller,Bryan Beller
Were both Hal Hartley and Mervyn LeRoy producers?,yes,yes
How are Lago and Emila related?,husband of Emilia,They are not related.
The Rookie stars which actress of Australian heritage?,Rachel Anne Griffiths,Rachel Anne Griffiths
In what year was the actress who portrayed Tiffany Valentine-Ray born?,1958,1958
Which team did the head coach of the 1985 Oklahoma Sooners lead to a Super Bowl victory ?,the Dallas Cowboys,Dallas Cowboys
