Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason
Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Maria Bello,1.0,1.0,True,预测答案“Maria Bello”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了所提出的问题。
What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,the Manhattan Project,1.0,1.0,True,预测答案“the Manhattan Project”与标准答案“Manhattan Project”在语义上完全等价，仅仅是多了一个定冠词“the”，属于措辞上的细微差异，不影响核心意思的表达，已正确回答了问题。
In which borough was Callum McManaman born?,Knowsley,Merseyside,0.0,0.0,False,预测答案“Merseyside”是一个大都会郡，而标准答案“Knowsley”是该郡下的一个具体自治市镇。虽然Knowsley位于Merseyside内，但问题明确询问的是出生的borough，预测答案并未包含标准答案的具体关键信息，在地理层级上过于宽泛，因此判断为错误。
Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot,1.0,1.0,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题。
Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,"Answer: The spouse of the actor who played Hannibal Smith in The A-Team is not explicitly mentioned in the provided passages. However, the actor who played Hannibal Smith was George Peppard. The passage does not provide",0.0,0.0,False,预测答案虽然正确指出了扮演Hannibal Smith的演员是George Peppard，但并未给出其配偶的名字（Sherry Boucher）。预测答案明确表示信息未被提及且句子未完成，没有包含标准答案的关键信息，因此判断为错误。
When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2003–04,0.0,0.3333333333333333,False,预测答案“2003–04”与标准答案“1 December 2010”在时间信息上完全不一致，且语义上不等价，因此未能正确回答问题。
Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: The child of the cast member of Green Ice is not mentioned in the provided text.,0.0,0.0,False,预测答案表示文本中未提及该信息，未能给出具体的可核验答案，也没有包含标准答案中的关键信息“Tatum O'Neal”，因此未能正确回答问题。
How many times did plague occur in the birthplace of La Silvia's composer?,22,3,0.0,0.0,False,预测答案给出的数字是3，而标准答案明确指出瘟疫发生的次数是22。两者在数值和语义上完全不一致，预测答案未能包含标准答案的关键信息，因此判断为错误。
When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1.0,1.0,True,预测答案“1912”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于军事教学开始时间的问题。
What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,0.0,0.25,True,预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”中的核心关键信息。两者在语义上完全等价，仅仅是省略了全称和连字符的细微措辞差异，不影响对问题的正确回答。
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,James Howard Meredith,1.0,1.0,True,预测答案“James Howard Meredith”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于该大学第一位非裔美国学生的问题。
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,The Nobel Foundation,0.0,0.0,False,预测答案给出的机构是“The Nobel Foundation”，而标准答案是“University of Cambridge”。两者在语义上完全不同，且预测答案未包含标准答案的关键信息，因此判断为错误。
Who is Frances Freeling Broderip's sibling?,Tom Hood,Answer: Vincent Hood,0.0,0.5,False,预测答案给出的名字是“Vincent Hood”，而标准答案是“Tom Hood”。两者虽然姓氏相同，但名字完全不同，预测答案并未包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,LaTanya Richardson Jackson,0.0,0.0,False,预测答案“LaTanya Richardson Jackson”与标准答案“Jennifer Connelly”完全不同。在《钢铁侠》中为贾维斯（Jarvis）配音的演员是保罗·贝坦尼，其配偶是詹妮弗·康纳利，而非LaTanya Richardson Jackson，因此预测答案未能包含正确信息。
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,"The source of the river that is the mouth of the Caledon River is the confluence with the Cooks River, in the suburb of North Parramatta, in land adjoining the northern boundary of the Cumberland Hospital.",0.0,0.0,False,预测答案给出的信息是“the confluence with the Cooks River”等，这与标准答案“Thaba Putsoa”完全不一致。两者在语义上不等价，且预测答案未包含标准答案的任何关键信息，因此判断为错误。
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge,0.0,0.3333333333333333,False,预测答案“Royal Albert Bridge”与标准答案“Rialto Bridge”完全不同。两者并非同一座桥梁，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,"The Republican Party gained control of the Senate in the 2014 midterm elections, which is one of the two chambers of Congress. The party that controls the Senate does not directly control the House of Representatives, as each",0.0,0.1904761904761905,False,预测答案没有包含标准答案中的关键信息“January 2015”。预测答案错误地理解了问题，讨论的是2014年中期选举和参议院的控制权，且句子未完成，没有给出任何可核验的具体时间，因此与标准答案在语义上完全不等价。
