Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,True,0.23529411764705882,0.0,预测答案“National Cycle Network”直接提取了标准答案中的核心实体信息，准确回答了问题所询问的网络名称。虽然它省略了关于“United Kingdom's”等修饰性背景信息，但在语义上与标准答案完全等价，符合关键信息一致的要求。,N/A,N/A,N/A,N/A,N/A
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",True,1.0,1.0,"预测答案与标准答案完全一致，都准确地指出了Julia's House的总部位于Corfe Mullen, Dorset, England。预测答案包含了标准答案的所有关键信息，在语义上完全等价，正确地回答了问题。",N/A,N/A,N/A,N/A,N/A
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.",位于威斯康星州道尔县华盛顿岛上。,True,0,0.0,预测答案准确翻译并包含了标准答案中的核心地理位置信息，即“威斯康星州道尔县华盛顿岛”。虽然预测答案省略了“北部边缘”这一细节，且使用了中文表达，但其核心语义与标准答案保持一致，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Sigrid Sture,False,0,0.0,预测答案给出的名字是“Sigrid Sture”，而标准答案明确指出Peter Andreas Heiberg的孩子是“Johan Ludvig Heiberg”。两者名字完全不同，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此回答错误。,N/A,N/A,N/A,N/A,N/A
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,Johanne Luise Heiberg,True,1.0,1.0,预测答案与标准答案完全一致，均为“Johanne Luise Heiberg”，准确包含了问题所询问的关键信息，语义上完全等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","Joan de Geneville, Countess of March",False,0.22222222222222218,0.0,"预测答案提供的人物是“Joan de Geneville, Countess of March”，这与问题询问的Alice de Lusignan的兄弟姐妹毫无关系。标准答案明确指出她的兄弟姐妹是同母异父的兄弟英格兰国王亨利三世。预测答案既没有包含标准答案的关键信息，在语义上也完全不一致，因此是错误的。",N/A,N/A,N/A,N/A,N/A
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1216 and 1220,True,0.4,0.0,预测答案提取了标准答案中最核心的时间信息“1216”和“1220”，准确回答了亨利三世加冕的时间。虽然省略了加冕地点等细节，但在回答“何时”这一问题上语义与标准答案保持一致，符合要求。,N/A,N/A,N/A,N/A,N/A
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接提供了问题所询问的大学名称，包含了标准答案的核心信息。虽然它没有使用完整的句子结构，但在语义上与标准答案完全等价，准确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,True,0.2857142857142857,0.0,预测答案“Ernst Mach”准确包含了标准答案中的核心关键信息，即物理学家的名字。虽然它省略了关于其国籍和哲学家身份的修饰性描述，但在回答“以谁命名”这一核心问题上，两者在语义上完全等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,"Charles University in PragueDocument: Friedrich Hayek: Initially sympathetic to Wieser's democratic socialism, Hayek's economic thinking shifted away from socialism and toward the classical liberalism of Carl Menger after reading von Mises' book Socialism. It was sometime after reading Socialism that Hayek began attending von Mises' private seminars, joining several of his university friends, including Fritz Machlup, Alfred Schutz, Felix Kaufmann, and Gottfried Haberler, who were also participating in Hayek's own, more general, private seminar. It was during this time that he also encountered and befriended noted political philosopher Eric Voegelin, with whom he retained a long-standing relationship.
Document: Vinko Dvořák: He studied mathematics and physics at the Charles University in Prague, and after graduating he became an assistant to professor Ernst Mach. After obtaining his doctorate in Prague in 1873/1874 he came to Zagreb (at the time also part of Austria-Hungary) and founded the Physics Cabinet at the Faculty of Philosophy in 1875.
Document: Friedrich Hayek: At the University of Vienna, Hayek earned doctorates in law and political science in 1921 and 1923 respectively; and he also studied philosophy, psychology, and economics. For a short time, when the University of Vienna closed, Hayek studied in Constantin von Monakow's Institute of Brain Anatomy, where Hayek spent much of his time staining brain cells. Hayek's time in Monakow's lab, and his deep interest in the work of Ernst Mach, inspired Hayek's first intellectual project, eventually published as The Sensory Order (1952). It located connective learning at the physical and neurological levels, rejecting the ""sense data"" associationism of the empiricists and logical positivists. Hayek presented his work to the private seminar he had created with Herbert Furth called the Geistkreis.
Document: Friedrich Hayek: His father's career as a university professor influenced Friedrich's goals later in life. Both of his grandfathers, who lived long enough for Friedrich to know them, were scholars. Franz von Juraschek was a leading economist in Austria-Hungary and a close friend of Eugen Böhm von Bawerk, one of the founders of the Austrian School of Economics. Von Juraschek was",True,0.07407407407407407,0.0,预测答案“Charles University in Prague”直接包含了标准答案中的核心机构名称，即布拉格查理大学。虽然预测答案省略了“Ernst Mach was a professor at”等修饰性词语，但其所指代的学术机构与标准答案完全一致，在语义上准确回答了恩斯特·马赫职业生涯所在的学术机构这一问题。,N/A,N/A,N/A,N/A,N/A
