row_id,is_warmup,example_id,sub_q_idx,doc_tokens,query_tokens,full_tokens,end_to_end_ttft_s,kv_load_copy_s,draft_selection_s,draft_score_forward_s,online_update_query_prefill_s,extra_impl_overhead_s,selected_doc_tokens,reprocess_prefill_tokens,main_question,sub_question
0,True,0,0,1313,27,2132,0.9447213880484924,0.02548858296358958,0.20648169901687652,0.2053213409963064,0.613843078026548,0.09890802804147825,196,223,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?
1,True,1,0,1295,25,2112,0.3176778450142592,0.023703513958025724,0.13073569897096604,0.12968909501796588,0.09583958704024553,0.06739904504502192,194,219,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?
2,True,2,0,1441,21,2254,0.3492960300645791,0.031543949036858976,0.13401880103629082,0.13215750304516405,0.09668414003681391,0.08704913995461538,216,237,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?
3,True,3,0,1154,26,1972,0.3485992690548301,0.022145184979308397,0.12529750005342066,0.12379019404761493,0.09557939204387367,0.10557719197822735,173,199,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?
4,True,3,1,1353,27,2172,0.3353345660143532,0.02620001300238073,0.12900641898158938,0.1279488619766198,0.09573310101404786,0.08439503301633522,202,229,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?
5,True,4,0,1178,32,2002,0.3088805599254556,0.022008099011145532,0.12417306692805141,0.12321169197093695,0.09645404596813023,0.06624534801812842,176,208,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?"
6,True,4,1,2075,24,2891,0.4130737370578572,0.030290422029793262,0.17361121502472088,0.17167347302893177,0.11850681697251275,0.09066528303083032,311,335,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?
7,True,6,0,1490,21,2303,0.33910312806256115,0.0249533070018515,0.13405291602248326,0.1328568669850938,0.12357978499494493,0.056517120043281466,223,244,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?
8,False,7,0,1587,27,2406,0.3340895979781635,0.024562096979934722,0.1392097880016081,0.1379152950248681,0.11317964602494612,0.05713806697167456,238,265,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?
9,False,7,1,1466,28,2286,0.39760790998116136,0.03283581597497687,0.21206061699194834,0.2107743159867823,0.09603983000852168,0.056671647005714476,219,247,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?
10,False,9,0,1998,25,2815,0.3839194450411014,0.02691988297738135,0.17002761602634564,0.1682502960320562,0.1180471460102126,0.06892480002716184,299,324,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?
11,False,9,1,2722,33,3547,0.5089183779782616,0.03401523898355663,0.21320694801397622,0.21049072203459218,0.15660201699938625,0.10509417398134246,408,441,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?
12,False,10,0,1505,25,2322,0.38761345599777997,0.023799990012776107,0.20780001702951267,0.20659099204931408,0.09602048899978399,0.05999295995570719,225,250,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?
13,False,10,1,1738,24,2554,0.3768825890147127,0.02835450100246817,0.15823019004892558,0.15663628501351923,0.11333129002014175,0.07696660794317722,260,284,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?
14,False,11,0,1230,27,2049,0.2963910090038553,0.022741071006748825,0.1277396020013839,0.12671618297463283,0.09552415797952563,0.050386178016196936,184,211,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?
15,False,11,1,1205,26,2023,0.2951415939605795,0.024811876995954663,0.12413289200048894,0.12317915400490165,0.09578698500990868,0.05040983995422721,180,206,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?
16,False,12,0,2011,32,2835,0.39516481407918036,0.02694932499434799,0.17263559804996476,0.17092958401190117,0.11828199203591794,0.07729789899894968,301,333,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?
17,False,12,1,2101,30,2923,0.41684205608908087,0.030279383005108684,0.1740978670422919,0.17217193800024688,0.1185462850262411,0.09391852101543918,315,345,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?
18,False,13,0,1142,21,1955,0.3043831240502186,0.022021076001692563,0.123415450041648,0.12233746302081272,0.09547630697488785,0.0634702910319902,171,192,What year was the father of Katherine of England crowned?,Who is Katherine of England?
19,False,13,1,2083,25,2900,0.4044332110788673,0.03040439501637593,0.17377574107376859,0.17180985904997215,0.11870918399654329,0.08154389099217951,312,337,What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?
