row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,semantic,end_to_end_ttft_s,kv_load_copy_s,selection_s,online_update_query_prefill_s,extra_impl_overhead_s,rate1_baseline_candidate_s,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_exact_cache_ttft_s,full_ttft_compute_s,full_ttft_wall_s,fusion_ttft_compute_s,fusion_ttft_wall_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion_compute,ttft_reduction_pct_compute,speedup_full_exact_over_fusion_compute,ttft_reduction_pct_full_exact_vs_fusion_compute,speedup_full_over_fusion_wall,ttft_reduction_pct_wall
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,FusionRAG cache reuse; selection; partial online update,0.9350115610286593,0.06025592889636755,0.26263520028442144,0.5487761879339814,0.06334424391388893,0.0,656,683,0.0,0.0,0.0,0.8716673171147704,0.9350115610286593,0.06025592889636755,0.26263520028442144,0.2387624061666429,0.5487761879339814,0.0,0.0,0.0,0.0,0.0,0.0
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,FusionRAG cache reuse; selection; partial online update,0.3354564541950822,0.023277163039892912,0.10170284705236554,0.14760701404884458,0.06286943005397916,0.0,647,672,0.0,0.0,0.0,0.27258702414110303,0.3354564541950822,0.023277163039892912,0.10170284705236554,0.10094513837248087,0.14760701404884458,0.0,0.0,0.0,0.0,0.0,0.0
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,FusionRAG cache reuse; selection; partial online update,0.339124099817127,0.02394221071153879,0.10336688673123717,0.15039796009659767,0.06141704227775335,0.0,720,741,0.0,0.0,0.0,0.27770705753937364,0.339124099817127,0.02394221071153879,0.10336688673123717,0.10263207601383328,0.15039796009659767,0.0,0.0,0.0,0.0,0.0,0.0
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,FusionRAG cache reuse; selection; partial online update,0.30911302706226707,0.02245221519842744,0.10294473683461547,0.13550661178305745,0.048209463246166706,0.0,577,603,0.0,0.0,0.0,0.26090356381610036,0.30911302706226707,0.02245221519842744,0.10294473683461547,0.10224871104583144,0.13550661178305745,0.0,0.0,0.0,0.0,0.0,0.0
4,True,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,FusionRAG cache reuse; selection; partial online update,0.3419111962430179,0.026720112655311823,0.10216651624068618,0.14792394498363137,0.06510062236338854,0.0,676,703,0.0,0.0,0.0,0.2768105738796294,0.3419111962430179,0.026720112655311823,0.10216651624068618,0.10138942208141088,0.14792394498363137,0.0,0.0,0.0,0.0,0.0,0.0
5,True,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,FusionRAG cache reuse; selection; partial online update,0.3186377128586173,0.02172526391223073,0.10239315405488014,0.1357125830836594,0.05880671180784702,0.0,589,621,0.0,0.0,0.0,0.2598310010507703,0.3186377128586173,0.02172526391223073,0.10239315405488014,0.1016377629712224,0.1357125830836594,0.0,0.0,0.0,0.0,0.0,0.0
6,True,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,FusionRAG cache reuse; selection; partial online update,0.4107153178192675,0.02959911897778511,0.10291795013472438,0.19897925620898604,0.07921899249777198,0.0,1037,1061,0.0,0.0,0.0,0.33149632532149553,0.4107153178192675,0.02959911897778511,0.10291795013472438,0.10185908572748303,0.19897925620898604,0.0,0.0,0.0,0.0,0.0,0.0
7,True,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,FusionRAG cache reuse; selection; partial online update,0.3390737511217594,0.02670673094689846,0.10185934230685234,0.1508610020391643,0.05964667582884431,0.0,745,766,0.0,0.0,0.0,0.2794270752929151,0.3390737511217594,0.02670673094689846,0.10185934230685234,0.10101279895752668,0.1508610020391643,0.0,0.0,0.0,0.0,0.0,0.0
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,FusionRAG cache reuse; selection; partial online update,0.35386510007083416,0.024419828783720732,0.10310986824333668,0.16741717420518398,0.05891822883859277,0.0,793,820,0.0,0.0,0.0,0.2949468712322414,0.35386510007083416,0.024419828783720732,0.10310986824333668,0.10229624295607209,0.16741717420518398,0.0,0.0,0.0,0.0,0.0,0.0
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,FusionRAG cache reuse; selection; partial online update,0.33683988312259316,0.024697005283087492,0.10231476882472634,0.1509848479181528,0.05884326109662652,0.0,733,761,0.0,0.0,0.0,0.27799662202596664,0.33683988312259316,0.024697005283087492,0.10231476882472634,0.10153846628963947,0.1509848479181528,0.0,0.0,0.0,0.0,0.0,0.0
10,False,9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,1998,25,2815,FusionRAG cache reuse; selection; partial online update,0.38881544303148985,0.026136306580156088,0.10253460286185145,0.17886004876345396,0.08128448482602835,0.0,999,1024,0.0,0.0,0.0,0.3075309582054615,0.38881544303148985,0.026136306580156088,0.10253460286185145,0.1015991410240531,0.17886004876345396,0.0,0.0,0.0,0.0,0.0,0.0
11,False,9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2722,33,3547,FusionRAG cache reuse; selection; partial online update,0.4573626318015158,0.03282731305807829,0.10323855793103576,0.2188820168375969,0.10241474397480488,0.0,1361,1394,0.0,0.0,0.0,0.35494788782671094,0.4573626318015158,0.03282731305807829,0.10323855793103576,0.10230709612369537,0.2188820168375969,0.0,0.0,0.0,0.0,0.0,0.0
12,False,10,0,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,1505,25,2322,FusionRAG cache reuse; selection; partial online update,0.3476391048170626,0.02328585321083665,0.10156250232830644,0.1663916022516787,0.056399147026240826,0.0,752,777,0.0,0.0,0.0,0.2912399577908218,0.3476391048170626,0.02328585321083665,0.10156250232830644,0.10077327722683549,0.1663916022516787,0.0,0.0,0.0,0.0,0.0,0.0
13,False,10,1,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,1738,24,2554,FusionRAG cache reuse; selection; partial online update,0.3710591080598533,0.02828944567590952,0.10224991524592042,0.16805142210796475,0.07246832503005862,0.0,869,893,0.0,0.0,0.0,0.2985907830297947,0.3710591080598533,0.02828944567590952,0.10224991524592042,0.10115245217457414,0.16805142210796475,0.0,0.0,0.0,0.0,0.0,0.0
14,False,11,0,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,1230,27,2049,FusionRAG cache reuse; selection; partial online update,0.32166241900995374,0.022057916969060898,0.10182847268879414,0.1474286401644349,0.050347389187663794,0.0,615,642,0.0,0.0,0.0,0.27131502982228994,0.32166241900995374,0.022057916969060898,0.10182847268879414,0.1010170541703701,0.1474286401644349,0.0,0.0,0.0,0.0,0.0,0.0
15,False,11,1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,1205,26,2023,FusionRAG cache reuse; selection; partial online update,0.32798005221411586,0.024094561580568552,0.10203300323337317,0.13564468314871192,0.06620780425146222,0.0,602,628,0.0,0.0,0.0,0.26177224796265364,0.32798005221411586,0.024094561580568552,0.10203300323337317,0.10126239527016878,0.13564468314871192,0.0,0.0,0.0,0.0,0.0,0.0
16,False,12,0,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,2011,32,2835,FusionRAG cache reuse; selection; partial online update,0.405101444106549,0.026216288097202778,0.10252390010282397,0.19829373620450497,0.07806751970201731,0.0,1005,1037,0.0,0.0,0.0,0.3270339244045317,0.405101444106549,0.026216288097202778,0.10252390010282397,0.10164540214464068,0.19829373620450497,0.0,0.0,0.0,0.0,0.0,0.0
17,False,12,1,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,2101,30,2923,FusionRAG cache reuse; selection; partial online update,0.41681765392422676,0.029455460142344236,0.10318481177091599,0.19893840281292796,0.08523897919803858,0.0,1050,1080,0.0,0.0,0.0,0.3315786747261882,0.41681765392422676,0.029455460142344236,0.10318481177091599,0.10210929997265339,0.19893840281292796,0.0,0.0,0.0,0.0,0.0,0.0
